municipality,state,ibge_code,latitude,longitude
Adamantina,SP,3500105,-21.682,-51.0737
Adolfo,SP,3500204,-21.2325,-49.6451
Aguaí,SP,3500303,-22.0572,-46.9735
Águas da Prata,SP,3500402,-21.9319,-46.7176
Águas de Lindóia,SP,3500501,-22.4733,-46.6314
Águas de Santa Bárbara,SP,3500550,-22.8812,-49.2421
Águas de São Pedro,SP,3500600,-22.5977,-47.8734
Agudos,SP,3500709,-22.4694,-48.9863
Alambari,SP,3500758,-23.5503,-47.898
Alfredo Marcondes,SP,3500808,-21.9527,-51.414
Altair,SP,3500907,-20.5242,-49.0571
Altinópolis,SP,3501004,-21.0214,-47.3712
Alto Alegre,SP,3501103,-21.5811,-50.168
Alumínio,SP,3501152,-23.5306,-47.2546
Álvares Florence,SP,3501202,-20.3203,-49.9141
Álvares Machado,SP,3501301,-22.0764,-51.4722
Álvaro de Carvalho,SP,3501400,-22.0841,-49.719
Alvinlândia,SP,3501509,-22.4435,-49.7623
Americana,SP,3501608,-22.7374,-47.3331
Américo Brasiliense,SP,3501707,-21.7288,-48.1147
Américo de Campos,SP,3501806,-20.2985,-49.7359
Amparo,SP,3501905,-22.7088,-46.772
Analândia,SP,3502002,-22.1289,-47.6619
Andradina,SP,3502101,-20.8948,-51.3786
Angatuba,SP,3502200,-23.4917,-48.4139
Anhembi,SP,3502309,-22.793,-48.1336
Anhumas,SP,3502408,-22.2934,-51.3895
Aparecida,SP,3502507,-22.8495,-45.2325
Aparecida d'Oeste,SP,3502606,-20.4487,-50.8835
Apiaí,SP,3502705,-24.5108,-48.8443
Araçariguama,SP,3502754,-23.4366,-47.0608
Araçatuba,SP,3502804,-21.2076,-50.4401
Araçoiaba da Serra,SP,3502903,-23.5029,-47.6166
Aramina,SP,3503000,-20.0882,-47.7873
Arandu,SP,3503109,-23.1386,-49.0487
Arapeí,SP,3503158,-22.6717,-44.4441
Araraquara,SP,3503208,-21.7845,-48.178
Araras,SP,3503307,-22.3572,-47.3842
Arco-Íris,SP,3503356,-21.7728,-50.466
Arealva,SP,3503406,-22.031,-48.9135
Areias,SP,3503505,-22.5786,-44.6992
Areiópolis,SP,3503604,-22.6672,-48.6681
Ariranha,SP,3503703,-21.1872,-48.7904
Artur Nogueira,SP,3503802,-22.5727,-47.1727
Arujá,SP,3503901,-23.3965,-46.32
Aspásia,SP,3503950,-20.16,-50.728
Assis,SP,3504008,-22.66,-50.4183
Atibaia,SP,3504107,-23.1171,-46.5563
Auriflama,SP,3504206,-20.6836,-50.5572
Avaí,SP,3504305,-22.1514,-49.3356
Avanhandava,SP,3504404,-21.4584,-49.9509
Avaré,SP,3504503,-23.1067,-48.9251
Bady Bassitt,SP,3504602,-20.9197,-49.4385
Balbinos,SP,3504701,-21.8963,-49.3619
Bálsamo,SP,3504800,-20.7348,-49.5865
Bananal,SP,3504909,-22.6819,-44.3281
Barão de Antonina,SP,3505005,-23.6284,-49.5634
Barbosa,SP,3505104,-21.2657,-49.9518
Bariri,SP,3505203,-22.073,-48.7438
Barra Bonita,SP,3505302,-22.4909,-48.5583
Barra do Chapéu,SP,3505351,-24.4722,-49.0238
Barra do Turvo,SP,3505401,-24.759,-48.5013
Barretos,SP,3505500,-20.5531,-48.5698
Barrinha,SP,3505609,-21.1864,-48.1636
Barueri,SP,3505708,-23.5057,-46.879
Bastos,SP,3505807,-21.921,-50.7357
Batatais,SP,3505906,-20.8929,-47.5921
Bauru,SP,3506003,-22.3246,-49.0871
Bebedouro,SP,3506102,-20.9491,-48.4791
Bento de Abreu,SP,3506201,-21.2686,-50.814
Bernardino de Campos,SP,3506300,-23.0164,-49.4679
Bertioga,SP,3506359,-23.8486,-46.1396
Bilac,SP,3506409,-21.404,-50.4746
Birigui,SP,3506508,-21.291,-50.3432
Biritiba-Mirim,SP,3506607,-23.5698,-46.0407
Boa Esperança do Sul,SP,3506706,-21.9918,-48.3906
Bocaina,SP,3506805,-22.1365,-48.523
Bofete,SP,3506904,-23.1055,-48.2582
Boituva,SP,3507001,-23.2855,-47.6786
Bom Jesus dos Perdões,SP,3507100,-23.1356,-46.4675
Bom Sucesso de Itararé,SP,3507159,-24.3155,-49.1451
Borá,SP,3507209,-22.2696,-50.5409
Boracéia,SP,3507308,-22.1926,-48.7808
Borborema,SP,3507407,-21.6214,-49.0741
Borebi,SP,3507456,-22.5728,-48.9707
Botucatu,SP,3507506,-22.8837,-48.4437
Bragança Paulista,SP,3507605,-22.9527,-46.5419
Braúna,SP,3507704,-21.499,-50.3175
Brejo Alegre,SP,3507753,-21.1651,-50.1861
Brodowski,SP,3507803,-20.9845,-47.6572
Brotas,SP,3507902,-22.2795,-48.1251
Buri,SP,3508009,-23.7977,-48.5958
Buritama,SP,3508108,-21.0661,-50.1475
Buritizal,SP,3508207,-20.1911,-47.7096
Cabrália Paulista,SP,3508306,-22.4576,-49.3393
Cabreúva,SP,3508405,-23.3053,-47.1362
Caçapava,SP,3508504,-23.0992,-45.7076
Cachoeira Paulista,SP,3508603,-22.6665,-45.0154
Caconde,SP,3508702,-21.528,-46.6437
Cafelândia,SP,3508801,-21.8031,-49.6092
Caiabu,SP,3508900,-22.0127,-51.2394
Caieiras,SP,3509007,-23.3607,-46.7397
Caiuá,SP,3509106,-21.8322,-51.9969
Cajamar,SP,3509205,-23.355,-46.8781
Cajati,SP,3509254,-24.7324,-48.1223
Cajobi,SP,3509304,-20.8773,-48.8063
Cajuru,SP,3509403,-21.2749,-47.303
Campina do Monte Alegre,SP,3509452,-23.5895,-48.4758
Campinas,SP,3509502,-22.9053,-47.0659
Campo Limpo Paulista,SP,3509601,-23.2078,-46.7889
Campos do Jordão,SP,3509700,-22.7296,-45.5833
Campos Novos Paulista,SP,3509809,-22.602,-49.9987
Cananéia,SP,3509908,-25.0144,-47.9341
Canas,SP,3509957,-22.7003,-45.0521
Cândido Mota,SP,3510005,-22.7471,-50.3873
Cândido Rodrigues,SP,3510104,-21.3275,-48.6327
Canitar,SP,3510153,-23.004,-49.7839
Capão Bonito,SP,3510203,-24.0113,-48.3482
Capela do Alto,SP,3510302,-23.4685,-47.7388
Capivari,SP,3510401,-22.9951,-47.5071
Caraguatatuba,SP,3510500,-23.6125,-45.4125
Carapicuíba,SP,3510609,-23.5235,-46.8407
Cardoso,SP,3510708,-20.08,-49.9183
Casa Branca,SP,3510807,-21.7708,-47.0852
Cássia dos Coqueiros,SP,3510906,-21.2801,-47.1643
Castilho,SP,3511003,-20.8689,-51.4884
Catanduva,SP,3511102,-21.1314,-48.977
Catiguá,SP,3511201,-21.0519,-49.0616
Cedral,SP,3511300,-20.9009,-49.2664
Cerqueira César,SP,3511409,-23.038,-49.1655
Cerquilho,SP,3511508,-23.1665,-47.7459
Cesário Lange,SP,3511607,-23.226,-47.9545
Charqueada,SP,3511706,-22.5096,-47.7755
Clementina,SP,3511904,-21.5604,-50.4525
Colina,SP,3512001,-20.7114,-48.5387
Colômbia,SP,3512100,-20.1768,-48.6865
Conchal,SP,3512209,-22.3375,-47.1729
Conchas,SP,3512308,-23.0154,-48.0134
Cordeirópolis,SP,3512407,-22.4778,-47.4519
Coroados,SP,3512506,-21.3521,-50.2859
Coronel Macedo,SP,3512605,-23.6261,-49.31
Corumbataí,SP,3512704,-22.2213,-47.6215
Cosmópolis,SP,3512803,-22.6419,-47.1926
Cosmorama,SP,3512902,-20.4755,-49.7827
Cotia,SP,3513009,-23.6022,-46.919
Cravinhos,SP,3513108,-21.338,-47.7324
Cristais Paulista,SP,3513207,-20.4036,-47.4209
Cruzália,SP,3513306,-22.7373,-50.7909
Cruzeiro,SP,3513405,-22.5728,-44.969
Cubatão,SP,3513504,-23.8911,-46.424
Cunha,SP,3513603,-23.0731,-44.9576
Descalvado,SP,3513702,-21.9002,-47.6181
Dirce Reis,SP,3513850,-20.4642,-50.6073
Divinolândia,SP,3513900,-21.6637,-46.7361
Dobrada,SP,3514007,-21.5155,-48.3935
Dois Córregos,SP,3514106,-22.3673,-48.3819
Dolcinópolis,SP,3514205,-20.124,-50.5149
Dourado,SP,3514304,-22.1044,-48.3178
Dracena,SP,3514403,-21.4843,-51.535
Duartina,SP,3514502,-22.4146,-49.4084
Dumont,SP,3514601,-21.2324,-47.9756
Echaporã,SP,3514700,-22.4326,-50.2038
Eldorado,SP,3514809,-24.5281,-48.1141
Elias Fausto,SP,3514908,-23.0428,-47.3682
Elisiário,SP,3514924,-21.1678,-49.1146
Embaúba,SP,3514957,-20.9796,-48.8325
Embu das Artes,SP,3515004,-23.6437,-46.8579
Embu-Guaçu,SP,3515103,-23.8297,-46.8136
Emilianópolis,SP,3515129,-21.8314,-51.4832
Engenheiro Coelho,SP,3515152,-22.4836,-47.211
Espírito Santo do Pinhal,SP,3515186,-22.1909,-46.7477
Espírito Santo do Turvo,SP,3515194,-22.6925,-49.4341
Estrela d'Oeste,SP,3515202,-20.2875,-50.4049
Estrela do Norte,SP,3515301,-22.4859,-51.6632
Euclides da Cunha Paulista,SP,3515350,-22.5545,-52.5928
Fartura,SP,3515400,-23.3916,-49.5124
Fernandópolis,SP,3515509,-20.2806,-50.2471
Fernando Prestes,SP,3515608,-21.2661,-48.6874
Fernão,SP,3515657,-22.3607,-49.5187
Ferraz de Vasconcelos,SP,3515707,-23.5411,-46.371
Flora Rica,SP,3515806,-21.6727,-51.3821
Floreal,SP,3515905,-20.6752,-50.1513
Flórida Paulista,SP,3516002,-21.6127,-51.1724
Florínia,SP,3516101,-22.868,-50.6814
Franca,SP,3516200,-20.5352,-47.4039
Francisco Morato,SP,3516309,-23.2792,-46.7448
Franco da Rocha,SP,3516408,-23.3229,-46.729
Gabriel Monteiro,SP,3516507,-21.5294,-50.5573
Gália,SP,3516606,-22.2918,-49.5504
Garça,SP,3516705,-22.2125,-49.6546
Gastão Vidigal,SP,3516804,-20.7948,-50.1912
Gavião Peixoto,SP,3516853,-21.8367,-48.4957
General Salgado,SP,3516903,-20.6485,-50.364
Getulina,SP,3517000,-21.7961,-49.9312
Glicério,SP,3517109,-21.3812,-50.2123
Guaiçara,SP,3517208,-21.6195,-49.8013
Guaimbê,SP,3517307,-21.9091,-49.8986
Guaíra,SP,3517406,-20.3196,-48.312
Guapiaçu,SP,3517505,-20.7959,-49.2172
Guapiara,SP,3517604,-24.1892,-48.5295
Guará,SP,3517703,-20.4302,-47.8236
Guaraçaí,SP,3517802,-21.0292,-51.2119
Guaraci,SP,3517901,-20.4977,-48.9391
Guarani d'Oeste,SP,3518008,-20.0746,-50.3411
Guarantã,SP,3518107,-21.8942,-49.5914
Guararapes,SP,3518206,-21.2544,-50.6453
Guararema,SP,3518305,-23.4112,-46.0369
Guaratinguetá,SP,3518404,-22.8075,-45.1938
Guareí,SP,3518503,-23.3714,-48.1837
Guariba,SP,3518602,-21.3594,-48.2316
Guarujá,SP,3518701,-23.9888,-46.258
Guarulhos,SP,3518800,-23.4538,-46.5333
Guatapará,SP,3518859,-21.4944,-48.0356
Guzolândia,SP,3518909,-20.6467,-50.6645
Herculândia,SP,3519006,-22.0038,-50.3907
Holambra,SP,3519055,-22.6405,-47.0487
Hortolândia,SP,3519071,-22.8529,-47.2143
Iacanga,SP,3519105,-21.8896,-49.031
Iacri,SP,3519204,-21.8572,-50.6932
Iaras,SP,3519253,-22.8682,-49.1634
Ibaté,SP,3519303,-21.9584,-47.9882
Ibirá,SP,3519402,-21.083,-49.2448
Ibirarema,SP,3519501,-22.8185,-50.0739
Ibitinga,SP,3519600,-21.7562,-48.8319
Ibiúna,SP,3519709,-23.6596,-47.223
Icém,SP,3519808,-20.3391,-49.1915
Iepê,SP,3519907,-22.6602,-51.0779
Igaraçu do Tietê,SP,3520004,-22.509,-48.5597
Igarapava,SP,3520103,-20.0407,-47.7466
Igaratá,SP,3520202,-23.2037,-46.157
Iguape,SP,3520301,-24.699,-47.5537
Ilhabela,SP,3520400,-23.7785,-45.3552
Ilha Solteira,SP,3520442,-20.4326,-51.3426
Indaiatuba,SP,3520509,-23.0816,-47.2101
Indiana,SP,3520608,-22.1738,-51.2555
Indiaporã,SP,3520707,-19.979,-50.2909
Inúbia Paulista,SP,3520806,-21.7695,-50.9633
Ipaussu,SP,3520905,-23.0575,-49.6279
Iperó,SP,3521002,-23.3513,-47.6927
Ipeúna,SP,3521101,-22.4355,-47.7151
Ipiguá,SP,3521150,-20.6557,-49.3842
Iporanga,SP,3521200,-24.5847,-48.5971
Ipuã,SP,3521309,-20.4438,-48.0129
Iracemápolis,SP,3521408,-22.5832,-47.523
Irapuã,SP,3521507,-21.2768,-49.4164
Irapuru,SP,3521606,-21.5684,-51.3472
Itaberá,SP,3521705,-23.8638,-49.14
Itaí,SP,3521804,-23.4213,-49.092
Itajobi,SP,3521903,-21.3123,-49.0629
Itaju,SP,3522000,-21.9857,-48.8116
Itanhaém,SP,3522109,-24.1736,-46.788
Itaóca,SP,3522158,-24.6393,-48.8413
Itapecerica da Serra,SP,3522208,-23.7161,-46.8572
Itapetininga,SP,3522307,-23.5886,-48.0483
Itapeva,SP,3522406,-23.9788,-48.8764
Itapevi,SP,3522505,-23.5488,-46.9327
Itapira,SP,3522604,-22.4357,-46.8224
Itapirapuã Paulista,SP,3522653,-24.572,-49.1661
Itápolis,SP,3522703,-21.5942,-48.8149
Itaporanga,SP,3522802,-23.7043,-49.4819
Itapuí,SP,3522901,-22.2324,-48.7197
Itapura,SP,3523008,-20.6419,-51.5063
Itaquaquecetuba,SP,3523107,-23.4835,-46.3457
Itararé,SP,3523206,-24.1085,-49.3352
Itariri,SP,3523305,-24.2834,-47.1736
Itatiba,SP,3523404,-23.0035,-46.8464
Itatinga,SP,3523503,-23.1047,-48.6157
Itirapina,SP,3523602,-22.2562,-47.8166
Itirapuã,SP,3523701,-20.6416,-47.2194
Itobi,SP,3523800,-21.7309,-46.9743
Itu,SP,3523909,-23.2544,-47.2927
Itupeva,SP,3524006,-23.1526,-47.0593
Ituverava,SP,3524105,-20.3355,-47.7902
Jaborandi,SP,3524204,-20.6884,-48.4112
Jaboticabal,SP,3524303,-21.252,-48.3252
Jacareí,SP,3524402,-23.2983,-45.9658
Jaci,SP,3524501,-20.8805,-49.5797
Jacupiranga,SP,3524600,-24.6963,-48.0064
Jaguariúna,SP,3524709,-22.7037,-46.9851
Jales,SP,3524808,-20.2672,-50.5494
Jambeiro,SP,3524907,-23.2522,-45.6942
Jandira,SP,3525003,-23.5275,-46.9023
Jardinópolis,SP,3525102,-21.0176,-47.7606
Jarinu,SP,3525201,-23.1039,-46.728
Jaú,SP,3525300,-22.2936,-48.5592
Jeriquara,SP,3525409,-20.3116,-47.5918
Joanópolis,SP,3525508,-22.927,-46.2741
João Ramalho,SP,3525607,-22.2473,-50.7694
José Bonifácio,SP,3525706,-21.0551,-49.6892
Júlio Mesquita,SP,3525805,-22.0112,-49.7873
Jumirim,SP,3525854,-23.0884,-47.7868
Jundiaí,SP,3525904,-23.1852,-46.8974
Junqueirópolis,SP,3526001,-21.5103,-51.4342
Juquiá,SP,3526100,-24.3101,-47.6426
Juquitiba,SP,3526209,-23.9244,-47.0653
Lagoinha,SP,3526308,-23.0846,-45.1944
Laranjal Paulista,SP,3526407,-23.0506,-47.8375
Lavínia,SP,3526506,-21.1639,-51.0412
Lavrinhas,SP,3526605,-22.57,-44.9024
Leme,SP,3526704,-22.1809,-47.3841
Lençóis Paulista,SP,3526803,-22.6027,-48.8037
Limeira,SP,3526902,-22.566,-47.397
Lindóia,SP,3527009,-22.5226,-46.65
Lins,SP,3527108,-21.6718,-49.7526
Lorena,SP,3527207,-22.7334,-45.1197
Lourdes,SP,3527256,-20.966,-50.2263
Louveira,SP,3527306,-23.0856,-46.9484
Lucélia,SP,3527405,-21.7182,-51.0215
Lucianópolis,SP,3527504,-22.4294,-49.522
Luís Antônio,SP,3527603,-21.55,-47.7801
Luiziânia,SP,3527702,-21.6737,-50.3294
Lupércio,SP,3527801,-22.4146,-49.818
Lutécia,SP,3527900,-22.3384,-50.394
Macatuba,SP,3528007,-22.5002,-48.7102
Macaubal,SP,3528106,-20.8022,-49.9687
Macedônia,SP,3528205,-20.1444,-50.1973
Magda,SP,3528304,-20.6445,-50.2305
Mairinque,SP,3528403,-23.5398,-47.185
Mairiporã,SP,3528502,-23.3171,-46.5897
Manduri,SP,3528601,-23.0056,-49.3202
Marabá Paulista,SP,3528700,-22.1068,-51.9617
Maracaí,SP,3528809,-22.6149,-50.6713
Marapoama,SP,3528858,-21.2587,-49.13
Mariápolis,SP,3528908,-21.7959,-51.1824
Marília,SP,3529005,-22.2171,-49.9501
Marinópolis,SP,3529104,-20.4389,-50.8254
Martinópolis,SP,3529203,-22.1462,-51.1709
Matão,SP,3529302,-21.6025,-48.364
Mauá,SP,3529401,-23.6677,-46.4613
Mendonça,SP,3529500,-21.1757,-49.5791
Meridiano,SP,3529609,-20.3579,-50.1811
Mesópolis,SP,3529658,-19.9684,-50.6326
Miguelópolis,SP,3529708,-20.1796,-48.031
Mineiros do Tietê,SP,3529807,-22.412,-48.451
Miracatu,SP,3529906,-24.2766,-47.4625
Mira Estrela,SP,3530003,-19.9789,-50.139
Mirandópolis,SP,3530102,-21.1313,-51.1035
Mirante do Paranapanema,SP,3530201,-22.2904,-51.9084
Mirassol,SP,3530300,-20.8169,-49.5206
Mirassolândia,SP,3530409,-20.6179,-49.4617
Mococa,SP,3530508,-21.4647,-47.0024
Mogi das Cruzes,SP,3530607,-23.5208,-46.1854
Mogi Guaçu,SP,3530706,-22.3675,-46.9428
Mogi Mirim,SP,3530805,-22.4332,-46.9532
Mombuca,SP,3530904,-22.9285,-47.559
Monções,SP,3531001,-20.8509,-50.0975
Mongaguá,SP,3531100,-24.0809,-46.6265
Monte Alegre do Sul,SP,3531209,-22.6817,-46.681
Monte Alto,SP,3531308,-21.2655,-48.4971
Monte Aprazível,SP,3531407,-20.768,-49.7184
Monte Azul Paulista,SP,3531506,-20.9065,-48.6387
Monte Castelo,SP,3531605,-21.2981,-51.5679
Monteiro Lobato,SP,3531704,-22.9544,-45.8407
Monte Mor,SP,3531803,-22.945,-47.3122
Morro Agudo,SP,3531902,-20.7288,-48.0581
Morungaba,SP,3532009,-22.8811,-46.7896
Motuca,SP,3532058,-21.5103,-48.1538
Murutinga do Sul,SP,3532108,-20.9908,-51.2774
Nantes,SP,3532157,-22.6156,-51.24
Narandiba,SP,3532207,-22.4057,-51.5274
Natividade da Serra,SP,3532306,-23.3707,-45.4468
Nazaré Paulista,SP,3532405,-23.1747,-46.3983
