ibge_code,municipality,state,harvest_year,growing_season_total_rainfall,growing_season_average_temperature,growing_season_observation_days,growing_season_start_date,growing_season_end_date,growing_season_max_consecutive_dry_days
3500105,Adamantina,SP,2010,1472.38,24.95,242,2009-09-01,2010-04-30,15
3500105,Adamantina,SP,2011,1267.67,24.97,242,2010-09-01,2011-04-30,16
3500105,Adamantina,SP,2012,915.18,25.76,243,2011-09-01,2012-04-30,13
3500105,Adamantina,SP,2013,1065.73,25.81,242,2012-09-01,2013-04-30,18
3500105,Adamantina,SP,2014,845.39,26.17,242,2013-09-01,2014-04-30,16
3500105,Adamantina,SP,2015,1042.1,26.0,242,2014-09-01,2015-04-30,17
3500105,Adamantina,SP,2016,1393.34,25.79,243,2015-09-01,2016-04-30,29
3500105,Adamantina,SP,2017,910.5,24.83,242,2016-09-01,2017-04-30,13
3500105,Adamantina,SP,2018,1221.35,25.37,242,2017-09-01,2018-04-30,28
3500105,Adamantina,SP,2019,970.29,26.31,242,2018-09-01,2019-04-30,14
3500105,Adamantina,SP,2020,884.76,26.94,243,2019-09-01,2020-04-30,16
3500105,Adamantina,SP,2021,538.19,27.83,242,2020-09-01,2021-04-30,26
3500105,Adamantina,SP,2022,803.83,27.05,242,2021-09-01,2022-04-30,10
3500105,Adamantina,SP,2023,1073.98,25.11,242,2022-09-01,2023-04-30,9
3500105,Adamantina,SP,2024,716.88,29.16,243,2023-09-01,2024-04-30,16
3500105,Adamantina,SP,2025,828.87,27.81,242,2024-09-01,2025-04-30,15
3500105,Adamantina,SP,2026,766.96,27.21,242,2025-09-01,2026-04-30,20
3500204,Adolfo,SP,2010,1105.87,24.68,242,2009-09-01,2010-04-30,17
3500204,Adolfo,SP,2011,1214.77,25.07,242,2010-09-01,2011-04-30,16
3500204,Adolfo,SP,2012,872.96,25.22,243,2011-09-01,2012-04-30,14
3500204,Adolfo,SP,2013,1027.94,25.45,242,2012-09-01,2013-04-30,16
3500204,Adolfo,SP,2014,828.87,25.71,242,2013-09-01,2014-04-30,16
3500204,Adolfo,SP,2015,836.03,25.94,242,2014-09-01,2015-04-30,19
3500204,Adolfo,SP,2016,1208.83,25.66,243,2015-09-01,2016-04-30,28
3500204,Adolfo,SP,2017,897.37,25.01,242,2016-09-01,2017-04-30,13
3500204,Adolfo,SP,2018,992.26,25.51,242,2017-09-01,2018-04-30,28
3500204,Adolfo,SP,2019,943.31,25.91,242,2018-09-01,2019-04-30,15
3500204,Adolfo,SP,2020,948.71,26.18,243,2019-09-01,2020-04-30,16
3500204,Adolfo,SP,2021,648.53,27.03,242,2020-09-01,2021-04-30,18
3500204,Adolfo,SP,2022,1070.52,25.65,242,2021-09-01,2022-04-30,16
3500204,Adolfo,SP,2023,1019.01,24.81,242,2022-09-01,2023-04-30,7
3500204,Adolfo,SP,2024,642.35,28.83,243,2023-09-01,2024-04-30,16
3500204,Adolfo,SP,2025,840.27,27.01,242,2024-09-01,2025-04-30,23
3500204,Adolfo,SP,2026,871.3,26.24,242,2025-09-01,2026-04-30,20
3500303,Aguaí,SP,2010,1355.16,22.51,242,2009-09-01,2010-04-30,16
3500303,Aguaí,SP,2011,1233.21,22.8,242,2010-09-01,2011-04-30,12
3500303,Aguaí,SP,2012,1121.99,22.52,243,2011-09-01,2012-04-30,20
3500303,Aguaí,SP,2013,1302.62,22.78,242,2012-09-01,2013-04-30,19
3500303,Aguaí,SP,2014,763.68,23.58,242,2013-09-01,2014-04-30,13
3500303,Aguaí,SP,2015,997.91,23.32,242,2014-09-01,2015-04-30,18
3500303,Aguaí,SP,2016,1285.36,23.54,243,2015-09-01,2016-04-30,28
3500303,Aguaí,SP,2017,920.22,22.95,242,2016-09-01,2017-04-30,16
3500303,Aguaí,SP,2018,944.36,23.32,242,2017-09-01,2018-04-30,28
3500303,Aguaí,SP,2019,1126.26,23.15,242,2018-09-01,2019-04-30,14
3500303,Aguaí,SP,2020,1037.72,23.46,243,2019-09-01,2020-04-30,19
3500303,Aguaí,SP,2021,648.85,24.27,242,2020-09-01,2021-04-30,18
3500303,Aguaí,SP,2022,1052.55,23.25,242,2021-09-01,2022-04-30,15
3500303,Aguaí,SP,2023,1255.48,22.27,242,2022-09-01,2023-04-30,7
3500303,Aguaí,SP,2024,810.97,25.54,243,2023-09-01,2024-04-30,12
3500303,Aguaí,SP,2025,827.46,24.57,242,2024-09-01,2025-04-30,18
3500303,Aguaí,SP,2026,867.53,23.54,242,2025-09-01,2026-04-30,20
3500402,Águas da Prata,SP,2010,1355.16,22.51,242,2009-09-01,2010-04-30,16
3500402,Águas da Prata,SP,2011,1233.21,22.8,242,2010-09-01,2011-04-30,12
3500402,Águas da Prata,SP,2012,1121.99,22.52,243,2011-09-01,2012-04-30,20
3500402,Águas da Prata,SP,2013,1302.62,22.78,242,2012-09-01,2013-04-30,19
3500402,Águas da Prata,SP,2014,763.68,23.58,242,2013-09-01,2014-04-30,13
3500402,Águas da Prata,SP,2015,997.91,23.32,242,2014-09-01,2015-04-30,18
3500402,Águas da Prata,SP,2016,1285.36,23.54,243,2015-09-01,2016-04-30,28
3500402,Águas da Prata,SP,2017,920.22,22.95,242,2016-09-01,2017-04-30,16
3500402,Águas da Prata,SP,2018,944.36,23.32,242,2017-09-01,2018-04-30,28
3500402,Águas da Prata,SP,2019,1126.26,23.15,242,2018-09-01,2019-04-30,14
3500402,Águas da Prata,SP,2020,1037.72,23.46,243,2019-09-01,2020-04-30,19
