season,horizon,harvest_block_order,block_start_date,block_end_date,base_period_count,block_crush_tonnes,growing_season_total_rainfall,growing_season_average_temperature
10-11,4,1,2010-04-16,2010-08-01,4,192289854,1398.6541588785046,23.436109813084112
10-11,4,2,2010-08-16,2010-12-01,4,156621221,1398.6541588785046,23.436109813084112
10-11,4,3,2010-12-16,2011-04-01,4,6972194,1398.6541588785046,23.436109813084112
11-12,4,1,2011-04-16,2011-08-01,4,164817362,1259.3033177570094,23.421491433021806
11-12,4,2,2011-08-16,2011-12-01,4,137954725,1259.3033177570094,23.421491433021806
11-12,4,3,2011-12-16,2012-04-01,4,854090,1259.3033177570094,23.421491433021806
12-13,4,1,2012-04-16,2012-08-01,4,128251403,915.5781152647976,23.60590537383177
12-13,4,2,2012-08-16,2012-12-01,4,186217114,915.5781152647976,23.60590537383177
12-13,4,3,2012-12-16,2013-04-01,4,16279194,915.5781152647976,23.60590537383177
13-14,4,1,2013-04-16,2013-08-01,4,165778101,1067.289875389408,23.89100661993769
13-14,4,2,2013-08-16,2013-12-01,4,184148315,1067.289875389408,23.89100661993769
13-14,4,3,2013-12-16,2014-04-01,4,18968826,1067.289875389408,23.89100661993769
14-15,4,1,2014-04-16,2014-08-01,4,173917950,795.7283489096573,24.289188084112148
14-15,4,2,2014-08-16,2014-12-01,4,155712324,795.7283489096573,24.289188084112148
14-15,4,3,2014-12-16,2015-04-01,4,7356753,795.7283489096573,24.289188084112148
15-16,4,1,2015-04-16,2015-08-01,4,161868401,963.035124610592,24.23226051401869
15-16,4,2,2015-08-16,2015-12-01,4,169202513,963.035124610592,24.23226051401869
15-16,4,3,2015-12-16,2016-04-01,4,37251717,963.035124610592,24.23226051401869
16-17,4,1,2016-04-16,2016-08-01,4,187232304,1334.855046728972,24.29186331775701
16-17,4,2,2016-08-16,2016-12-01,4,164235552,1334.855046728972,24.29186331775701
16-17,4,3,2016-12-16,2017-04-01,4,14521783,1334.855046728972,24.29186331775701
17-18,4,1,2017-04-16,2017-08-01,4,180019004,996.163785046729,23.41456580996885
17-18,4,2,2017-08-16,2017-12-01,4,161350549,996.163785046729,23.41456580996885
17-18,4,3,2017-12-16,2018-04-01,4,15772789,996.163785046729,23.41456580996885
18-19,4,1,2018-04-16,2018-08-01,4,190517898,1044.0715887850467,23.914363317757008
18-19,4,2,2018-08-16,2018-12-01,4,131878873,1044.0715887850467,23.914363317757008
18-19,4,3,2018-12-16,2019-04-01,4,10941398,1044.0715887850467,23.914363317757008
19-20,4,1,2019-04-16,2019-08-01,4,180557833,1084.217274143302,24.25196261682243
19-20,4,2,2019-08-16,2019-12-01,4,156839887,1084.217274143302,24.25196261682243
19-20,4,3,2019-12-16,2020-04-01,4,5915795,1084.217274143302,24.25196261682243
20-21,4,1,2020-04-16,2020-08-01,4,198524550,937.9111370716512,24.463088006230528
20-21,4,2,2020-08-16,2020-12-01,4,155660231,937.9111370716512,24.463088006230528
20-21,4,3,2020-12-16,2021-04-01,4,2322734,937.9111370716512,24.463088006230528
21-22,4,1,2021-04-16,2021-08-01,4,177243432,653.6833333333334,25.20817951713396
21-22,4,2,2021-08-16,2021-12-01,4,121185437,653.6833333333334,25.20817951713396
21-22,4,3,2021-12-16,2022-04-01,4,259435,653.6833333333334,25.20817951713396
22-23,4,1,2022-04-16,2022-08-01,4,162879156,974.61730529595,24.333469626168224
22-23,4,2,2022-08-16,2022-12-01,4,146199428,974.61730529595,24.333469626168224
22-23,4,3,2022-12-16,2023-04-01,4,5430079,974.61730529595,24.333469626168224
23-24,4,1,2023-04-16,2023-08-01,4,180793759,1122.5314018691588,23.20907710280374
23-24,4,2,2023-08-16,2023-12-01,4,184563612,1122.5314018691588,23.20907710280374
23-24,4,3,2023-12-16,2024-04-01,4,22245202,1122.5314018691588,23.20907710280374
24-25,4,1,2024-04-16,2024-08-01,4,197071718,777.5752959501558,26.58614875389408
24-25,4,2,2024-08-16,2024-12-01,4,153139309,777.5752959501558,26.58614875389408
24-25,4,3,2024-12-16,2025-04-01,4,7238416,777.5752959501558,26.58614875389408
25-26,4,1,2025-04-16,2025-08-01,4,173061665,797.5637694704051,25.507899143302183
25-26,4,2,2025-08-16,2025-12-01,4,163702073,797.5637694704051,25.507899143302183
25-26,4,3,2025-12-16,2026-04-01,4,8169327,797.5637694704051,25.507899143302183
