specification,horizon,feature,coefficient
block_only,1,harvest_block_order_10,-24839181.812500037
block_only,1,harvest_block_order_11,-25073201.75000002
block_only,1,harvest_block_order_12,-21849619.62500004
block_only,1,harvest_block_order_2,22430432.374999978
block_only,1,harvest_block_order_3,23109614.187499993
block_only,1,harvest_block_order_4,29139259.56249999
block_only,1,harvest_block_order_5,27239103.18749998
block_only,1,harvest_block_order_6,19606315.624999978
block_only,1,harvest_block_order_7,11853515.374999981
block_only,1,harvest_block_order_8,-1907954.75000004
block_only,1,harvest_block_order_9,-18203981.812500015
block_only,1,intercept,25311804.562500022
weather_block,1,growing_season_average_temperature,226302.86902994252
weather_block,1,growing_season_total_rainfall,724619.2345100571
weather_block,1,harvest_block_order_10,-24839181.812500022
weather_block,1,harvest_block_order_11,-25073201.750000022
weather_block,1,harvest_block_order_12,-21849619.625000004
weather_block,1,harvest_block_order_2,22430432.37499999
weather_block,1,harvest_block_order_3,23109614.187499993
weather_block,1,harvest_block_order_4,29139259.562500022
weather_block,1,harvest_block_order_5,27239103.187499985
weather_block,1,harvest_block_order_6,19606315.625000007
weather_block,1,harvest_block_order_7,11853515.374999993
weather_block,1,harvest_block_order_8,-1907954.7500000075
weather_block,1,harvest_block_order_9,-18203981.8125
weather_block,1,intercept,25311804.562500007
block_only,2,harvest_block_order_2,29818441.375000063
block_only,2,harvest_block_order_3,24414986.437499985
block_only,2,harvest_block_order_4,-12484871.750000024
block_only,2,harvest_block_order_5,-65473596.00000002
block_only,2,harvest_block_order_6,-69353253.75
block_only,2,intercept,73054041.5
weather_block,2,growing_season_average_temperature,452605.73805988074
weather_block,2,growing_season_total_rainfall,1449238.4690201147
weather_block,2,harvest_block_order_2,29818441.374999925
weather_block,2,harvest_block_order_3,24414986.4375
weather_block,2,harvest_block_order_4,-12484871.750000041
weather_block,2,harvest_block_order_5,-65473596.00000003
weather_block,2,harvest_block_order_6,-69353253.75000003
weather_block,2,intercept,73054041.50000003
block_only,3,harvest_block_order_2,30444631.8125
block_only,3,harvest_block_order_3,-53798467.75000003
block_only,3,harvest_block_order_4,-117302049.75
block_only,3,intercept,121475460.25
weather_block,3,growing_season_average_temperature,678908.607089828
weather_block,3,growing_season_total_rainfall,2173857.703530173
weather_block,3,harvest_block_order_2,30444631.812499955
weather_block,3,harvest_block_order_3,-53798467.750000015
weather_block,3,harvest_block_order_4,-117302049.75000003
weather_block,3,intercept,121475460.25000003
block_only,4,harvest_block_order_2,-17888326.687500063
block_only,4,harvest_block_order_3,-164645291.1250001
block_only,4,intercept,175926524.37500006
weather_block,4,growing_season_average_temperature,905211.4761197692
weather_block,4,growing_season_total_rainfall,2898476.9380402276
weather_block,4,harvest_block_order_2,-17888326.68749998
weather_block,4,harvest_block_order_3,-164645291.12499997
weather_block,4,intercept,175926524.375
block_only,5,harvest_block_order_2,-115409696.68750001
block_only,5,intercept,228477432.125
weather_block,5,growing_season_average_temperature,1351395.3891643814
weather_block,5,growing_season_total_rainfall,4178009.1587338303
weather_block,5,harvest_block_order_2,-115409696.68750001
weather_block,5,intercept,228477432.125
