specification,horizon,season_count,observation_count,blocks_per_season,in_sample_r_squared,in_sample_rmse_tonnes,in_sample_mae_tonnes,in_sample_normalized_rmse,in_sample_normalized_mae,cv_r_squared,cv_rmse_tonnes,cv_mae_tonnes,cv_normalized_rmse,cv_normalized_mae
block_only,1,16,192,12,0.9321672949625692,5543537.051478841,3812804.9173177076,0.19268131485431358,0.13252482267720844,0.9228214556018566,5913106.188244097,4066991.9118055534,0.20552673584460115,0.14135981085568894
weather_block,1,16,192,12,0.9329715765607364,5510574.633891258,3844906.042966811,0.19153561276870057,0.13364058812459959,0.9207388386977787,5992355.938857891,4184782.0254620686,0.20828128515280298,0.14545393952578087
block_only,2,16,96,6,0.9503514489500744,8995662.445440395,6151220.088541665,0.15633485010356668,0.10690152907901053,0.943510981916529,9595373.275136419,6561301.427777775,0.16675717344380442,0.11402829768427787
weather_block,2,16,96,6,0.9512456664687486,8914284.146838425,6103644.610759768,0.15492058359559308,0.10607471890991527,0.9411954838067156,9790056.583455555,6737257.745754846,0.17014055804814399,0.11708622752130327
block_only,3,16,64,4,0.946381157151941,13377705.179341763,9106386.265625,0.15499333125838255,0.10550607328485384,0.9389936721373195,14269552.191297881,9713478.683333337,0.1653262200089414,0.11253981150384415
weather_block,3,16,64,4,0.9473636731044995,13254571.424851539,8954209.209885608,0.1535667105829424,0.1037429585731794,0.9364495329502641,14564053.827173512,10005216.028525146,0.16873829921037983,0.11591986379065795
block_only,4,16,48,3,0.9600669656230729,15043191.770905523,11059003.679687494,0.1307171731291318,0.09609674068167504,0.9545650808866962,16046071.222299227,11796270.591666663,0.13943165133774063,0.1025031900604534
weather_block,4,16,48,3,0.9610957283381701,14848154.590026082,10901875.25718794,0.12902240586644598,0.09473137995768918,0.951901189750023,16509769.233497364,12064907.604348028,0.14346093542402416,0.1048374999217076
block_only,5,16,32,2,0.9091031857243432,18246519.912073486,13884441.562499998,0.10684689256354078,0.08130369205097453,0.8965796246463638,19462954.572878383,14810071.000000002,0.11397001873444348,0.0867239381877062
weather_block,5,16,32,2,0.9123754279549731,17915076.58666509,13768938.551988836,0.10490604633360404,0.08062733635058228,0.8882615538107042,20230519.169945225,15431921.472202905,0.11846467812338879,0.09036533341891882
