season,season_total_crush_tonnes,block_count,growing_season_total_rainfall,growing_season_average_temperature
10-11,355883269,12,1398.6541588785046,23.436109813084112
11-12,303626177,12,1259.3033177570094,23.421491433021806
12-13,330747711,12,915.5781152647976,23.60590537383177
13-14,368895242,12,1067.289875389408,23.89100661993769
14-15,336987027,12,795.7283489096573,24.289188084112148
15-16,368322631,12,963.035124610592,24.23226051401869
16-17,365989639,12,1334.855046728972,24.29186331775701
17-18,357142342,12,996.163785046729,23.41456580996885
18-19,333338169,12,1044.0715887850467,23.914363317757008
19-20,343313515,12,1084.217274143302,24.25196261682243
20-21,356507515,12,937.9111370716512,24.463088006230528
21-22,298688304,12,653.6833333333334,25.20817951713396
22-23,314508663,12,974.61730529595,24.333469626168224
23-24,387602573,12,1122.5314018691588,23.20907710280374
24-25,357449443,12,777.5752959501558,26.58614875389408
25-26,344933065,12,797.5637694704051,25.507899143302183
