season,horizon,harvest_block_order,block_start_date,block_end_date,base_period_count,block_crush_tonnes,rainfall_sep,rainfall_oct,rainfall_nov,rainfall_dec,rainfall_jan,rainfall_feb,rainfall_mar,rainfall_apr,growing_season_average_temperature,temperature_sep,temperature_oct,temperature_nov,temperature_dec,temperature_jan,temperature_feb,temperature_mar,temperature_apr,growing_season_total_rainfall
10-11,1,1,2010-04-16,2010-05-01,1,35863885,149.21076323987538,139.44957943925235,188.74764797507788,291.3665420560748,284.9856230529595,136.3076168224299,131.11232087227415,77.47406542056075,23.436109813084112,22.30383177570093,22.75777258566978,25.02727414330218,23.74531152647975,24.080965732087225,24.69230529595016,23.68253894080997,21.198878504672894,1398.6541588785046
10-11,1,2,2010-05-16,2010-06-01,1,51305918,149.21076323987538,139.44957943925235,188.74764797507788,291.3665420560748,284.9856230529595,136.3076168224299,131.11232087227415,77.47406542056075,23.436109813084112,22.30383177570093,22.75777258566978,25.02727414330218,23.74531152647975,24.080965732087225,24.69230529595016,23.68253894080997,21.198878504672894,1398.6541588785046
10-11,1,3,2010-06-16,2010-07-01,1,52523414,149.21076323987538,139.44957943925235,188.74764797507788,291.3665420560748,284.9856230529595,136.3076168224299,131.11232087227415,77.47406542056075,23.436109813084112,22.30383177570093,22.75777258566978,25.02727414330218,23.74531152647975,24.080965732087225,24.69230529595016,23.68253894080997,21.198878504672894,1398.6541588785046
10-11,1,4,2010-07-16,2010-08-01,1,52596637,149.21076323987538,139.44957943925235,188.74764797507788,291.3665420560748,284.9856230529595,136.3076168224299,131.11232087227415,77.47406542056075,23.436109813084112,22.30383177570093,22.75777258566978,25.02727414330218,23.74531152647975,24.080965732087225,24.69230529595016,23.68253894080997,21.198878504672894,1398.6541588785046
10-11,1,5,2010-08-16,2010-09-01,1,52065647,149.21076323987538,139.44957943925235,188.74764797507788,291.3665420560748,284.9856230529595,136.3076168224299,131.11232087227415,77.47406542056075,23.436109813084112,22.30383177570093,22.75777258566978,25.02727414330218,23.74531152647975,24.080965732087225,24.69230529595016,23.68253894080997,21.198878504672894,1398.6541588785046
10-11,1,6,2010-09-16,2010-10-01,1,40115962,149.21076323987538,139.44957943925235,188.74764797507788,291.3665420560748,284.9856230529595,136.3076168224299,131.11232087227415,77.47406542056075,23.436109813084112,22.30383177570093,22.75777258566978,25.02727414330218,23.74531152647975,24.080965732087225,24.69230529595016,23.68253894080997,21.198878504672894,1398.6541588785046
10-11,1,7,2010-10-16,2010-11-01,1,36567655,149.21076323987538,139.44957943925235,188.74764797507788,291.3665420560748,284.9856230529595,136.3076168224299,131.11232087227415,77.47406542056075,23.436109813084112,22.30383177570093,22.75777258566978,25.02727414330218,23.74531152647975,24.080965732087225,24.69230529595016,23.68253894080997,21.198878504672894,1398.6541588785046
10-11,1,8,2010-11-16,2010-12-01,1,27871957,149.21076323987538,139.44957943925235,188.74764797507788,291.3665420560748,284.9856230529595,136.3076168224299,131.11232087227415,77.47406542056075,23.436109813084112,22.30383177570093,22.75777258566978,25.02727414330218,23.74531152647975,24.080965732087225,24.69230529595016,23.68253894080997,21.198878504672894,1398.6541588785046
10-11,1,9,2010-12-16,2011-01-01,1,5606184,149.21076323987538,139.44957943925235,188.74764797507788,291.3665420560748,284.9856230529595,136.3076168224299,131.11232087227415,77.47406542056075,23.436109813084112,22.30383177570093,22.75777258566978,25.02727414330218,23.74531152647975,24.080965732087225,24.69230529595016,23.68253894080997,21.198878504672894,1398.6541588785046
10-11,1,10,2011-01-16,2011-02-01,1,294577,149.21076323987538,139.44957943925235,188.74764797507788,291.3665420560748,284.9856230529595,136.3076168224299,131.11232087227415,77.47406542056075,23.436109813084112,22.30383177570093,22.75777258566978,25.02727414330218,23.74531152647975,24.080965732087225,24.69230529595016,23.68253894080997,21.198878504672894,1398.6541588785046
10-11,1,11,2011-02-16,2011-03-01,1,105892,149.21076323987538,139.44957943925235,188.74764797507788,291.3665420560748,284.9856230529595,136.3076168224299,131.11232087227415,77.47406542056075,23.436109813084112,22.30383177570093,22.75777258566978,25.02727414330218,23.74531152647975,24.080965732087225,24.69230529595016,23.68253894080997,21.198878504672894,1398.6541588785046
10-11,1,12,2011-03-16,2011-04-01,1,965541,149.21076323987538,139.44957943925235,188.74764797507788,291.3665420560748,284.9856230529595,136.3076168224299,131.11232087227415,77.47406542056075,23.436109813084112,22.30383177570093,22.75777258566978,25.02727414330218,23.74531152647975,24.080965732087225,24.69230529595016,23.68253894080997,21.198878504672894,1398.6541588785046
11-12,1,1,2011-04-16,2011-05-01,1,13464081,88.2508878504673,100.3902336448598,97.53640186915888,188.0443146417445,291.54341121495327,203.55827102803735,205.26179127725857,84.7180062305296,23.421491433021806,22.95404984423676,22.29518691588785,24.036028037383176,24.70590342679128,24.51663551401869,24.370420560747664,22.49384735202492,21.99985981308411,1259.3033177570094
11-12,1,2,2011-05-16,2011-06-01,1,49442941,88.2508878504673,100.3902336448598,97.53640186915888,188.0443146417445,291.54341121495327,203.55827102803735,205.26179127725857,84.7180062305296,23.421491433021806,22.95404984423676,22.29518691588785,24.036028037383176,24.70590342679128,24.51663551401869,24.370420560747664,22.49384735202492,21.99985981308411,1259.3033177570094
11-12,1,3,2011-06-16,2011-07-01,1,48574952,88.2508878504673,100.3902336448598,97.53640186915888,188.0443146417445,291.54341121495327,203.55827102803735,205.26179127725857,84.7180062305296,23.421491433021806,22.95404984423676,22.29518691588785,24.036028037383176,24.70590342679128,24.51663551401869,24.370420560747664,22.49384735202492,21.99985981308411,1259.3033177570094
11-12,1,4,2011-07-16,2011-08-01,1,53335388,88.2508878504673,100.3902336448598,97.53640186915888,188.0443146417445,291.54341121495327,203.55827102803735,205.26179127725857,84.7180062305296,23.421491433021806,22.95404984423676,22.29518691588785,24.036028037383176,24.70590342679128,24.51663551401869,24.370420560747664,22.49384735202492,21.99985981308411,1259.3033177570094
11-12,1,5,2011-08-16,2011-09-01,1,49139941,88.2508878504673,100.3902336448598,97.53640186915888,188.0443146417445,291.54341121495327,203.55827102803735,205.26179127725857,84.7180062305296,23.421491433021806,22.95404984423676,22.29518691588785,24.036028037383176,24.70590342679128,24.51663551401869,24.370420560747664,22.49384735202492,21.99985981308411,1259.3033177570094
11-12,1,6,2011-09-16,2011-10-01,1,46245895,88.2508878504673,100.3902336448598,97.53640186915888,188.0443146417445,291.54341121495327,203.55827102803735,205.26179127725857,84.7180062305296,23.421491433021806,22.95404984423676,22.29518691588785,24.036028037383176,24.70590342679128,24.51663551401869,24.370420560747664,22.49384735202492,21.99985981308411,1259.3033177570094
11-12,1,7,2011-10-16,2011-11-01,1,27754502,88.2508878504673,100.3902336448598,97.53640186915888,188.0443146417445,291.54341121495327,203.55827102803735,205.26179127725857,84.7180062305296,23.421491433021806,22.95404984423676,22.29518691588785,24.036028037383176,24.70590342679128,24.51663551401869,24.370420560747664,22.49384735202492,21.99985981308411,1259.3033177570094
