horizon,term,term_type,coefficient_mean,coefficient_std,coefficient_min,coefficient_max
1,block_fe_10,block_fixed_effect,-24839181.81250006,672849.4748658928,-26090649.666666713,-23620900.533333406
1,block_fe_11,block_fixed_effect,-25073201.750000063,666259.8555634044,-26309643.333333403,-23861029.266666736
1,block_fe_12,block_fixed_effect,-21849619.62500004,659759.9043482543,-22934791.000000052,-20813615.866666716
1,block_fe_2,block_fixed_effect,22430432.374999948,653394.8809505957,21527203.866666615,23920549.59999994
1,block_fe_3,block_fixed_effect,23109614.18749995,637325.3286678977,22309530.39999994,24814228.53333327
1,block_fe_4,block_fixed_effect,29139259.562499963,672147.5394905385,27890667.999999966,30123864.933333285
1,block_fe_5,block_fixed_effect,27239103.187499966,788994.9629785186,25719801.733333297,28606699.199999973
1,block_fe_6,block_fixed_effect,19606315.62499998,722237.2643952994,18359232.06666662,20790008.133333325
1,block_fe_7,block_fixed_effect,11853515.37499994,873424.003856955,9952659.599999938,13246652.733333277
1,block_fe_8,block_fixed_effect,-1907954.7500000447,968081.3142236373,-4096036.2666667206,-519168.4666667115
1,block_fe_9,block_fixed_effect,-18203981.812500045,856411.0960358883,-19940826.266666718,-16927399.533333372
1,intercept,intercept,25311804.56250004,665662.6648692362,24078540.666666716,26555986.533333384
2,block_fe_2,block_fixed_effect,29818441.37500003,684427.8944845379,28702383.933333363,31017543.866666712
2,block_fe_3,block_fixed_effect,24414986.43750002,985263.0141838836,21989765.93333336,26026609.199999996
2,block_fe_4,block_fixed_effect,-12484871.749999981,1479510.2196051718,-16232644.533333309,-10107809.333333313
2,block_fe_5,block_fixed_effect,-65473596.0,1096935.8089639638,-68120743.8,-63839565.26666668
2,block_fe_6,block_fixed_effect,-69353253.75000001,884325.0733763111,-71333702.20000002,-68049077.93333338
2,intercept,intercept,73054041.49999999,846828.8446458079,71883554.86666667,75201240.93333332
3,block_fe_2,block_fixed_effect,30444631.812500063,1318640.6145853952,26979450.133333404,32379291.533333376
3,block_fe_3,block_fixed_effect,-53798467.74999989,2072679.4055361103,-59074454.599999875,-50939252.599999875
3,block_fe_4,block_fixed_effect,-117302049.74999993,1153523.5710483277,-120325335.66666658,-115849656.19999994
3,intercept,intercept,121475460.24999994,1114956.839087094,120109084.66666661,124658211.26666659
4,block_fe_2,block_fixed_effect,-17888326.6875,1972031.8296875174,-22945262.533333343,-15171613.466666669
4,block_fe_3,block_fixed_effect,-164645291.12500003,1479333.4610443085,-168156829.93333334,-162541522.80000004
4,intercept,intercept,175926524.375,1155896.525580003,174419989.33333334,179104865.8
5,block_fe_2,block_fixed_effect,-115409696.68749999,1994000.372189272,-120416341.93333332,-112505834.66666663
5,intercept,intercept,228477432.125,1074495.6103671158,226955863.8,231380654.06666666
