model,horizon,held_out_season,term,term_type,coefficient
block_only_ols,1,10-11,intercept,intercept,24608332.533333372
block_only_ols,1,10-11,block_fe_2,block_fixed_effect,22896325.66666662
block_only_ols,1,10-11,block_fe_3,block_fixed_effect,23539619.86666662
block_only_ols,1,10-11,block_fe_4,block_fixed_effect,29966360.066666614
block_only_ols,1,10-11,block_fe_5,block_fixed_effect,27974925.9333333
block_only_ols,1,10-11,block_fe_6,block_fixed_effect,20629931.533333305
block_only_ols,1,10-11,block_fe_7,block_fixed_effect,12596831.733333278
block_only_ols,1,10-11,block_fe_8,block_fixed_effect,-1502356.533333377
block_only_ols,1,10-11,block_fe_9,block_fixed_effect,-17400400.53333337
block_only_ols,1,10-11,block_fe_10,block_fixed_effect,-24123840.066666726
block_only_ols,1,10-11,block_fe_11,block_fixed_effect,-24360882.3333334
block_only_ols,1,10-11,block_fe_12,block_fixed_effect,-20979704.6666667
block_only_ols,1,11-12,intercept,intercept,26101652.800000038
block_only_ols,1,11-12,block_fe_2,block_fixed_effect,21527203.866666615
block_only_ols,1,11-12,block_fe_3,block_fixed_effect,22309530.39999994
block_only_ols,1,11-12,block_fe_4,block_fixed_effect,28423789.73333328
block_only_ols,1,11-12,block_fe_5,block_fixed_effect,26676652.733333305
block_only_ols,1,11-12,block_fe_6,block_fixed_effect,18727949.066666648
block_only_ols,1,11-12,block_fe_7,block_fixed_effect,11691054.99999994
block_only_ols,1,11-12,block_fe_8,block_fixed_effect,-2125172.13333337
block_only_ols,1,11-12,block_fe_9,block_fixed_effect,-18566804.33333338
block_only_ols,1,11-12,block_fe_10,block_fixed_effect,-25597521.86666672
block_only_ols,1,11-12,block_fe_11,block_fixed_effect,-25848739.333333388
block_only_ols,1,11-12,block_fe_12,block_fixed_effect,-22417169.53333337
block_only_ols,1,12-13,intercept,intercept,26555986.533333384
block_only_ols,1,12-13,block_fe_2,block_fixed_effect,22089267.86666661
block_only_ols,1,12-13,block_fe_3,block_fixed_effect,22900983.79999994
block_only_ols,1,12-13,block_fe_4,block_fixed_effect,27890667.999999966
