horizon,term,term_type,coefficient_standardized_mean,coefficient_standardized_std,coefficient_standardized_min,coefficient_standardized_max,coefficient_raw_mean,coefficient_raw_std
1,block_fe_10,block_fixed_effect,-24839181.812500007,672849.4748658915,-26090649.666666653,-23620900.533333354,-24839181.812500007,672849.4748658915
1,block_fe_11,block_fixed_effect,-25073201.74999998,666259.8555634016,-26309643.333333287,-23861029.26666665,-25073201.74999998,666259.8555634016
1,block_fe_12,block_fixed_effect,-21849619.624999985,659759.9043482527,-22934790.999999985,-20813615.866666663,-21849619.624999985,659759.9043482527
1,block_fe_2,block_fixed_effect,22430432.374999993,653394.8809505947,21527203.866666652,23920549.599999987,22430432.374999993,653394.8809505947
1,block_fe_3,block_fixed_effect,23109614.187499985,637325.3286678932,22309530.39999999,24814228.53333331,23109614.187499985,637325.3286678932
1,block_fe_4,block_fixed_effect,29139259.56250001,672147.5394905319,27890668.000000034,30123864.93333335,29139259.56250001,672147.5394905319
1,block_fe_5,block_fixed_effect,27239103.187500007,788994.962978517,25719801.733333353,28606699.199999988,27239103.187500007,788994.962978517
1,block_fe_6,block_fixed_effect,19606315.625,722237.2643952909,18359232.06666668,20790008.133333337,19606315.625,722237.2643952909
1,block_fe_7,block_fixed_effect,11853515.375000004,873424.0038569525,9952659.600000015,13246652.733333329,11853515.375000004,873424.0038569525
1,block_fe_8,block_fixed_effect,-1907954.75000001,968081.3142236364,-4096036.2666666694,-519168.46666666865,-1907954.75000001,968081.3142236364
1,block_fe_9,block_fixed_effect,-18203981.81250001,856411.0960358873,-19940826.266666677,-16927399.53333334,-18203981.81250001,856411.0960358873
1,intercept,intercept,25311804.5625,665662.6648692325,24078540.666666675,26555986.533333316,27412278.281752527,5480567.539660873
1,rainfall_apr,weather,105076.34313915922,362529.6002284809,0.000521624726562784,1454387.9729584227,3870.957339670956,13372.915537654171
1,rainfall_dec,weather,-90305.26554241622,410121.6458397696,-1622808.8694520046,134459.09918070148,-1806.9732143947429,8296.341941693145
1,rainfall_feb,weather,-82852.67575325696,387468.1984876889,-1529550.1506350539,129288.38457394116,-1711.2705304747105,8018.290261497637
1,rainfall_jan,weather,-73881.11845758455,263807.8043982708,-1054413.9224571125,11366.941098593506,-1102.1178808016234,3921.1911547918485
1,rainfall_mar,weather,6733.103566334889,56254.86957510527,-118226.3237762624,178890.78709776152,195.6563803942763,1507.9378700211726
1,rainfall_nov,weather,166468.93369276263,593059.9393188664,0.003327587725198854,2378461.20788421,3557.353440201406,12675.6549774123
1,rainfall_oct,weather,-47177.473554379445,140360.75999378462,-548585.9008124443,-0.0017670442359333932,-1144.4606268682085,3363.095081389272
1,rainfall_sep,weather,38318.51453536834,93513.5338252248,0.006478387794029661,323787.5991269299,904.2686647085122,2214.2006304467736
1,temperature_apr,weather,-11436.431701198153,36077.434353886645,-143147.80582218705,-0.002233911522040867,-12598.464685469828,41095.128754412086
1,temperature_dec,weather,-25966.88884959568,71587.80068023362,-242073.7533718742,0.00045422899474446187,-36561.99033385744,99919.5756984892
1,temperature_feb,weather,-60163.44449421117,218836.95682897535,-878278.2868100759,-0.0013556369453233692,-63969.38473352911,230542.57245041692
1,temperature_jan,weather,-68529.23933420827,253373.35645154834,-1016744.0093263065,-0.0004717112861481557,-62368.17840637053,229473.5656969612
1,temperature_mar,weather,-85505.57340374874,316113.28436140344,-1269239.4069168647,-0.0005334331853088176,-73353.79299466737,268484.62758691557
1,temperature_nov,weather,143110.91891760338,595808.5048839865,-91098.35274529539,2375748.979415515,149437.55329785263,630534.0714247872
1,temperature_oct,weather,35455.5783799415,96736.08852755306,0.0039380190197442514,345044.54964142805,25593.140997781764,69220.92656132866
1,temperature_sep,weather,-13337.032945283963,60988.1170833902,-227449.2513688488,65369.298188778186,-8796.80513994928,40329.43574834162
