model,horizon,held_out_season,selected_alpha,term,term_type,coefficient_standardized,coefficient_raw
joint_month_level_ridge,1,10-11,100000000.0,intercept,intercept,24608332.53333333,24608332.71321858
joint_month_level_ridge,1,10-11,100000000.0,block_fe_2,block_fixed_effect,22896325.666666664,22896325.666666664
joint_month_level_ridge,1,10-11,100000000.0,block_fe_3,block_fixed_effect,23539619.866666652,23539619.866666652
joint_month_level_ridge,1,10-11,100000000.0,block_fe_4,block_fixed_effect,29966360.066666678,29966360.066666678
joint_month_level_ridge,1,10-11,100000000.0,block_fe_5,block_fixed_effect,27974925.933333345,27974925.933333345
joint_month_level_ridge,1,10-11,100000000.0,block_fe_6,block_fixed_effect,20629931.533333324,20629931.533333324
joint_month_level_ridge,1,10-11,100000000.0,block_fe_7,block_fixed_effect,12596831.733333329,12596831.733333329
joint_month_level_ridge,1,10-11,100000000.0,block_fe_8,block_fixed_effect,-1502356.5333333407,-1502356.5333333407
joint_month_level_ridge,1,10-11,100000000.0,block_fe_9,block_fixed_effect,-17400400.533333346,-17400400.533333346
joint_month_level_ridge,1,10-11,100000000.0,block_fe_10,block_fixed_effect,-24123840.06666667,-24123840.06666667
joint_month_level_ridge,1,10-11,100000000.0,block_fe_11,block_fixed_effect,-24360882.333333302,-24360882.333333302
joint_month_level_ridge,1,10-11,100000000.0,block_fe_12,block_fixed_effect,-20979704.666666657,-20979704.666666657
joint_month_level_ridge,1,10-11,100000000.0,rainfall_sep,weather,0.009215184806478784,0.00025372471723766004
joint_month_level_ridge,1,10-11,100000000.0,rainfall_oct,weather,-0.004681035507990765,-0.00011314919265964414
joint_month_level_ridge,1,10-11,100000000.0,rainfall_nov,weather,0.006920983270052233,0.00015004995484150052
joint_month_level_ridge,1,10-11,100000000.0,rainfall_dec,weather,0.005509215275145471,0.00014143294825655098
joint_month_level_ridge,1,10-11,100000000.0,rainfall_jan,weather,-0.0018947772745580688,-3.0041110512696656e-05
joint_month_level_ridge,1,10-11,100000000.0,rainfall_feb,weather,0.0063718556023771794,0.0001290673570494201
joint_month_level_ridge,1,10-11,100000000.0,rainfall_mar,weather,-2.3915938779591223e-06,-6.350370390313634e-08
joint_month_level_ridge,1,10-11,100000000.0,rainfall_apr,weather,0.0039519018336516346,0.00014333653041748406
joint_month_level_ridge,1,10-11,100000000.0,temperature_sep,weather,-0.005729053751415415,-0.003541786521917484
joint_month_level_ridge,1,10-11,100000000.0,temperature_oct,weather,0.006238791781759501,0.00465097867032031
joint_month_level_ridge,1,10-11,100000000.0,temperature_nov,weather,-0.00013935105007302801,-0.00013940261208931053
joint_month_level_ridge,1,10-11,100000000.0,temperature_dec,weather,-0.0008134489901262596,-0.0009008393630287329
joint_month_level_ridge,1,10-11,100000000.0,temperature_jan,weather,-0.0020951333511537223,-0.0018548448612610367
joint_month_level_ridge,1,10-11,100000000.0,temperature_feb,weather,-0.002476031666622969,-0.0025122329219839194
joint_month_level_ridge,1,10-11,100000000.0,temperature_mar,weather,-0.002779727531134029,-0.0023747449166410237
joint_month_level_ridge,1,10-11,100000000.0,temperature_apr,weather,-0.0037456064190531883,-0.0037184152108419273
joint_month_level_ridge,1,11-12,10.0,intercept,intercept,26101652.799999997,28051813.61923467
joint_month_level_ridge,1,11-12,10.0,block_fe_2,block_fixed_effect,21527203.866666652,21527203.866666652
joint_month_level_ridge,1,11-12,10.0,block_fe_3,block_fixed_effect,22309530.39999999,22309530.39999999
joint_month_level_ridge,1,11-12,10.0,block_fe_4,block_fixed_effect,28423789.733333357,28423789.733333357
joint_month_level_ridge,1,11-12,10.0,block_fe_5,block_fixed_effect,26676652.733333334,26676652.733333334
joint_month_level_ridge,1,11-12,10.0,block_fe_6,block_fixed_effect,18727949.066666674,18727949.066666674
joint_month_level_ridge,1,11-12,10.0,block_fe_7,block_fixed_effect,11691054.999999998,11691054.999999998
joint_month_level_ridge,1,11-12,10.0,block_fe_8,block_fixed_effect,-2125172.133333342,-2125172.133333342
joint_month_level_ridge,1,11-12,10.0,block_fe_9,block_fixed_effect,-18566804.33333333,-18566804.33333333
joint_month_level_ridge,1,11-12,10.0,block_fe_10,block_fixed_effect,-25597521.86666666,-25597521.86666666
joint_month_level_ridge,1,11-12,10.0,block_fe_11,block_fixed_effect,-25848739.33333329,-25848739.33333329
joint_month_level_ridge,1,11-12,10.0,block_fe_12,block_fixed_effect,-22417169.5333333,-22417169.5333333
joint_month_level_ridge,1,11-12,10.0,rainfall_sep,weather,81501.53920170636,1908.6120065899238
joint_month_level_ridge,1,11-12,10.0,rainfall_oct,weather,-36374.28978272521,-868.5084496550372
joint_month_level_ridge,1,11-12,10.0,rainfall_nov,weather,38863.25390094557,831.6561220297345
joint_month_level_ridge,1,11-12,10.0,rainfall_dec,weather,43465.45093777074,858.9332792281573
joint_month_level_ridge,1,11-12,10.0,rainfall_jan,weather,11366.941098593506,182.203369378189
joint_month_level_ridge,1,11-12,10.0,rainfall_feb,weather,74618.87809100137,1595.207163536985
joint_month_level_ridge,1,11-12,10.0,rainfall_mar,weather,47065.197967661385,1531.292510697509
joint_month_level_ridge,1,11-12,10.0,rainfall_apr,weather,53829.88224236526,1975.01707773338
joint_month_level_ridge,1,11-12,10.0,temperature_sep,weather,-51312.49800246981,-31162.117320968457
joint_month_level_ridge,1,11-12,10.0,temperature_oct,weather,19663.173731927054,15216.088211063923
joint_month_level_ridge,1,11-12,10.0,temperature_nov,weather,5124.073541132518,5067.096429552832
joint_month_level_ridge,1,11-12,10.0,temperature_dec,weather,-2949.193157275268,-3082.492565986127
joint_month_level_ridge,1,11-12,10.0,temperature_jan,weather,-15730.473427194369,-13737.876486081783
joint_month_level_ridge,1,11-12,10.0,temperature_feb,weather,-16387.110056724563,-16741.945474103457
joint_month_level_ridge,1,11-12,10.0,temperature_mar,weather,-45004.99654931221,-41585.56499817419
joint_month_level_ridge,1,11-12,10.0,temperature_apr,weather,-32795.42586844163,-30867.50942600656
joint_month_level_ridge,1,12-13,100000000.0,intercept,intercept,26555986.533333316,26555986.87177819
joint_month_level_ridge,1,12-13,100000000.0,block_fe_2,block_fixed_effect,22089267.866666675,22089267.866666675
