model,horizon,held_out_season,training_seasons,training_observations,test_observations,selected_alpha,selected_alpha_at_minimum_grid,selected_alpha_at_maximum_grid,weather_rank,weather_condition_number,weather_effective_degrees_of_freedom,fold_rmse,fold_mae,fold_r_squared
joint_month_level_ridge,1,10-11,15,180,12,100000000.0,False,True,14,inf,1.5999999429765165e-07,4316007.340548546,3087503.500609686,0.9582633353756512
joint_month_level_ridge,1,11-12,15,180,12,10.0,False,False,14,inf,1.227546548892388,6230308.700940396,4533789.447961814,0.9181567091261289
joint_month_level_ridge,1,12-13,15,180,12,100000000.0,False,True,14,inf,1.59999994040409e-07,10432559.81752351,7643272.506838237,0.7497115776288037
joint_month_level_ridge,1,13-14,15,180,12,100000000.0,False,True,14,inf,1.599999941573148e-07,6093244.144299204,4118757.14248634,0.9094975922019672
joint_month_level_ridge,1,14-15,15,180,12,100000000.0,False,True,14,inf,1.5999999406112225e-07,3974259.1153016966,3206870.2247339915,0.9648867671998916
joint_month_level_ridge,1,15-16,15,180,12,100000000.0,False,True,14,inf,1.5999999419111534e-07,6837603.93211433,5978187.135054381,0.8569118276714098
joint_month_level_ridge,1,16-17,15,180,12,100000000.0,False,True,14,inf,1.599999942543135e-07,6582058.493238251,4190105.4153993507,0.8955553786728293
joint_month_level_ridge,1,17-18,15,180,12,100000000.0,False,True,14,inf,1.599999942789677e-07,3746837.193305619,2770068.3277777773,0.9681860981156124
joint_month_level_ridge,1,18-19,15,180,12,100000000.0,False,True,14,inf,1.5999999413242617e-07,5782441.47679054,4020586.47610701,0.9158312315422137
joint_month_level_ridge,1,19-20,15,180,12,100000000.0,False,True,14,inf,1.5999999400829164e-07,3601066.0245589605,2703283.172420703,0.9729564530117306
joint_month_level_ridge,1,20-21,15,180,12,100000000.0,False,True,14,inf,1.5999999406810424e-07,5631546.392431802,4046780.9583331216,0.940581778108394
joint_month_level_ridge,1,21-22,15,180,12,100000000.0,False,True,14,inf,1.599999945638031e-07,7928207.287625285,4773882.130092581,0.8734759699734597
joint_month_level_ridge,1,22-23,15,180,12,100000000.0,False,True,14,inf,1.5999999411730322e-07,4668032.3426646115,3157688.9080711943,0.9475765648341469
joint_month_level_ridge,1,23-24,15,180,12,0.0001,True,False,14,inf,13.984484622990896,10117089.711293137,8655625.605662791,0.7839020268201691
joint_month_level_ridge,1,24-25,15,180,12,1.7782794100389228,False,False,14,inf,4.0269031032779425,5965855.281922882,4444952.7910102485,0.9279589854368719
joint_month_level_ridge,1,25-26,15,180,12,100000000.0,False,True,14,inf,1.599999944322103e-07,3672298.0097312,2933200.032091739,0.9728276670197278
joint_month_level_ridge,2,10-11,15,90,6,100000000.0,False,True,14,inf,1.5999999429765167e-07,6980737.117887903,5303152.011111104,0.9714073852335431
joint_month_level_ridge,2,11-12,15,90,6,10.0,False,False,14,inf,1.2275465488923882,10355998.028684614,8286643.760552079,0.9349315846110349
joint_month_level_ridge,2,12-13,15,90,6,100000000.0,False,True,14,inf,1.59999994040409e-07,19145037.14806775,15263027.18888888,0.7497657794078046
joint_month_level_ridge,2,13-14,15,90,6,100000000.0,False,True,14,inf,1.599999941573148e-07,10627499.659576667,8237514.284972672,0.922728630479088
joint_month_level_ridge,2,14-15,15,90,6,100000000.0,False,True,14,inf,1.5999999406112225e-07,2081336.0440687933,1865898.786760835,0.997212888722527
joint_month_level_ridge,2,15-16,15,90,6,100000000.0,False,True,14,inf,1.5999999419111536e-07,10733559.072935084,9364898.9,0.8929264970217115
joint_month_level_ridge,2,16-17,15,90,6,100000000.0,False,True,14,inf,1.5999999425431352e-07,7056748.105762674,4887802.364132068,0.9682654918589313
joint_month_level_ridge,2,17-18,15,90,6,100000000.0,False,True,14,inf,1.5999999427896764e-07,5282535.219682923,4256759.328933932,0.9831641741132836
joint_month_level_ridge,2,18-19,15,90,6,100000000.0,False,True,14,inf,1.5999999413242622e-07,9418218.430437898,7380493.522222224,0.9427461297658982
joint_month_level_ridge,2,19-20,15,90,6,100000000.0,False,True,14,inf,1.5999999400829164e-07,3142435.465303757,2322288.3666666695,0.9941298657210532
joint_month_level_ridge,2,20-21,15,90,6,100000000.0,False,True,14,inf,1.599999940681043e-07,9411667.681514062,7834126.522222221,0.9557535858905907
joint_month_level_ridge,2,21-22,15,90,6,100000000.0,False,True,14,inf,1.599999945638031e-07,15370069.661756134,8799481.304629615,0.8701937838643492
joint_month_level_ridge,2,22-23,15,90,6,100000000.0,False,True,14,inf,1.5999999411730325e-07,8217160.9436318865,5789400.702515635,0.9533168712843908
joint_month_level_ridge,2,23-24,15,90,6,0.0001,True,False,14,inf,13.984484622985086,17835261.461354718,16788660.193588704,0.8031505485001493
joint_month_level_ridge,2,24-25,15,90,6,1.7782794100389228,False,False,14,inf,4.0269031032779425,11135208.67899001,8829134.220646797,0.9333397832337997
joint_month_level_ridge,2,25-26,15,90,6,100000000.0,False,True,14,inf,1.5999999443221035e-07,4445239.1073603,3222041.0283669755,0.9884675049451014
joint_month_level_ridge,3,10-11,15,60,4,100000000.0,False,True,14,inf,1.5999999429765167e-07,10618361.966771081,8142881.816666644,0.9671283684731771
joint_month_level_ridge,3,11-12,15,60,4,10.0,False,False,14,inf,1.227546548892388,15384059.069086846,12429965.640828123,0.9292016118377499
joint_month_level_ridge,3,12-13,15,60,4,100000000.0,False,True,14,inf,1.5999999404040899e-07,30585472.61167456,22871530.45,0.6955892560349715
joint_month_level_ridge,3,13-14,15,60,4,100000000.0,False,True,14,inf,1.5999999415731486e-07,15582293.611253897,11244598.983333334,0.9227079875205644
joint_month_level_ridge,3,14-15,15,60,4,100000000.0,False,True,14,inf,1.5999999406112225e-07,5870779.0876472145,4553789.789272597,0.9886099214279225
joint_month_level_ridge,3,15-16,15,60,4,100000000.0,False,True,14,inf,1.5999999419111534e-07,15916507.367680395,14047348.349999992,0.8841065386436178
joint_month_level_ridge,3,16-17,15,60,4,100000000.0,False,True,14,inf,1.5999999425431352e-07,5754259.249091737,5531648.871927578,0.9898714162424743
joint_month_level_ridge,3,17-18,15,60,4,100000000.0,False,True,14,inf,1.5999999427896764e-07,4903294.9399773795,3381680.3317680093,0.9927246617294722
joint_month_level_ridge,3,18-19,15,60,4,100000000.0,False,True,14,inf,1.5999999413242622e-07,12811381.848162858,11089598.361654354,0.9488635774541181
joint_month_level_ridge,3,19-20,15,60,4,100000000.0,False,True,14,inf,1.5999999400829161e-07,5076975.645135872,4251266.34999999,0.9920806842092307
