horizon,outer_held_out_season,alpha,inner_rmse,inner_mae,inner_r_squared,selected_alpha
1,10-11,0.0001,7573522.553076391,5975082.020678422,0.8735014718826093,False
1,10-11,0.00017782794100389227,7569647.59851101,5970606.8879046,0.8736308834338546,False
1,10-11,0.00031622776601683794,7562838.247743008,5962716.376607477,0.873858134332367,False
1,10-11,0.0005623413251903491,7550980.1454377975,5949201.2497596005,0.8742533908304595,False
1,10-11,0.001,7530651.034955904,5926052.4710556045,0.8749295614843894,False
1,10-11,0.0017782794100389228,7496714.763709327,5888043.058231138,0.8760542612557273,False
1,10-11,0.0031622776601683794,7442484.658540782,5828637.591581644,0.8778409849532581,False
1,10-11,0.005623413251903491,7361499.383607576,5741337.145381697,0.88048506315263,False
1,10-11,0.01,7251594.515913973,5617748.368389508,0.8840270645561551,False
1,10-11,0.01778279410038923,7118864.59559153,5464100.196941017,0.8882336440772151,False
1,10-11,0.03162277660168379,6975638.505616617,5297038.348978326,0.892685709439327,False
1,10-11,0.05623413251903491,6832093.279998172,5128684.80393008,0.8970569098730323,False
1,10-11,0.1,6691769.775412291,4965764.152332342,0.9012421541700217,False
1,10-11,0.1778279410038923,6556335.49333684,4791884.081984354,0.9051992084394115,False
1,10-11,0.31622776601683794,6430697.992710221,4642423.410584385,0.9087976866284637,False
1,10-11,0.5623413251903491,6321169.486241775,4507775.042194339,0.9118779693706133,False
1,10-11,1.0,6231442.797887243,4389743.878232605,0.9143619338440981,False
1,10-11,1.7782794100389228,6161845.384388417,4288228.488292352,0.9162641912107311,False
1,10-11,3.1622776601683795,6110755.307876882,4214179.464551007,0.91764700207601,False
1,10-11,5.623413251903491,6075646.181652768,4176728.8412808115,0.9185905959865194,False
1,10-11,10.0,6053339.679156263,4156410.765647969,0.9191872816418525,False
1,10-11,17.78279410038923,6040231.952664676,4146101.1142631373,0.9195368817660733,False
1,10-11,31.622776601683793,6032962.922399055,4144435.952910423,0.9197304295994205,False
1,10-11,56.23413251903491,6029041.520304837,4145627.215769283,0.9198347454939916,False
1,10-11,100.0,6026932.3957438115,4147571.541475635,0.9198908237055925,False
1,10-11,177.82794100389228,6025787.831702229,4148849.6592455837,0.9199212475996125,False
1,10-11,316.22776601683796,6025159.764442238,4149581.608303368,0.9199379399302736,False
1,10-11,562.341325190349,6024811.9930776805,4149997.5435617287,0.919947182004978,False
1,10-11,1000.0,6024618.234118367,4150232.838803751,0.9199523309461584,False
1,10-11,1778.2794100389228,6024509.864418924,4150365.602198063,0.9199552106850827,False
1,10-11,3162.2776601683795,6024449.113086096,4150440.402878732,0.9199568250249138,False
1,10-11,5623.413251903491,6024415.0105760265,4150482.5115712667,0.9199577312207845,False
1,10-11,10000.0,6024395.852551762,4150506.2053459035,0.9199582402990224,False
1,10-11,17782.794100389227,6024385.085301264,4150519.533867198,0.9199585264119964,False
1,10-11,31622.776601683792,6024379.032363054,4150527.0304798344,0.9199586872535905,False
1,10-11,56234.13251903491,6024375.629157198,4150531.2465886525,0.9199587776851473,False
1,10-11,100000.0,6024373.715587363,4150533.617624386,0.9199588285333858,False
1,10-11,177827.94100389228,6024372.639569163,4150534.9510011543,0.9199588571258184,False
1,10-11,316227.7660168379,6024372.0344990175,4150535.7008283655,0.9199588732040082,False
1,10-11,562341.3251903491,6024371.694249191,4150536.1224917327,0.9199588822452754,False
1,10-11,1000000.0,6024371.502914587,4150536.3596119033,0.919958887329502,False
1,10-11,1778279.410038923,6024371.395319846,4150536.492954829,0.9199588901885564,False
1,10-11,3162277.6601683795,6024371.334815069,4150536.567939211,0.9199588917963156,False
1,10-11,5623413.251903491,6024371.300790794,4150536.6101060724,0.9199588927004234,False
1,10-11,10000000.0,6024371.281657559,4150536.6338182557,0.9199588932088401,False
1,10-11,17782794.100389227,6024371.270898157,4150536.6471526013,0.9199588934947436,False
1,10-11,31622776.60168379,6024371.2648477,4150536.6546510556,0.919958893655519,False
1,10-11,56234132.51903491,6024371.261445281,4150536.658867747,0.9199588937459295,False
1,10-11,100000000.0,6024371.259531959,4150536.661238967,0.9199588937967712,True
1,11-12,0.0001,7536614.3539003655,6043788.120624101,0.8739911840848179,False
1,11-12,0.00017782794100389227,7532325.793635888,6039627.864760555,0.874134548896824,False
1,11-12,0.00031622776601683794,7524776.476495975,6032286.655581246,0.8743867212171744,False
1,11-12,0.0005623413251903491,7511589.71437074,6019408.412847127,0.87482659634923,False
1,11-12,0.001,7488864.249285313,5997046.899513342,0.8755828465914526,False
1,11-12,0.0017782794100389228,7450593.807886072,5958891.285964923,0.8768512186286698,False
1,11-12,0.0031622776601683794,7388574.8510251595,5897934.0072733825,0.8788928737035221,False
1,11-12,0.005623413251903491,7294028.682165503,5805708.163569583,0.8819724810825642,False
1,11-12,0.01,7162337.7657858245,5669422.998110119,0.8861958917497158,False
1,11-12,0.01778279410038923,6999452.8792395275,5489646.76849784,0.8913132674656709,False
1,11-12,0.03162277660168379,6822588.281612342,5280057.199997644,0.8967365400894705,False
1,11-12,0.05623413251903491,6649884.360023424,5062537.245302047,0.9018983006369197,False
1,11-12,0.1,6490050.502217441,4860711.076618509,0.9065574897501726,False
1,11-12,0.1778279410038923,6345169.931525183,4677275.291756348,0.9106828494722892,False
1,11-12,0.31622776601683794,6218129.082576521,4520414.778981795,0.9142236008103866,False
1,11-12,0.5623413251903491,6112978.31141162,4400563.577353782,0.9171000909295673,False
1,11-12,1.0,6031913.719061208,4296612.566246805,0.9192841943835464,False
1,11-12,1.7782794100389228,5974206.013686405,4215457.716879524,0.9208212331467112,False
1,11-12,3.1622776601683795,5937053.983088997,4158002.4849741617,0.9218029553298808,False
1,11-12,5.623413251903491,5916883.855500572,4128304.7128910106,0.922333375017237,False
1,11-12,10.0,5909478.386819052,4108392.123432607,0.9225276657433134,True
1,11-12,17.78279410038923,5909778.472556616,4095505.43292817,0.9225197973896873,False
1,11-12,31.622776601683793,5913142.751556683,4093402.662294614,0.9224315574617139,False
1,11-12,56.23413251903491,5916736.0168392705,4096431.6092303446,0.922337256109616,False
1,11-12,100.0,5919498.485177163,4099710.122659144,0.9222647191723666,False
1,11-12,177.82794100389228,5921336.140610801,4102123.7311781687,0.9222164472334813,False
1,11-12,316.22776601683796,5922470.054762316,4103632.208278325,0.922186653851002,False
1,11-12,562.341325190349,5923141.604488388,4104518.1574147465,0.9221690063176454,False
1,11-12,1000.0,5923530.366245096,4105021.781914152,0.9221587892035449,False
1,11-12,1778.2794100389228,5923752.573846676,4105306.729094549,0.9221529490264503,False
1,11-12,3162.2776601683795,5923878.6792770205,4105467.5208491934,0.922149634559739,False
1,11-12,5623.413251903491,5923949.959301093,4105558.116748022,0.9221477610543521,False
1,11-12,10000.0,5923990.159089577,4105609.118381479,0.9221467044437531,False
1,11-12,17782.794100389227,5924012.801878319,4105637.816383698,0.9221461092978984,False
1,11-12,31622.776601683792,5924025.546500758,4105653.9600505247,0.9221457743156684,False
1,11-12,56234.13251903491,5924032.717014055,4105663.0400713827,0.922145585844132,False
1,11-12,100000.0,5924036.750455871,4105668.146702169,0.9221454798280542,False
1,11-12,177827.94100389228,5924039.0189956445,4105671.018548749,0.9221454202011083,False
1,11-12,316227.7660168379,5924040.294805934,4105672.6335627567,0.922145386667337,False
1,11-12,562341.3251903491,5924041.012283666,4105673.541769584,0.9221453678089391,False
1,11-12,1000000.0,5924041.415762708,4105674.052497412,0.922145357203775,False
1,11-12,1778279.410038923,5924041.642659334,4105674.339702548,0.9221453512399558,False
1,11-12,3162277.6601683795,5924041.77025385,4105674.501210423,0.9221453478862229,False
1,11-12,5623413.251903491,5924041.84200589,4105674.5920331557,0.9221453460002706,False
1,11-12,10000000.0,5924041.882355141,4105674.6431065863,0.9221453449397187,False
1,11-12,17782794.100389227,5924041.90504523,4105674.6718273032,0.9221453443433255,False
1,11-12,31622776.60168379,5924041.917804817,4105674.687978155,0.9221453440079487,False
1,11-12,56234132.51903491,5924041.924980062,4105674.697060447,0.9221453438193523,False
1,11-12,100000000.0,5924041.929015003,4105674.7021677983,0.9221453437132968,False
1,12-13,0.0001,7485072.167930173,6057435.013592577,0.8766339275853532,False
1,12-13,0.00017782794100389227,7478791.289960012,6050722.463014314,0.8768408787366551,False
1,12-13,0.00031622776601683794,7467754.003069959,6038891.878722403,0.8772041298116204,False
1,12-13,0.0005623413251903491,7448533.655084602,6018182.876631087,0.8778354152195905,False
