model,model_label,model_family,model_order,horizon,season_count,observation_count,blocks_per_season,weather_predictor_count,loso_rmse,loso_mae,loso_r_squared,rmse_rank,mae_rank,r_squared_rank,rmse_improvement_vs_block_percent,mae_improvement_vs_block_percent,r_squared_difference_vs_block,beats_block_only_rmse,best_rmse,rmse_gap_from_best_percent,is_best_rmse,outer_fold_count,selected_alpha_min,selected_alpha_q25,selected_alpha_median,selected_alpha_q75,selected_alpha_max,minimum_alpha_boundary_fraction,maximum_alpha_boundary_fraction,weather_effective_df_min,weather_effective_df_mean,weather_effective_df_median,weather_effective_df_max,summary_source,diagnostics_source
block_only_ols,Block-Only OLS,block_only_ols,2,1,16,192,12,,5913106.188244097,4066991.911805554,0.9228214556018566,1,1,1,0.0,0.0,0.0,False,5913106.188244097,0.0,True,,,,,,,,,,,,,data\processed\modeling\month_level_baseline_results\block_only_ols_summary.csv,
temperature_month_level_ridge,Temperature Month-Level Ridge,month_level_ridge,6,1,16,192,12,9.0,5946165.964429634,4088249.894760871,0.9219560430861262,2,2,2,-0.5590932266912982,-0.5226954814837451,-0.0008654125157303572,False,5913106.188244097,0.5590932266912982,False,16.0,0.3162277660168379,100000000.0,100000000.0,100000000.0,100000000.0,0.0,0.8125,8.999999688623912e-08,0.3619778292053747,8.999999701549659e-08,5.080536502690493,data\processed\modeling\month_level_baseline_results\temperature_month_level_ridge_summary.csv,data\processed\modeling\month_level_baseline_results\temperature_month_level_ridge_fold_diagnostics.csv
aggregate_ols,Existing Aggregate OLS,aggregate_ols,1,1,16,192,12,2.0,5992355.938857891,4184782.0254620686,0.9207388386977788,3,4,3,-1.3402389216576378,-2.8962465677543356,-0.0020826169040777387,False,5913106.188244097,1.3402389216576378,False,,,,,,,,,,,,,data\processed\modeling\aggregate_baseline\results\aggregate_baseline_model_summary.csv,
rainfall_month_level_ridge,Rainfall Month-Level Ridge,month_level_ridge,4,1,16,192,12,9.0,5994144.876129825,4128369.576887224,0.9206915069263184,4,3,4,-1.3704926870219503,-1.509166145708444,-0.0021299486755381736,False,5913106.188244097,1.3704926870219503,False,16.0,1.7782794100389228,75000044.45698525,100000000.0,100000000.0,100000000.0,0.0,0.75,8.99999980963768e-08,0.3033618623845569,8.99999982144558e-08,2.6706051596485976,data\processed\modeling\month_level_baseline_results\rainfall_month_level_ridge_summary.csv,data\processed\modeling\month_level_baseline_results\rainfall_month_level_ridge_fold_diagnostics.csv
joint_month_level_ridge,Joint Month-Level Ridge,month_level_ridge,7,1,16,192,12,16.0,6312283.481621089,4391534.610915686,0.9120495195428926,5,5,5,-6.75072086766513,-7.979919954304764,-0.010771936058963982,False,5913106.188244097,6.75072086766513,False,16.0,0.0001,100000000.0,100000000.0,100000000.0,100000000.0,0.0625,0.8125,1.5999999400829167e-07,1.202433522197572,1.5999999422271443e-07,13.984484622990896,data\processed\modeling\month_level_baseline_results\joint_month_level_ridge_summary.csv,data\processed\modeling\month_level_baseline_results\joint_month_level_ridge_fold_diagnostics.csv
temperature_month_level_ols,Temperature Month-Level OLS,month_level_ols,5,1,16,192,12,9.0,6441468.26354759,4917998.615750264,0.9084127603727344,6,6,6,-8.935440333439889,-20.92472083542707,-0.014408695229122137,False,5913106.188244097,8.935440333439889,False,,,,,,,,,,,,,data\processed\modeling\month_level_baseline_results\temperature_month_level_ols_summary.csv,
rainfall_month_level_ols,Rainfall Month-Level OLS,month_level_ols,3,1,16,192,12,9.0,6882774.818678592,5241977.043097709,0.895433553556091,7,7,7,-16.39863380708946,-28.89076636423693,-0.027387902045765578,False,5913106.188244097,16.39863380708946,False,,,,,,,,,,,,,data\processed\modeling\month_level_baseline_results\rainfall_month_level_ols_summary.csv,
block_only_ols,Block-Only OLS,block_only_ols,2,2,16,96,6,,9595373.27513642,6561301.427777775,0.943510981916529,1,1,1,0.0,0.0,0.0,False,9595373.27513642,0.0,True,,,,,,,,,,,,,data\processed\modeling\month_level_baseline_results\block_only_ols_summary.csv,
temperature_month_level_ridge,Temperature Month-Level Ridge,month_level_ridge,6,2,16,96,6,9.0,9676747.791565366,6617218.122466502,0.9425487977335144,2,2,2,-0.848059935717182,-0.8522195680875064,-0.000962184183014636,False,9595373.27513642,0.848059935717182,False,16.0,0.3162277660168379,100000000.0,100000000.0,100000000.0,100000000.0,0.0,0.8125,8.99999968862391e-08,0.3619778292053747,8.99999970154966e-08,5.080536502690493,data\processed\modeling\month_level_baseline_results\temperature_month_level_ridge_summary.csv,data\processed\modeling\month_level_baseline_results\temperature_month_level_ridge_fold_diagnostics.csv
aggregate_ols,Existing Aggregate OLS,aggregate_ols,1,2,16,96,6,2.0,9790056.583455555,6737257.745754846,0.9411954838067156,3,3,3,-2.0289289716701173,-2.681728920914182,-0.002315498109813463,False,9595373.27513642,2.0289289716701173,False,,,,,,,,,,,,,data\processed\modeling\aggregate_baseline\results\aggregate_baseline_model_summary.csv,
