model,model_label,horizon,outer_fold_count,selected_alpha_min,selected_alpha_q25,selected_alpha_median,selected_alpha_q75,selected_alpha_max,minimum_alpha_boundary_fraction,maximum_alpha_boundary_fraction,weather_effective_df_min,weather_effective_df_mean,weather_effective_df_median,weather_effective_df_max,diagnostics_source,loso_rmse,loso_mae,loso_r_squared,rmse_rank,rmse_improvement_vs_block_percent
temperature_month_level_ridge,Temperature Month-Level Ridge,1,16,0.3162277660168379,100000000.0,100000000.0,100000000.0,100000000.0,0.0,0.8125,8.999999688623912e-08,0.3619778292053747,8.999999701549659e-08,5.080536502690493,data\processed\modeling\month_level_baseline_results\temperature_month_level_ridge_fold_diagnostics.csv,5946165.964429634,4088249.894760871,0.9219560430861262,2,-0.5590932266912982
rainfall_month_level_ridge,Rainfall Month-Level Ridge,1,16,1.7782794100389228,75000044.45698525,100000000.0,100000000.0,100000000.0,0.0,0.75,8.99999980963768e-08,0.3033618623845569,8.99999982144558e-08,2.6706051596485976,data\processed\modeling\month_level_baseline_results\rainfall_month_level_ridge_fold_diagnostics.csv,5994144.876129825,4128369.576887224,0.9206915069263184,4,-1.3704926870219503
joint_month_level_ridge,Joint Month-Level Ridge,1,16,0.0001,100000000.0,100000000.0,100000000.0,100000000.0,0.0625,0.8125,1.5999999400829167e-07,1.202433522197572,1.5999999422271443e-07,13.984484622990896,data\processed\modeling\month_level_baseline_results\joint_month_level_ridge_fold_diagnostics.csv,6312283.481621089,4391534.610915686,0.9120495195428926,5,-6.75072086766513
temperature_month_level_ridge,Temperature Month-Level Ridge,2,16,0.3162277660168379,100000000.0,100000000.0,100000000.0,100000000.0,0.0,0.8125,8.99999968862391e-08,0.3619778292053747,8.99999970154966e-08,5.080536502690493,data\processed\modeling\month_level_baseline_results\temperature_month_level_ridge_fold_diagnostics.csv,9676747.791565366,6617218.122466502,0.9425487977335144,2,-0.848059935717182
rainfall_month_level_ridge,Rainfall Month-Level Ridge,2,16,1.7782794100389228,75000044.45698525,100000000.0,100000000.0,100000000.0,0.0,0.75,8.999999809637684e-08,0.3033618623845569,8.999999821445583e-08,2.670605159648598,data\processed\modeling\month_level_baseline_results\rainfall_month_level_ridge_fold_diagnostics.csv,9794436.1909981,6746305.360031913,0.941142859328764,4,-2.074571881194993
joint_month_level_ridge,Joint Month-Level Ridge,2,16,0.0001,100000000.0,100000000.0,100000000.0,100000000.0,0.0625,0.8125,1.5999999400829167e-07,1.202433522197209,1.5999999422271443e-07,13.984484622985086,data\processed\modeling\month_level_baseline_results\joint_month_level_ridge_fold_diagnostics.csv,10563691.595497351,7401957.655388151,0.931534512535762,5,-10.091512780123333
temperature_month_level_ridge,Temperature Month-Level Ridge,3,16,0.3162277660168379,100000000.0,100000000.0,100000000.0,100000000.0,0.0,0.8125,8.999999688623912e-08,0.36197782920537463,8.99999970154966e-08,5.080536502690492,data\processed\modeling\month_level_baseline_results\temperature_month_level_ridge_fold_diagnostics.csv,14392661.452559454,9785619.543478563,0.9379364782338576,2,-0.8627408878090209
rainfall_month_level_ridge,Rainfall Month-Level Ridge,3,16,1.7782794100389228,75000044.45698525,100000000.0,100000000.0,100000000.0,0.0,0.75,8.99999980963768e-08,0.303361862384557,8.999999821445583e-08,2.670605159648599,data\processed\modeling\month_level_baseline_results\rainfall_month_level_ridge_fold_diagnostics.csv,14570677.8072751,10023791.151745602,0.9363917121315004,4,-2.110266754978185
joint_month_level_ridge,Joint Month-Level Ridge,3,16,0.0001,100000000.0,100000000.0,100000000.0,100000000.0,0.0625,0.8125,1.5999999400829161e-07,1.2024335221973135,1.5999999422271443e-07,13.98448462298676,data\processed\modeling\month_level_baseline_results\joint_month_level_ridge_fold_diagnostics.csv,15733435.77767444,10968856.37638447,0.925834600685251,5,-10.258791353447611
temperature_month_level_ridge,Temperature Month-Level Ridge,4,16,0.3162277660168379,100000000.0,100000000.0,100000000.0,100000000.0,0.0,0.8125,8.999999688623912e-08,0.3619778292053747,8.999999701549659e-08,5.080536502690493,data\processed\modeling\month_level_baseline_results\temperature_month_level_ridge_fold_diagnostics.csv,16240364.52178803,11826139.99098557,0.9534581251495629,2,-1.2108465480247523
rainfall_month_level_ridge,Rainfall Month-Level Ridge,4,16,1.7782794100389228,75000044.45698525,100000000.0,100000000.0,100000000.0,0.0,0.75,8.99999980963768e-08,0.30336186238455687,8.99999982144558e-08,2.6706051596485985,data\processed\modeling\month_level_baseline_results\rainfall_month_level_ridge_fold_diagnostics.csv,16520156.467552714,12122147.080537587,0.951840647320818,4,-2.95452537063808
joint_month_level_ridge,Joint Month-Level Ridge,4,16,0.0001,100000000.0,100000000.0,100000000.0,100000000.0,0.0625,0.8125,1.5999999400829161e-07,1.2024335221976987,1.5999999422271443e-07,13.984484622992923,data\processed\modeling\month_level_baseline_results\joint_month_level_ridge_fold_diagnostics.csv,18318241.42797368,13499585.444555238,0.940786615468436,5,-14.160289918923066
temperature_month_level_ridge,Temperature Month-Level Ridge,5,16,0.1,100000000.0,100000000.0,100000000.0,100000000.0,0.0,0.8125,8.999999688623912e-08,0.47157133719233413,8.999999701549663e-08,6.834032630481844,data\processed\modeling\month_level_baseline_results\temperature_month_level_ridge_fold_diagnostics.csv,19753791.35192518,14957783.221938455,0.8934656902946748,2,-1.4943094994018902
