horizon,term,term_type,coefficient_standardized_mean,coefficient_standardized_std,coefficient_standardized_min,coefficient_standardized_max,coefficient_raw_mean,coefficient_raw_std
1,block_fe_10,block_fixed_effect,-24839181.812500015,672849.4748658964,-26090649.666666716,-23620900.533333376,-24839181.812500015,672849.4748658964
1,block_fe_11,block_fixed_effect,-25073201.75000002,666259.8555634022,-26309643.33333338,-23861029.266666725,-25073201.75000002,666259.8555634022
1,block_fe_12,block_fixed_effect,-21849619.62500001,659759.9043482522,-22934791.00000003,-20813615.86666671,-21849619.62500001,659759.9043482522
1,block_fe_2,block_fixed_effect,22430432.374999993,653394.8809505816,21527203.86666669,23920549.599999923,22430432.374999993,653394.8809505816
1,block_fe_3,block_fixed_effect,23109614.187499993,637325.3286678653,22309530.40000002,24814228.533333275,23109614.187499993,637325.3286678653
1,block_fe_4,block_fixed_effect,29139259.562499993,672147.5394905361,27890667.999999963,30123864.933333278,29139259.562499993,672147.5394905361
1,block_fe_5,block_fixed_effect,27239103.18749999,788994.9629785126,25719801.7333333,28606699.19999993,27239103.18749999,788994.9629785126
1,block_fe_6,block_fixed_effect,19606315.624999993,722237.2643952903,18359232.066666637,20790008.13333337,19606315.624999993,722237.2643952903
1,block_fe_7,block_fixed_effect,11853515.374999994,873424.0038569606,9952659.599999962,13246652.733333353,11853515.374999994,873424.0038569606
1,block_fe_8,block_fixed_effect,-1907954.7500000077,968081.3142236535,-4096036.266666734,-519168.46666666534,-1907954.7500000077,968081.3142236535
1,block_fe_9,block_fixed_effect,-18203981.812500015,856411.0960358983,-19940826.26666672,-16927399.533333354,-18203981.812500015,856411.0960358983
1,intercept,intercept,25311804.562500007,665662.6648692301,24078540.666666716,26555986.53333337,12113388.260742597,20673904.337468658
1,growing_season_average_temperature,weather,417584.59777205717,590024.7648529246,-1350641.842385392,1130987.987184902,448349.7907663592,805306.2317608187
1,rainfall_apr,weather,944487.4970598253,343033.45353785215,377887.682874721,1480560.5067780835,35101.29917940458,12581.01189935669
1,rainfall_dec,weather,-122053.61784656,406913.0897738506,-837296.9450985036,511596.68243518093,-2405.472221780265,8218.044452404776
1,rainfall_feb,weather,318975.9262908109,359365.4308245677,-261002.22718301928,1233795.021815787,6715.190291446337,7550.386612197471
1,rainfall_jan,weather,-51855.37048744794,491657.4306983693,-1060675.906146286,817652.4082796777,-852.1710538620594,7526.559367361
