horizon,held_out_season,term,term_type,coefficient_standardized,coefficient_raw
1,10-11,intercept,intercept,24608332.53333332,8234522.103789091
1,10-11,rainfall_sep,weather,953475.2035253467,26252.346696021294
1,10-11,rainfall_oct,weather,-385117.8076918946,-9309.002024189715
1,10-11,rainfall_nov,weather,512509.74230302847,11111.436148265406
1,10-11,rainfall_dec,weather,133307.51514754485,3422.279571671712
1,10-11,rainfall_jan,weather,647.3473372819669,10.263492791744213
1,10-11,rainfall_feb,weather,161244.33513530204,3266.1412112572325
1,10-11,rainfall_mar,weather,-617981.1584087659,-16409.17919341581
1,10-11,rainfall_apr,weather,912007.6470517671,33078.75988453441
1,10-11,growing_season_average_temperature,weather,472357.1934751439,549407.1188347357
1,10-11,block_fe_2,block_fixed_effect,22896325.66666668,22896325.66666668
1,10-11,block_fe_3,block_fixed_effect,23539619.866666667,23539619.866666667
1,10-11,block_fe_4,block_fixed_effect,29966360.066666696,29966360.066666696
1,10-11,block_fe_5,block_fixed_effect,27974925.93333334,27974925.93333334
1,10-11,block_fe_6,block_fixed_effect,20629931.53333333,20629931.53333333
1,10-11,block_fe_7,block_fixed_effect,12596831.73333334,12596831.73333334
1,10-11,block_fe_8,block_fixed_effect,-1502356.533333332,-1502356.533333332
1,10-11,block_fe_9,block_fixed_effect,-17400400.533333328,-17400400.533333328
1,10-11,block_fe_10,block_fixed_effect,-24123840.06666666,-24123840.06666666
1,10-11,block_fe_11,block_fixed_effect,-24360882.333333313,-24360882.333333313
1,10-11,block_fe_12,block_fixed_effect,-20979704.66666664,-20979704.66666664
1,11-12,intercept,intercept,26101652.799999967,-12638209.342493348
1,11-12,rainfall_sep,weather,514018.02204418596,12037.330559477305
1,11-12,rainfall_oct,weather,-677078.456718539,-16166.593609168365
1,11-12,rainfall_nov,weather,178475.06119767524,3819.2858902910016
1,11-12,rainfall_dec,weather,-30485.705011760943,-602.4367862379546
1,11-12,rainfall_jan,weather,538651.1630477372,8634.16604128633
1,11-12,rainfall_feb,weather,781806.8764649767,16713.517567477393
1,11-12,rainfall_mar,weather,281249.3939008879,9150.606161575295
1,11-12,rainfall_apr,weather,1409799.6354395107,51725.51453185164
1,11-12,growing_season_average_temperature,weather,1099101.5641531528,1279870.0401428486
1,11-12,block_fe_2,block_fixed_effect,21527203.86666669,21527203.86666669
1,11-12,block_fe_3,block_fixed_effect,22309530.40000002,22309530.40000002
1,11-12,block_fe_4,block_fixed_effect,28423789.733333364,28423789.733333364
1,11-12,block_fe_5,block_fixed_effect,26676652.733333334,26676652.733333334
1,11-12,block_fe_6,block_fixed_effect,18727949.066666722,18727949.066666722
1,11-12,block_fe_7,block_fixed_effect,11691055.000000028,11691055.000000028
1,11-12,block_fe_8,block_fixed_effect,-2125172.1333332714,-2125172.1333332714
1,11-12,block_fe_9,block_fixed_effect,-18566804.3333333,-18566804.3333333
1,11-12,block_fe_10,block_fixed_effect,-25597521.866666634,-25597521.866666634
1,11-12,block_fe_11,block_fixed_effect,-25848739.33333332,-25848739.33333332
1,11-12,block_fe_12,block_fixed_effect,-22417169.53333329,-22417169.53333329
1,12-13,intercept,intercept,26555986.53333337,16260999.603055172
1,12-13,rainfall_sep,weather,803377.859958496,19519.537479294228
1,12-13,rainfall_oct,weather,-568021.9590044593,-13936.249442679473
1,12-13,rainfall_nov,weather,638604.8774424469,13362.043810411096
1,12-13,rainfall_dec,weather,-323320.6890640089,-6395.628834637076
1,12-13,rainfall_jan,weather,178235.9344183269,2679.5563047784085
1,12-13,rainfall_feb,weather,243897.9066663691,5203.305121384702
1,12-13,rainfall_mar,weather,-714469.6516782218,-20730.487781995733
1,12-13,rainfall_apr,weather,979598.7691520824,37315.05237143344
1,12-13,growing_season_average_temperature,weather,316087.00340311875,363324.7501105876
1,12-13,block_fe_2,block_fixed_effect,22089267.866666637,22089267.866666637
1,12-13,block_fe_3,block_fixed_effect,22900983.799999967,22900983.799999967
1,12-13,block_fe_4,block_fixed_effect,27890667.999999963,27890667.999999963
1,12-13,block_fe_5,block_fixed_effect,25719801.7333333,25719801.7333333
1,12-13,block_fe_6,block_fixed_effect,18359232.066666637,18359232.066666637
1,12-13,block_fe_7,block_fixed_effect,9952659.599999962,9952659.599999962
1,12-13,block_fe_8,block_fixed_effect,-4096036.266666734,-4096036.266666734
1,12-13,block_fe_9,block_fixed_effect,-19940826.26666672,-19940826.26666672
