horizon,held_out_season,training_seasons,training_observations,test_observations,weather_predictor_count,weather_max_rank_after_centering,weather_rank,weather_full_column_rank,weather_condition_number,augmented_design_columns,augmented_design_rank,augmented_design_full_column_rank,augmented_design_condition_number,fold_rmse,fold_mae,fold_r_squared,weather_singular_value_1,weather_singular_value_2,weather_singular_value_3,weather_singular_value_4,weather_singular_value_5,weather_singular_value_6,weather_singular_value_7,weather_singular_value_8,weather_singular_value_9
1,10-11,15,180,12,9,9,9,True,5.091879106206503,21,21,True,22.866861542130955,4718936.3291435875,4112494.1250868835,0.9501067694042239,7.111911507422636,5.314359585037067,4.071334345082353,3.660703476473934,3.3486097878227485,2.4279046788934138,2.0925714587416318,1.6625891609278565,1.396716488958646
1,11-12,15,180,12,9,9,9,True,5.53180647967052,21,21,True,22.684838127765445,8251463.811023349,6814471.712406516,0.8564424787503617,7.05529969767071,5.2838476104994285,4.030912873213113,3.561110266871334,3.2644781492728066,2.736180303983718,2.4899844148195176,1.5504039299291221,1.275406094482707
1,12-13,15,180,12,9,9,9,True,5.9737915184989925,21,21,True,23.550663514545313,10497641.839942047,7754329.779024366,0.7465790605562042,7.324583417271384,4.839528433906044,4.157368967925349,3.6940316348556204,3.311044785675893,2.4752878854582607,2.3791240911525784,1.6571623990979163,1.226119692089924
1,13-14,15,180,12,9,9,9,True,6.122521545239166,21,21,True,22.937209066126368,6127584.462476931,4151275.3214363116,0.9084746103196333,7.1337905643496144,5.2854194491029665,4.0220598167286745,3.7369630616411738,3.2137808343494543,2.5818804581365127,2.326491350482953,1.5056007553570763,1.1651719821054456
1,14-15,15,180,12,9,9,9,True,7.6262467735668436,21,21,True,23.088755358235368,4606701.9693917455,3906711.032677065,0.9528220907313327,7.180923565823008,5.241612405710039,4.105862240095818,3.769280412619209,3.159876205966767,2.570826771218859,2.327277949352455,1.4133093006396902,0.9416065043571158
1,15-16,15,180,12,9,9,9,True,5.7740629176634215,21,21,True,23.256840454779706,6820736.831080484,5959205.356437591,0.8576169009328175,7.233200365161538,4.987091213112179,4.195123405209574,3.8356019470047547,3.1937144697614785,2.6128931259002175,2.076833787566942,1.609129820753641,1.2527054984168033
1,16-17,15,180,12,9,9,9,True,6.903004546695441,21,21,True,22.763792839800374,6324998.348846773,4093908.016666658,0.903554173822477,7.079855709611928,4.998542588172408,4.20114155316709,3.7546462673681447,3.2158747240465764,2.8180725064366343,2.4620542374942818,1.657186462243423,1.0256194475492773
1,17-18,15,180,12,9,9,9,True,7.014894874388114,21,21,True,23.607280954915996,4937015.671321574,4098116.369120631,0.9447647525912026,7.3421922275119735,4.8198450304880165,4.087139129687683,3.728475937938227,3.3904383420008766,2.6175818663589006,2.2535115156026446,1.6536187804481637,1.0466574851062767
1,18-19,15,180,12,9,9,9,True,8.286676239529575,21,21,True,23.272503712586463,6952014.208029162,5587616.204060516,0.8783394479845142,7.238071855865868,5.279427827302866,4.141560344726012,3.7391154030923515,3.115245830081555,2.5552332068822423,2.0316570772532208,1.5747752631401066,0.8734589896656522
1,19-20,15,180,12,9,9,9,True,6.864976361903636,21,21,True,23.52051058486082,6839501.721238525,5887767.458661147,0.9024448029438041,7.315205437385046,5.355843691033883,4.22408919560093,3.6916121198248,2.7799373773128377,2.38186722113886,2.037578039819425,1.6258051781436555,1.0655834851784636
1,20-21,15,180,12,9,9,9,True,6.620704635558892,21,21,True,23.738219086584294,5562126.175606823,4006692.205555553,0.9420376490697241,7.38291580488862,4.980483012508026,4.156566857545805,3.882116633475723,3.303110070132628,2.4772537585823566,1.6793903455944938,1.4927446888839635,1.1151253848776153
1,21-22,15,180,12,9,9,9,True,5.620128652836296,21,21,True,22.49730086379168,8178936.487386891,5102959.771110958,0.8653467949641989,6.996973004116031,5.4077158568154395,4.140161859109375,3.727095294873871,3.1293659559396296,2.4829569822542634,2.3498534848516046,1.6543862888100163,1.244984489916416
1,22-23,15,180,12,9,9,9,True,5.715057734988963,21,21,True,23.184842351489557,3853108.6014272,3290164.0546558336,0.964282565024055,7.210807955151166,5.222204214557111,4.248756573329252,3.719202451808631,2.7097919454135155,2.633662732722362,2.33740639208726,1.5855195856969324,1.2617209290826337
1,23-24,15,180,12,9,9,9,True,6.168334939923721,21,21,True,23.003688701476776,7982044.2997135585,6361289.021002124,0.865485915856804,7.154466654191965,5.2307143176907,4.100100103983917,3.7468059734249173,3.183930703287626,2.654256305890935,2.130041539829739,1.5934215116497081,1.1598700012033456
1,24-25,15,180,12,9,9,9,True,5.5053138726372675,21,21,True,22.244547047084986,9592980.789148549,8713337.704213873,0.8137305888623991,6.918363056954307,5.533773868703839,4.279744788025516,3.5274939248848014,3.2696728166921067,2.4600073287763538,2.215396973563942,1.5888897985078319,1.2566700495207428
1,25-26,15,180,12,9,9,9,True,6.125547383162134,21,21,True,22.94946320392388,4920209.579032692,4031294.557447327,0.9512226392521137,7.137601771386278,5.317142250598736,4.080345150049815,3.5259882003490257,3.1574483698347744,2.7178684894850385,2.4034668515884157,1.4866584244691987,1.1652186041374968
2,10-11,15,90,6,9,9,9,True,5.091879106206503,15,15,True,11.775832518402293,7955655.445557377,7227822.000347514,0.9628633061388251,7.111911507422636,5.314359585037067,4.071334345082353,3.660703476473934,3.3486097878227485,2.4279046788934138,2.0925714587416318,1.6625891609278565,1.396716488958646
2,11-12,15,90,6,9,9,9,True,5.53180647967052,15,15,True,11.682095245447407,14977527.473938279,13628943.424812978,0.8638973559974665,7.05529969767071,5.2838476104994285,4.030912873213113,3.561110266871334,3.2644781492728066,2.736180303983718,2.4899844148195176,1.5504039299291221,1.275406094482707
2,12-13,15,90,6,9,9,9,True,5.9737915184989925,15,15,True,12.127972556862254,19286813.288225655,15263027.188888894,0.7460459012211609,7.324583417271384,4.839528433906044,4.157368967925349,3.6940316348556204,3.311044785675893,2.4752878854582607,2.3791240911525784,1.6571623990979163,1.226119692089924
2,13-14,15,90,6,9,9,9,True,6.122521545239166,15,15,True,11.812059643805053,10706185.949501825,8302550.642872657,0.9215801559456538,7.1337905643496144,5.2854194491029665,4.0220598167286745,3.7369630616411738,3.2137808343494543,2.5818804581365127,2.326491350482953,1.5056007553570763,1.1651719821054456
2,14-15,15,90,6,9,9,9,True,7.6262467735668436,15,15,True,11.890102000049351,5102923.652701201,4885042.430708374,0.9832464039683875,7.180923565823008,5.241612405710039,4.105862240095818,3.769280412619209,3.159876205966767,2.570826771218859,2.327277949352455,1.4133093006396902,0.9416065043571158
2,15-16,15,90,6,9,9,9,True,5.7740629176634215,15,15,True,11.976661405768356,10690546.47423391,9364898.900000006,0.8937829290314425,7.233200365161538,4.987091213112179,4.195123405209574,3.8356019470047547,3.1937144697614785,2.6128931259002175,2.076833787566942,1.609129820753641,1.2527054984168033
2,16-17,15,90,6,9,9,9,True,6.903004546695441,15,15,True,11.722754846405293,6043685.485380904,4451458.188888884,0.9767230404565068,7.079855709611928,4.998542588172408,4.20114155316709,3.7546462673681447,3.2158747240465764,2.8180725064366343,2.4620542374942818,1.657186462243423,1.0256194475492773
2,17-18,15,90,6,9,9,9,True,7.014894874388114,15,15,True,12.15712905016579,8321449.242177498,7089772.938241273,0.9582220082158058,7.3421922275119735,4.8198450304880165,4.087139129687683,3.728475937938227,3.3904383420008766,2.6175818663589006,2.2535115156026446,1.6536187804481637,1.0466574851062767
2,18-19,15,90,6,9,9,9,True,8.286676239529575,15,15,True,11.984727571747692,12176958.851370404,10557652.320228843,0.9042927121856439,7.238071855865868,5.279427827302866,4.141560344726012,3.7391154030923515,3.115245830081555,2.5552332068822423,2.0316570772532208,1.5747752631401066,0.8734589896656522
2,19-20,15,90,6,9,9,9,True,6.864976361903636,15,15,True,12.112444590803172,12046548.459204417,11634537.04523095,0.913733820504951,7.315205437385046,5.355843691033883,4.22408919560093,3.6916121198248,2.7799373773128377,2.38186722113886,2.037578039819425,1.6258051781436555,1.0655834851784636
2,20-21,15,90,6,9,9,9,True,6.620704635558892,15,15,True,12.224558745577093,9245064.620666077,7834126.522222217,0.9573061997815402,7.38291580488862,4.980483012508026,4.156566857545805,3.882116633475723,3.303110070132628,2.4772537585823566,1.6793903455944938,1.4927446888839635,1.1151253848776153
2,21-22,15,90,6,9,9,9,True,5.620128652836296,15,15,True,11.585518484904865,15886886.620223988,9415648.267110882,0.8613175801738558,6.996973004116031,5.4077158568154395,4.140161859109375,3.727095294873871,3.1293659559396296,2.4829569822542634,2.3498534848516046,1.6543862888100163,1.244984489916416
2,22-23,15,90,6,9,9,9,True,5.715057734988963,15,15,True,11.939584275422986,6304396.382086588,6011595.731533859,0.9725208439356496,7.210807955151166,5.222204214557111,4.248756573329252,3.719202451808631,2.7097919454135155,2.633662732722362,2.33740639208726,1.5855195856969324,1.2617209290826337
2,23-24,15,90,6,9,9,9,True,6.168334939923721,15,15,True,11.846294908243431,12787754.271172766,11282252.390405133,0.8988038913102615,7.154466654191965,5.2307143176907,4.100100103983917,3.7468059734249173,3.183930703287626,2.654256305890935,2.130041539829739,1.5934215116497081,1.1598700012033456
