horizon,term,term_type,coefficient_standardized_mean,coefficient_standardized_std,coefficient_standardized_min,coefficient_standardized_max,coefficient_raw_mean,coefficient_raw_std
1,block_fe_10,block_fixed_effect,-24839181.812500004,672849.474865895,-26090649.666666664,-23620900.53333334,-24839181.812500004,672849.474865895
1,block_fe_11,block_fixed_effect,-25073201.749999978,666259.8555634044,-26309643.3333333,-23861029.26666665,-25073201.749999978,666259.8555634044
1,block_fe_12,block_fixed_effect,-21849619.62499998,659759.9043482549,-22934790.999999978,-20813615.866666645,-21849619.62499998,659759.9043482549
1,block_fe_2,block_fixed_effect,22430432.374999996,653394.8809505963,21527203.866666652,23920549.599999998,22430432.374999996,653394.8809505963
1,block_fe_3,block_fixed_effect,23109614.187499993,637325.328667903,22309530.399999984,24814228.53333334,23109614.187499993,637325.328667903
1,block_fe_4,block_fixed_effect,29139259.56250001,672147.5394905437,27890668.0,30123864.933333367,29139259.56250001,672147.5394905437
1,block_fe_5,block_fixed_effect,27239103.187500004,788994.9629785189,25719801.73333334,28606699.200000003,27239103.187500004,788994.9629785189
1,block_fe_6,block_fixed_effect,19606315.625,722237.2643952975,18359232.066666655,20790008.13333334,19606315.625,722237.2643952975
1,block_fe_7,block_fixed_effect,11853515.375000002,873424.0038569568,9952659.600000003,13246652.733333347,11853515.375000002,873424.0038569568
1,block_fe_8,block_fixed_effect,-1907954.7500000072,968081.3142236372,-4096036.2666666713,-519168.4666666649,-1907954.7500000072,968081.3142236372
1,block_fe_9,block_fixed_effect,-18203981.81250001,856411.0960358852,-19940826.266666673,-16927399.533333346,-18203981.81250001,856411.0960358852
1,intercept,intercept,25311804.562499996,665662.6648692376,24078540.666666657,26555986.53333333,25618136.202116735,1428776.3992233623
1,growing_season_average_temperature,weather,-14935.464019924844,47261.06623179098,-186894.96268215353,0.0004917606654089234,-22261.14642439723,74094.66554474976
1,rainfall_apr,weather,22512.750326190497,59389.249899700815,0.0005216247007288605,190751.28277903356,825.3798828022038,2170.2963109309608
1,rainfall_dec,weather,18653.53620889615,50466.34647466685,0.0036696412045038314,188225.25863214818,400.05710203481476,1110.6929221842972
1,rainfall_feb,weather,23210.223772903035,58906.18314153828,0.003973364001075372,182621.8296766114,488.2964341885465,1240.9984129851655
1,rainfall_jan,weather,-5346.623667684248,24691.71472830054,-96124.93538973636,17842.68779893167,-82.08761678045235,382.49769016586066
1,rainfall_mar,weather,-384.6319146331236,39504.427950996265,-110812.90689880827,105503.80453257554,28.985979220122875,1167.6629507389032
1,rainfall_nov,weather,22660.184097018187,65712.7673565286,0.003327587743161082,257835.83302674734,483.3127186326407,1401.6808792588665
1,rainfall_oct,weather,-19692.391991620876,54817.99723530787,-205135.4153122485,-0.0017670442945755332,-494.6991825396429,1397.0525546491729
1,rainfall_sep,weather,27710.595349663978,69617.16957555151,0.006478387809877183,220387.65379636682,648.2524680059096,1626.4871988873447
2,block_fe_2,block_fixed_effect,29818441.375000022,684427.8944845361,28702383.933333363,31017543.86666669,29818441.375000022,684427.8944845361
2,block_fe_3,block_fixed_effect,24414986.437499993,985263.0141838812,21989765.933333356,26026609.199999996,24414986.437499993,985263.0141838812
2,block_fe_4,block_fixed_effect,-12484871.749999994,1479510.219605174,-16232644.533333328,-10107809.333333317,-12484871.749999994,1479510.219605174
2,block_fe_5,block_fixed_effect,-65473595.99999997,1096935.8089639635,-68120743.79999997,-63839565.26666666,-65473595.99999997,1096935.8089639635
2,block_fe_6,block_fixed_effect,-69353253.75000001,884325.0733763127,-71333702.20000002,-68049077.93333335,-69353253.75000001,884325.0733763127
2,intercept,intercept,73054041.5,846828.8446458059,71883554.86666667,75201240.93333332,73666704.77923349,2720702.3515748736
2,growing_season_average_temperature,weather,-29870.928039849696,94522.13246358198,-373789.9253643071,0.0009835213308178462,-44522.29284879446,148189.33108949952
2,rainfall_apr,weather,45025.50065238099,118778.49979940162,0.0010432494014577228,381502.565558067,1650.759765604408,4340.5926218619215
2,rainfall_dec,weather,37307.07241779228,100932.69294933365,0.007339282409007663,376450.5172642963,800.1142040696292,2221.385844368594
2,rainfall_feb,weather,46420.447545806055,117812.3662830765,0.007946728002150747,365243.6593532229,976.5928683770926,2481.99682597033
2,rainfall_jan,weather,-10693.247335368502,49383.4294566011,-192249.87077947284,35685.37559786336,-164.1752335609048,764.9953803317219
2,rainfall_mar,weather,-769.2638292662181,79008.85590199255,-221625.81379761637,211007.60906515137,57.9719584402466,2335.3259014778077
2,rainfall_nov,weather,45320.36819403637,131425.53471305716,0.006655175486322166,515671.66605349455,966.6254372652812,2803.361758517732
2,rainfall_oct,weather,-39384.78398324178,109635.99447061581,-410270.8306244972,-0.0035340885891510672,-989.3983650792866,2794.105109298347
2,rainfall_sep,weather,55421.19069932795,139234.33915110302,0.012956775619754361,440775.3075927337,1296.5049360118192,3252.9743977746894
