horizon,term,term_type,coefficient_standardized_mean,coefficient_standardized_std,coefficient_standardized_min,coefficient_standardized_max,coefficient_raw_mean,coefficient_raw_std
1,block_fe_10,block_fixed_effect,-24839181.812499996,672849.4748658899,-26090649.66666667,-23620900.53333336,-24839181.812499996,672849.4748658899
1,block_fe_11,block_fixed_effect,-25073201.75,666259.855563402,-26309643.33333333,-23861029.266666673,-25073201.75,666259.855563402
1,block_fe_12,block_fixed_effect,-21849619.625,659759.9043482483,-22934791.000000015,-20813615.8666667,-21849619.625,659759.9043482483
1,block_fe_2,block_fixed_effect,22430432.375000007,653394.8809505836,21527203.866666697,23920549.59999997,22430432.375000007,653394.8809505836
1,block_fe_3,block_fixed_effect,23109614.187500004,637325.3286678926,22309530.40000002,24814228.53333331,23109614.187500004,637325.3286678926
1,block_fe_4,block_fixed_effect,29139259.562500004,672147.5394905356,27890668.000000007,30123864.933333308,29139259.562500004,672147.5394905356
1,block_fe_5,block_fixed_effect,27239103.1875,788994.962978509,25719801.73333334,28606699.200000003,27239103.1875,788994.962978509
1,block_fe_6,block_fixed_effect,19606315.625,722237.2643952955,18359232.066666678,20790008.13333334,19606315.625,722237.2643952955
1,block_fe_7,block_fixed_effect,11853515.375000004,873424.0038569518,9952659.600000022,13246652.73333333,11853515.375000004,873424.0038569518
1,block_fe_8,block_fixed_effect,-1907954.7499999995,968081.3142236312,-4096036.266666677,-519168.46666670596,-1907954.7499999995,968081.3142236312
1,block_fe_9,block_fixed_effect,-18203981.8125,856411.0960358761,-19940826.26666665,-16927399.533333376,-18203981.8125,856411.0960358761
1,intercept,intercept,25311804.5625,665662.6648692295,24078540.666666694,26555986.533333343,-5554906.676134169,15340732.43654036
1,growing_season_total_rainfall,weather,706991.3469147427,263600.4721264416,279866.23869982397,1069457.4572765038,3578.696281564758,1363.8982968149628
1,temperature_apr,weather,635160.8000807692,510701.33008688316,-279685.5915260426,1989484.633012545,611989.6373579444,524840.2919366302
1,temperature_dec,weather,-878295.5371532489,428000.0698153513,-2205734.9802113366,-462212.8133498196,-985058.1653844866,531467.1111464957
1,temperature_feb,weather,-665693.6914789582,567216.9218659655,-1778960.3152155234,529982.9344623612,-695764.3307232108,615508.7189149695
1,temperature_jan,weather,742626.8461852338,297014.9018761754,299925.27750283387,1337241.0596890792,668109.4345221261,266046.733694223
1,temperature_mar,weather,1043919.6373243142,477444.5023820571,18246.318589184102,1813957.9666151286,905259.686920208,402030.6584714031
1,temperature_nov,weather,1156909.5137190227,549934.6737906316,-130302.68740953175,2263317.6147432784,1159257.2420556045,554732.9497539373
1,temperature_oct,weather,1919165.926463026,308520.0707289466,1529883.1989551075,2722087.982269154,1399737.4536660216,216624.83811852647
1,temperature_sep,weather,-3106291.594774948,563011.6547342006,-4194403.7529638,-1840167.1556414964,-1938306.7079398278,334805.75804059615
2,block_fe_2,block_fixed_effect,29818441.375000007,684427.8944845353,28702383.933333337,31017543.86666672,29818441.375000007,684427.8944845353
2,block_fe_3,block_fixed_effect,24414986.437500015,985263.0141838795,21989765.93333339,26026609.200000007,24414986.437500015,985263.0141838795
2,block_fe_4,block_fixed_effect,-12484871.749999987,1479510.2196051853,-16232644.533333357,-10107809.33333333,-12484871.749999987,1479510.2196051853
2,block_fe_5,block_fixed_effect,-65473595.99999999,1096935.8089639712,-68120743.8,-63839565.26666666,-65473595.99999999,1096935.8089639712
2,block_fe_6,block_fixed_effect,-69353253.75,884325.0733763078,-71333702.20000002,-68049077.93333334,-69353253.75,884325.0733763078
2,intercept,intercept,73054041.5,846828.8446458078,71883554.86666666,75201240.93333335,11320619.022732316,30616354.751511913
2,growing_season_total_rainfall,weather,1413982.6938294577,527200.9442528613,559732.4773996433,2138914.9145528,7157.392563129381,2727.796593629836
2,temperature_apr,weather,1270321.600161557,1021402.6601737418,-559371.1830521123,3978969.266024976,1223979.2747159058,1049680.583873235
