horizon,held_out_season,term,term_type,coefficient_standardized,coefficient_raw
1,10-11,intercept,intercept,24608332.533333354,-14205962.97132548
1,10-11,temperature_sep,weather,-3583708.4177654013,-2215502.022369379
1,10-11,temperature_oct,weather,1603570.4448837638,1195451.3303867688
1,10-11,temperature_nov,weather,1961826.0285435966,1962551.93412934
1,10-11,temperature_dec,weather,-1278467.7318329655,-1415815.9530303644
1,10-11,temperature_jan,weather,909120.7126553818,804854.6796347009
1,10-11,temperature_feb,weather,-800648.7537748001,-812354.7793400385
1,10-11,temperature_mar,weather,1813957.9666151286,1549679.7480947284
1,10-11,temperature_apr,weather,305530.0034049868,303312.0101061948
1,10-11,growing_season_total_rainfall,weather,951440.6109446717,5386.518804273453
1,10-11,block_fe_2,block_fixed_effect,22896325.666666664,22896325.666666664
1,10-11,block_fe_3,block_fixed_effect,23539619.866666675,23539619.866666675
1,10-11,block_fe_4,block_fixed_effect,29966360.066666655,29966360.066666655
1,10-11,block_fe_5,block_fixed_effect,27974925.933333308,27974925.933333308
1,10-11,block_fe_6,block_fixed_effect,20629931.533333335,20629931.533333335
1,10-11,block_fe_7,block_fixed_effect,12596831.733333303,12596831.733333303
1,10-11,block_fe_8,block_fixed_effect,-1502356.533333344,-1502356.533333344
1,10-11,block_fe_9,block_fixed_effect,-17400400.533333328,-17400400.533333328
1,10-11,block_fe_10,block_fixed_effect,-24123840.066666685,-24123840.066666685
1,10-11,block_fe_11,block_fixed_effect,-24360882.33333335,-24360882.33333335
1,10-11,block_fe_12,block_fixed_effect,-20979704.666666664,-20979704.666666664
1,11-12,intercept,intercept,26101652.799999982,-4880473.343006752
1,11-12,temperature_sep,weather,-2593448.496955282,-1575003.1566212163
1,11-12,temperature_oct,weather,1529883.1989551075,1183879.979157575
1,11-12,temperature_nov,weather,861828.8337811902,852245.7321276398
1,11-12,temperature_dec,weather,-518889.1416932707,-542342.2056621636
1,11-12,temperature_jan,weather,681302.6915647944,595001.3055660189
1,11-12,temperature_feb,weather,-468549.6058018972,-478695.2626237483
1,11-12,temperature_mar,weather,696530.4116873933,643608.7752321757
1,11-12,temperature_apr,weather,424398.7089373334,399449.947717073
