model,horizon,held_out_season,selected_alpha,term,term_type,coefficient_standardized,coefficient_raw
temperature_month_level_ridge,1,10-11,100000000.0,intercept,intercept,24608332.533333343,24608332.748837546
temperature_month_level_ridge,1,10-11,100000000.0,block_fe_2,block_fixed_effect,22896325.666666646,22896325.666666646
temperature_month_level_ridge,1,10-11,100000000.0,block_fe_3,block_fixed_effect,23539619.866666637,23539619.866666637
temperature_month_level_ridge,1,10-11,100000000.0,block_fe_4,block_fixed_effect,29966360.06666667,29966360.06666667
temperature_month_level_ridge,1,10-11,100000000.0,block_fe_5,block_fixed_effect,27974925.933333322,27974925.933333322
temperature_month_level_ridge,1,10-11,100000000.0,block_fe_6,block_fixed_effect,20629931.533333316,20629931.533333316
temperature_month_level_ridge,1,10-11,100000000.0,block_fe_7,block_fixed_effect,12596831.733333334,12596831.733333334
temperature_month_level_ridge,1,10-11,100000000.0,block_fe_8,block_fixed_effect,-1502356.533333348,-1502356.533333348
temperature_month_level_ridge,1,10-11,100000000.0,block_fe_9,block_fixed_effect,-17400400.53333336,-17400400.53333336
temperature_month_level_ridge,1,10-11,100000000.0,block_fe_10,block_fixed_effect,-24123840.066666685,-24123840.066666685
temperature_month_level_ridge,1,10-11,100000000.0,block_fe_11,block_fixed_effect,-24360882.333333343,-24360882.333333343
temperature_month_level_ridge,1,10-11,100000000.0,block_fe_12,block_fixed_effect,-20979704.666666664,-20979704.666666664
temperature_month_level_ridge,1,10-11,100000000.0,temperature_sep,weather,-0.00572905379879989,-0.003541786551211274
temperature_month_level_ridge,1,10-11,100000000.0,temperature_oct,weather,0.006238791822074186,0.004650978700374645
temperature_month_level_ridge,1,10-11,100000000.0,temperature_nov,weather,-0.00013935108345039478,-0.00013940264547902744
temperature_month_level_ridge,1,10-11,100000000.0,temperature_dec,weather,-0.0008134490610842055,-0.0009008394416098259
temperature_month_level_ridge,1,10-11,100000000.0,temperature_jan,weather,-0.0020951333695280916,-0.0018548448775280702
temperature_month_level_ridge,1,10-11,100000000.0,temperature_feb,weather,-0.0024760317253858357,-0.002512232981605939
temperature_month_level_ridge,1,10-11,100000000.0,temperature_mar,weather,-0.0027797276344939162,-0.002374745004942256
temperature_month_level_ridge,1,10-11,100000000.0,temperature_apr,weather,-0.0037456064991712233,-0.003718415290378346
temperature_month_level_ridge,1,10-11,100000000.0,growing_season_total_rainfall,weather,0.005541348534344707,3.1371982379062715e-05
temperature_month_level_ridge,1,11-12,31.622776601683793,intercept,intercept,26101652.799999997,27536849.869874023
temperature_month_level_ridge,1,11-12,31.622776601683793,block_fe_2,block_fixed_effect,21527203.866666667,21527203.866666667
temperature_month_level_ridge,1,11-12,31.622776601683793,block_fe_3,block_fixed_effect,22309530.400000002,22309530.400000002
temperature_month_level_ridge,1,11-12,31.622776601683793,block_fe_4,block_fixed_effect,28423789.733333357,28423789.733333357
temperature_month_level_ridge,1,11-12,31.622776601683793,block_fe_5,block_fixed_effect,26676652.73333334,26676652.73333334
temperature_month_level_ridge,1,11-12,31.622776601683793,block_fe_6,block_fixed_effect,18727949.06666667,18727949.06666667
temperature_month_level_ridge,1,11-12,31.622776601683793,block_fe_7,block_fixed_effect,11691055.000000004,11691055.000000004
temperature_month_level_ridge,1,11-12,31.622776601683793,block_fe_8,block_fixed_effect,-2125172.133333334,-2125172.133333334
temperature_month_level_ridge,1,11-12,31.622776601683793,block_fe_9,block_fixed_effect,-18566804.33333334,-18566804.33333334
temperature_month_level_ridge,1,11-12,31.622776601683793,block_fe_10,block_fixed_effect,-25597521.866666663,-25597521.866666663
temperature_month_level_ridge,1,11-12,31.622776601683793,block_fe_11,block_fixed_effect,-25848739.333333306,-25848739.333333306
temperature_month_level_ridge,1,11-12,31.622776601683793,block_fe_12,block_fixed_effect,-22417169.533333316,-22417169.533333316
temperature_month_level_ridge,1,11-12,31.622776601683793,temperature_sep,weather,-20782.75734076261,-12621.383633961661
temperature_month_level_ridge,1,11-12,31.622776601683793,temperature_oct,weather,5462.4969276356005,4227.081357096017
temperature_month_level_ridge,1,11-12,31.622776601683793,temperature_nov,weather,-341.9272658006914,-338.1252071808698
temperature_month_level_ridge,1,11-12,31.622776601683793,temperature_dec,weather,-5103.692571458631,-5334.372342411979
temperature_month_level_ridge,1,11-12,31.622776601683793,temperature_jan,weather,-8307.476210326151,-7255.158760271255
temperature_month_level_ridge,1,11-12,31.622776601683793,temperature_feb,weather,-9695.64999594175,-9905.593054916806
temperature_month_level_ridge,1,11-12,31.622776601683793,temperature_mar,weather,-20968.694856453294,-19375.51582576992
temperature_month_level_ridge,1,11-12,31.622776601683793,temperature_apr,weather,-16064.080477357156,-15119.735219907732
temperature_month_level_ridge,1,11-12,31.622776601683793,growing_season_total_rainfall,weather,27932.37802041383,144.11286032548455
temperature_month_level_ridge,1,12-13,100000000.0,intercept,intercept,26555986.533333328,26555986.910814136
temperature_month_level_ridge,1,12-13,100000000.0,block_fe_2,block_fixed_effect,22089267.86666666,22089267.86666666
temperature_month_level_ridge,1,12-13,100000000.0,block_fe_3,block_fixed_effect,22900983.79999999,22900983.79999999
temperature_month_level_ridge,1,12-13,100000000.0,block_fe_4,block_fixed_effect,27890668.000000022,27890668.000000022
temperature_month_level_ridge,1,12-13,100000000.0,block_fe_5,block_fixed_effect,25719801.73333332,25719801.73333332
temperature_month_level_ridge,1,12-13,100000000.0,block_fe_6,block_fixed_effect,18359232.06666667,18359232.06666667
temperature_month_level_ridge,1,12-13,100000000.0,block_fe_7,block_fixed_effect,9952659.600000007,9952659.600000007
temperature_month_level_ridge,1,12-13,100000000.0,block_fe_8,block_fixed_effect,-4096036.2666666713,-4096036.2666666713
temperature_month_level_ridge,1,12-13,100000000.0,block_fe_9,block_fixed_effect,-19940826.266666673,-19940826.266666673
temperature_month_level_ridge,1,12-13,100000000.0,block_fe_10,block_fixed_effect,-26090649.666666664,-26090649.666666664
temperature_month_level_ridge,1,12-13,100000000.0,block_fe_11,block_fixed_effect,-26309643.3333333,-26309643.3333333
temperature_month_level_ridge,1,12-13,100000000.0,block_fe_12,block_fixed_effect,-22934790.999999978,-22934790.999999978
temperature_month_level_ridge,1,12-13,100000000.0,temperature_sep,weather,-0.0071128248884731226,-0.004427143556079718
temperature_month_level_ridge,1,12-13,100000000.0,temperature_oct,weather,0.004542459193807149,0.003277117537041882
temperature_month_level_ridge,1,12-13,100000000.0,temperature_nov,weather,-0.001023016158886815,-0.001088956623536169
temperature_month_level_ridge,1,12-13,100000000.0,temperature_dec,weather,-0.0018063808826708815,-0.0018885983051991563
temperature_month_level_ridge,1,12-13,100000000.0,temperature_jan,weather,-0.004225753891451661,-0.0040491145429426695
temperature_month_level_ridge,1,12-13,100000000.0,temperature_feb,weather,-0.002589657757538357,-0.002626020140700057
temperature_month_level_ridge,1,12-13,100000000.0,temperature_mar,weather,-0.0029381788832600333,-0.0024903540585754793
temperature_month_level_ridge,1,12-13,100000000.0,temperature_apr,weather,-0.0037401062843261984,-0.003560469882853401
temperature_month_level_ridge,1,12-13,100000000.0,growing_season_total_rainfall,weather,0.005628348029942299,2.7639541260744575e-05
temperature_month_level_ridge,1,13-14,100000000.0,intercept,intercept,25289051.466666657,25289051.681651447
temperature_month_level_ridge,1,13-14,100000000.0,block_fe_2,block_fixed_effect,22445542.53333335,22445542.53333335
temperature_month_level_ridge,1,13-14,100000000.0,block_fe_3,block_fixed_effect,23734262.66666665,23734262.66666665
temperature_month_level_ridge,1,13-14,100000000.0,block_fe_4,block_fixed_effect,29267074.86666668,29267074.86666668
temperature_month_level_ridge,1,13-14,100000000.0,block_fe_5,block_fixed_effect,26907416.133333366,26907416.133333366
temperature_month_level_ridge,1,13-14,100000000.0,block_fe_6,block_fixed_effect,19509035.400000013,19509035.400000013
temperature_month_level_ridge,1,13-14,100000000.0,block_fe_7,block_fixed_effect,11479496.733333346,11479496.733333346
temperature_month_level_ridge,1,13-14,100000000.0,block_fe_8,block_fixed_effect,-2754630.9333333317,-2754630.9333333317
temperature_month_level_ridge,1,13-14,100000000.0,block_fe_9,block_fixed_effect,-18739500.86666667,-18739500.86666667
temperature_month_level_ridge,1,13-14,100000000.0,block_fe_10,block_fixed_effect,-24819929.533333335,-24819929.533333335
