model,horizon,held_out_season,training_seasons,training_observations,test_observations,selected_alpha,selected_alpha_at_minimum_grid,selected_alpha_at_maximum_grid,weather_rank,weather_condition_number,weather_effective_degrees_of_freedom,fold_rmse,fold_mae,fold_r_squared
temperature_month_level_ridge,1,10-11,15,180,12,100000000.0,False,True,9,11.075347805740288,8.999999708387989e-08,4316007.347611787,3087503.4898627275,0.9582633352390453
temperature_month_level_ridge,1,11-12,15,180,12,31.622776601683793,False,False,9,12.278651560846598,0.2596774605873928,6003096.826218624,4312004.592380839,0.9240173127578628
temperature_month_level_ridge,1,12-13,15,180,12,100000000.0,False,True,9,10.182790648116617,8.999999693718168e-08,10432559.81932611,7643272.504406169,0.7497115775423109
temperature_month_level_ridge,1,13-14,15,180,12,100000000.0,False,True,9,13.293263577151725,8.999999692881685e-08,6093244.147165902,4118757.145256108,0.9094975921168097
temperature_month_level_ridge,1,14-15,15,180,12,100000000.0,False,True,9,9.753127233692776,8.999999688623912e-08,3974259.115780569,3206870.225166058,0.9648867671914297
temperature_month_level_ridge,1,15-16,15,180,12,100000000.0,False,True,9,9.830660730100366,8.999999699410554e-08,6837603.93596452,5978187.139332413,0.8569118275102666
temperature_month_level_ridge,1,16-17,15,180,12,100000000.0,False,True,9,12.002755586326451,8.999999695940912e-08,6582058.500312095,4190105.4238164523,0.8955553784483327
temperature_month_level_ridge,1,17-18,15,180,12,100000000.0,False,True,9,10.006209609769247,8.999999713904526e-08,3746837.18728872,2770068.3277777755,0.9681860982177898
temperature_month_level_ridge,1,18-19,15,180,12,100000000.0,False,True,9,9.711009528067542,8.999999703688762e-08,5782441.477745013,4020586.47871416,0.9158312315144271
temperature_month_level_ridge,1,19-20,15,180,12,100000000.0,False,True,9,9.79061210596912,8.999999695397234e-08,3601066.0242435024,2703283.1713184877,0.9729564530164687
temperature_month_level_ridge,1,20-21,15,180,12,100000000.0,False,True,9,11.624504372280404,8.999999696378258e-08,5631546.394352523,4046780.960134041,0.9405817780678633
temperature_month_level_ridge,1,21-22,15,180,12,0.31622776601683794,False,False,9,9.836376401807325,5.080536502690493,8174580.870029354,5096503.189763905,0.8654901734269106
temperature_month_level_ridge,1,22-23,15,180,12,100000000.0,False,True,9,9.73279156436905,8.999999699155956e-08,4668032.355855542,3157688.923095858,0.9475765645378704
temperature_month_level_ridge,1,23-24,15,180,12,100000000.0,False,True,9,9.420908470173945,8.999999725155775e-08,6787208.3769076,5016441.982678824,0.902742778727558
temperature_month_level_ridge,1,24-25,15,180,12,17.78279410038923,False,False,9,10.561794849131635,0.4514301340081474,4345627.654784663,3130744.7299898225,0.9617757109798438
temperature_month_level_ridge,1,25-26,15,180,12,100000000.0,False,True,9,10.503663548425495,8.999999717722878e-08,3672298.0097488565,2933200.0324802906,0.9728276670194664
temperature_month_level_ridge,2,10-11,15,90,6,100000000.0,False,True,9,11.075347805740288,8.99999970838799e-08,6980737.135355983,5303152.011111111,0.971407385090447
temperature_month_level_ridge,2,11-12,15,90,6,31.622776601683793,False,False,9,12.278651560846598,0.25967746058739277,9804508.919568053,7586182.491745543,0.9416772485471369
temperature_month_level_ridge,2,12-13,15,90,6,100000000.0,False,True,9,10.182790648116617,8.999999693718166e-08,19145037.151996862,15263027.188888883,0.7497657793050942
temperature_month_level_ridge,2,13-14,15,90,6,100000000.0,False,True,9,13.293263577151725,8.999999692881681e-08,10627499.666151125,8237514.290512219,0.9227286303834837
temperature_month_level_ridge,2,14-15,15,90,6,100000000.0,False,True,9,9.753127233692776,8.99999968862391e-08,2081336.047726286,1865898.7902173093,0.9972128887127315
temperature_month_level_ridge,2,15-16,15,90,6,100000000.0,False,True,9,9.830660730100366,8.999999699410555e-08,10733559.082745813,9364898.899999997,0.892926496825976
temperature_month_level_ridge,2,16-17,15,90,6,100000000.0,False,True,9,12.002755586326451,8.999999695940914e-08,7056748.132154649,4887802.380966245,0.9682654916215595
temperature_month_level_ridge,2,17-18,15,90,6,100000000.0,False,True,9,10.006209609769247,8.999999713904526e-08,5282535.202612079,4256759.314721007,0.9831641742220957
temperature_month_level_ridge,2,18-19,15,90,6,100000000.0,False,True,9,9.711009528067542,8.999999703688764e-08,9418218.43278194,7380493.522222224,0.9427461297373991
temperature_month_level_ridge,2,19-20,15,90,6,100000000.0,False,True,9,9.79061210596912,8.999999695397234e-08,3142435.4638577737,2322288.366666667,0.9941298657264555
temperature_month_level_ridge,2,20-21,15,90,6,100000000.0,False,True,9,11.624504372280404,8.999999696378257e-08,9411667.686111175,7834126.522222217,0.9557535858473665
temperature_month_level_ridge,2,21-22,15,90,6,0.31622776601683794,False,False,9,9.836376401807325,5.080536502690493,15877916.986419128,9405317.736955589,0.8614741343676589
temperature_month_level_ridge,2,22-23,15,90,6,100000000.0,False,True,9,9.73279156436905,8.999999699155956e-08,8217160.973606064,5789400.717540293,0.9533168709438137
temperature_month_level_ridge,2,23-24,15,90,6,100000000.0,False,True,9,9.420908470173945,8.999999725155772e-08,9640504.379740532,7530065.364703126,0.9424858427137659
temperature_month_level_ridge,2,24-25,15,90,6,17.78279410038923,False,False,9,10.561794849131635,0.45143013400814735,7560758.83766856,5626521.331070426,0.9692672960447063
temperature_month_level_ridge,2,25-26,15,90,6,100000000.0,False,True,9,10.503663548425495,8.999999717722881e-08,4445239.107418634,3222041.029921183,0.9884675049447986
temperature_month_level_ridge,3,10-11,15,60,4,100000000.0,False,True,9,11.075347805740288,8.999999708387987e-08,10618361.992609803,8142881.816666635,0.9671283683131975
temperature_month_level_ridge,3,11-12,15,60,4,31.622776601683793,False,False,9,12.278651560846598,0.2596774605873928,14548302.251624955,11379273.737618335,0.9366850711175221
temperature_month_level_ridge,3,12-13,15,60,4,100000000.0,False,True,9,10.182790648116617,8.999999693718166e-08,30585472.617208287,22871530.45000002,0.6955892559248193
temperature_month_level_ridge,3,13-14,15,60,4,100000000.0,False,True,9,13.293263577151725,8.999999692881683e-08,15582293.621342758,11244598.983333338,0.922707987420478
temperature_month_level_ridge,3,14-15,15,60,4,100000000.0,False,True,9,9.753127233692776,8.999999688623911e-08,5870779.090564701,4553789.793161118,0.9886099214166019
temperature_month_level_ridge,3,15-16,15,60,4,100000000.0,False,True,9,9.830660730100366,8.999999699410556e-08,15916507.382566448,14047348.350000005,0.8841065384268371
temperature_month_level_ridge,3,16-17,15,60,4,100000000.0,False,True,9,12.002755586326451,8.999999695940916e-08,5754259.3219149085,5531648.947681371,0.9898714159861093
temperature_month_level_ridge,3,17-18,15,60,4,100000000.0,False,True,9,10.006209609769247,8.999999713904526e-08,4903294.898597239,3381680.299788912,0.9927246618522689
temperature_month_level_ridge,3,18-19,15,60,4,100000000.0,False,True,9,9.711009528067542,8.999999703688761e-08,12811381.852040077,11089598.369475802,0.9488635774231663
temperature_month_level_ridge,3,19-20,15,60,4,100000000.0,False,True,9,9.79061210596912,8.999999695397232e-08,5076975.6431221105,4251266.349999984,0.992080684215513
temperature_month_level_ridge,3,20-21,15,60,4,100000000.0,False,True,9,11.624504372280404,8.999999696378255e-08,13525270.760129714,11751189.783333339,0.9559855351331114
temperature_month_level_ridge,3,21-22,15,60,4,0.31622776601683794,False,False,9,9.836376401807325,5.080536502690492,22907726.894513074,14048868.074908338,0.8665804707321191
temperature_month_level_ridge,3,22-23,15,60,4,100000000.0,False,True,9,9.73279156436905,8.999999699155956e-08,9950847.088622743,8196611.262264688,0.9627884666503319
temperature_month_level_ridge,3,23-24,15,60,4,100000000.0,False,True,9,9.420908470173945,8.999999725155775e-08,16114538.491592346,11384804.315194026,0.9256654887348368
temperature_month_level_ridge,3,24-25,15,60,4,17.78279410038923,False,False,9,10.561794849131635,0.45143013400814747,12397358.477160892,8479223.76990844,0.9595356156463138
temperature_month_level_ridge,3,25-26,15,60,4,100000000.0,False,True,9,10.503663548425495,8.999999717722878e-08,7533006.7598516205,6215598.392322646,0.984032400082529
temperature_month_level_ridge,4,10-11,15,45,3,100000000.0,False,True,9,11.075347805740288,8.999999708387987e-08,10457218.272095902,7853989.559450948,0.9830342093748111
temperature_month_level_ridge,4,11-12,15,45,3,31.622776601683793,False,False,9,12.278651560846598,0.25967746058739277,15881720.945666831,15172364.983491117,0.9510785161145138
temperature_month_level_ridge,4,12-13,15,45,3,100000000.0,False,True,9,10.182790648116617,8.999999693718166e-08,34243976.97956651,28747377.21302709,0.7643003927896442
temperature_month_level_ridge,4,13-14,15,45,3,100000000.0,False,True,9,13.293263577151725,8.999999692881685e-08,17889368.559177276,15625291.869913332,0.9414278875010842
temperature_month_level_ridge,4,14-15,15,45,3,100000000.0,False,True,9,9.753127233692776,8.999999688623911e-08,3069678.3629746693,2936507.78176306,0.998306699661304
temperature_month_level_ridge,4,15-16,15,45,3,100000000.0,False,True,9,9.830660730100366,8.999999699410555e-08,19442798.597889483,18201927.979551837,0.8968846028531393
temperature_month_level_ridge,4,16-17,15,45,3,100000000.0,False,True,9,12.002755586326451,8.999999695940916e-08,8186947.84575854,7375531.930241826,0.9885690294001553
temperature_month_level_ridge,4,17-18,15,45,3,100000000.0,False,True,9,10.006209609769247,8.999999713904526e-08,4261958.858270468,4229826.332770369,0.9966305718116986
temperature_month_level_ridge,4,18-19,15,45,3,100000000.0,False,True,9,9.711009528067542,8.999999703688762e-08,18447823.881741777,14609967.50620076,0.9391220366122982
temperature_month_level_ridge,4,19-20,15,45,3,100000000.0,False,True,9,9.79061210596912,8.999999695397231e-08,4426897.798292611,3980464.9038813165,0.9967240843758698
temperature_month_level_ridge,4,20-21,15,45,3,100000000.0,False,True,9,11.624504372280404,8.999999696378257e-08,15041893.605390409,12065597.007816583,0.9681050894540179
temperature_month_level_ridge,4,21-22,15,45,3,0.31622776601683794,False,False,9,9.836376401807325,5.080536502690493,25005775.994178567,18371340.888644572,0.8853590967808452
temperature_month_level_ridge,4,22-23,15,45,3,100000000.0,False,True,9,9.73279156436905,8.999999699155956e-08,11432528.716632467,10928815.016352965,0.9737921526436527
temperature_month_level_ridge,4,23-24,15,45,3,100000000.0,False,True,9,9.420908470173945,8.999999725155772e-08,17928211.745845698,15060130.729406213,0.9438284222662019
temperature_month_level_ridge,4,24-25,15,45,3,17.78279410038923,False,False,9,10.561794849131635,0.45143013400814747,14510372.726712381,9920211.648970336,0.9680196385679828
temperature_month_level_ridge,4,25-26,15,45,3,100000000.0,False,True,9,10.503663548425495,8.999999717722878e-08,4353379.442061873,4138894.504286785,0.9966859251712594
temperature_month_level_ridge,5,10-11,15,30,2,100000000.0,False,True,9,11.075347805740288,8.99999970838799e-08,12136878.155628046,9861050.300000042,0.9671361657644137
temperature_month_level_ridge,5,11-12,15,30,2,31.622776601683793,False,False,9,12.278651560846598,0.25967746058739277,21369805.596756995,20820008.545266166,0.8820384265518983
temperature_month_level_ridge,5,12-13,15,30,2,100000000.0,False,True,9,10.182790648116617,8.999999693718164e-08,40561005.498519465,40053161.966666676,-3.0499665123529978
temperature_month_level_ridge,5,13-14,15,30,2,100000000.0,False,True,9,13.293263577151725,8.999999692881685e-08,22338471.618245244,18161029.70000001,0.6984433756767039
temperature_month_level_ridge,5,14-15,15,30,2,100000000.0,False,True,9,9.753127233692776,8.999999688623912e-08,4837533.132145602,3513377.766666703,0.9937106234006077
temperature_month_level_ridge,5,15-16,15,30,2,100000000.0,False,True,9,9.830660730100366,8.999999699410558e-08,18688082.67369812,17396201.96666666,0.796195088319426
temperature_month_level_ridge,5,16-17,15,30,2,100000000.0,False,True,9,12.002755586326451,8.999999695940914e-08,9335383.244312478,9316485.496875353,0.9743255079944899
temperature_month_level_ridge,5,17-18,15,30,2,100000000.0,False,True,9,10.006209609769247,8.999999713904526e-08,5351595.065193157,4336952.696220554,0.9904511070341427
temperature_month_level_ridge,5,18-19,15,30,2,100000000.0,False,True,9,9.711009528067542,8.999999703688765e-08,15102307.946781917,13649004.433333352,0.9541120479187544
temperature_month_level_ridge,5,19-20,15,30,2,100000000.0,False,True,9,9.79061210596912,8.999999695397231e-08,7398890.386125079,7239240.166666672,0.9868378632554461
temperature_month_level_ridge,5,20-21,15,30,2,100000000.0,False,True,9,11.624504372280404,8.999999696378255e-08,18662741.15059646,17269414.566666663,0.9362145468062183
temperature_month_level_ridge,5,21-22,15,30,2,0.1,False,False,9,9.836376401807325,6.834032630481844,34184968.1576999,25078626.58194238,0.8150250289212091
temperature_month_level_ridge,5,22-23,15,30,2,100000000.0,False,True,9,9.73279156436905,8.999999699155956e-08,15960537.626921663,15702304.260196634,0.9158626591567637
temperature_month_level_ridge,5,23-24,15,30,2,100000000.0,False,True,9,9.420908470173945,8.999999725155775e-08,25894453.575708497,22251121.303847425,0.6730808567798496
temperature_month_level_ridge,5,24-25,15,30,2,17.78279410038923,False,False,9,10.561794849131635,0.4514301340081476,16722875.310278544,13230221.5,0.9431036371393113
temperature_month_level_ridge,5,25-26,15,30,2,100000000.0,False,True,9,10.503663548425495,8.999999717722877e-08,1461876.942301964,1446330.2999999896,0.9993873347731971
