horizon,outer_held_out_season,alpha,inner_rmse,inner_mae,inner_r_squared,selected_alpha
1,10-11,0.0001,6713839.8292324925,5196606.297300879,0.9005896555669133,False
1,10-11,0.00017782794100389227,6709999.068086911,5193514.767481344,0.9007033616389591,False
1,10-11,0.00031622776601683794,6703335.207046719,5188084.899634913,0.9009004914503078,False
1,10-11,0.0005623413251903491,6691985.348410358,5178636.26514362,0.9012357911693388,False
1,10-11,0.001,6673256.2503997,5162452.30497903,0.9017878473828438,False
1,10-11,0.0017782794100389228,6643928.984404299,5135443.8815456,0.9026491854570587,False
1,10-11,0.0031622776601683794,6601649.042874679,5092165.40832097,0.9038842649749248,False
1,10-11,0.005623413251903491,6547583.211926421,5026746.513402472,0.9054521452798941,False
1,10-11,0.01,6488195.153583039,4934946.179495503,0.9071595077100173,False
1,10-11,0.01778279410038923,6432191.148101834,4835618.058012943,0.9087553288514563,False
1,10-11,0.03162277660168379,6383978.495700168,4725237.839823693,0.9101180559692444,False
1,10-11,0.05623413251903491,6341830.135751653,4614489.789516886,0.9113009768408331,False
1,10-11,0.1,6302663.596152298,4521998.478473752,0.9123931871579553,False
1,10-11,0.1778279410038923,6265476.387286568,4458861.789821362,0.9134239392346701,False
1,10-11,0.31622776601683794,6229730.075745931,4403981.323528277,0.9144090028969576,False
1,10-11,0.5623413251903491,6194110.920859254,4342229.1441364605,0.9153849563877174,False
1,10-11,1.0,6158234.911827175,4280650.472941771,0.9163622908054954,False
1,10-11,1.7782794100389228,6123717.769722745,4231185.083429246,0.9172972483201448,False
1,10-11,3.1622776601683795,6093183.1233424535,4197825.87508342,0.9181199522499648,False
1,10-11,5.623413251903491,6068853.279104233,4177199.9052001704,0.91877253449512,False
1,10-11,10.0,6051507.595980611,4161630.394026706,0.9192361912436668,False
1,10-11,17.78279410038923,6040284.371822169,4152622.7771939985,0.9195354851881928,False
1,10-11,31.622776601683793,6033497.631550702,4150045.3757788497,0.9197162001813022,False
1,10-11,56.23413251903491,6029548.967840124,4149658.756178854,0.9198212503562904,False
1,10-11,100.0,6027294.536735729,4150047.3114313353,0.9198811963574665,False
1,10-11,177.82794100389228,6026018.209355206,4150263.055647732,0.9199151243479465,False
1,10-11,316.22776601683796,6025298.255631254,4150383.341204471,0.9199342593582198,False
1,10-11,562.341325190349,6024892.792022894,4150450.6222431627,0.9199450348088049,False
1,10-11,1000.0,6024664.611031582,4150488.3369345744,0.9199510985433919,False
1,10-11,1778.2794100389228,6024536.244529585,4150509.506301703,0.91995450968365,False
1,10-11,3162.2776601683795,6024464.043282496,4150521.3981193225,0.919956428287625,False
1,10-11,5623.413251903491,6024423.4367641555,4150528.081360315,0.9199575073146673,False
1,10-11,10000.0,6024400.600551943,4150531.8383451374,0.9199581141325325,False
1,10-11,17782.794100389227,6024387.758338957,4150533.950647698,0.9199584553826978,False
1,10-11,31622.776601683792,6024380.53648482,4150535.1383543517,0.9199586472853565,False
1,10-11,56234.13251903491,6024376.475291402,4150535.8062102525,0.9199587552012836,False
1,10-11,100000.0,6024374.191499864,4150536.181760368,0.9199588158872263,False
1,10-11,177827.94100389228,6024372.907224877,4150536.3929436533,0.9199588500135526,False
