ibge_code,municipality,state,latitude,longitude,year,month,total_rainfall,average_temperature,average_humidity,rainy_days,dry_days,max_daily_rainfall,temperature_std,weather_observation_days,max_consecutive_dry_days,missing_weather_days,weather_coverage_ratio,has_complete_weather_period
3500105,Adamantina,SP,-21.682,-51.0737,2020,1,209.82,27.0,74.96,17,14,25.23,1.12,31,8,0,1.0,True
3500105,Adamantina,SP,-21.682,-51.0737,2020,2,174.76,25.76,80.24,21,8,25.55,1.44,29,5,0,1.0,True
3500105,Adamantina,SP,-21.682,-51.0737,2020,3,46.85,26.08,65.88,8,23,18.75,1.88,31,12,0,1.0,True
3500105,Adamantina,SP,-21.682,-51.0737,2020,4,44.93,24.03,61.26,4,26,19.96,2.35,30,16,0,1.0,True
3500105,Adamantina,SP,-21.682,-51.0737,2020,5,29.3,21.07,57.83,3,28,20.68,3.35,31,12,0,1.0,True
3500105,Adamantina,SP,-21.682,-51.0737,2020,6,56.21,22.53,66.69,8,22,24.18,1.83,30,15,0,1.0,True
3500105,Adamantina,SP,-21.682,-51.0737,2020,7,2.62,21.89,56.77,1,30,2.19,2.9,31,30,0,1.0,True
3500105,Adamantina,SP,-21.682,-51.0737,2020,8,48.24,22.61,53.1,5,26,24.42,3.34,31,15,0,1.0,True
3500105,Adamantina,SP,-21.682,-51.0737,2020,9,6.07,28.58,41.22,2,28,3.7,2.28,30,20,0,1.0,True
3500105,Adamantina,SP,-21.682,-51.0737,2020,10,81.27,29.16,50.34,11,20,35.15,3.34,31,7,0,1.0,True
3500105,Adamantina,SP,-21.682,-51.0737,2020,11,30.75,28.4,48.06,8,22,9.34,2.6,30,9,0,1.0,True
3500105,Adamantina,SP,-21.682,-51.0737,2020,12,125.96,28.4,63.59,22,9,14.7,1.44,31,4,0,1.0,True
3500204,Adolfo,SP,-21.2325,-49.6451,2020,1,201.38,26.3,76.8,22,9,36.93,1.18,31,4,0,1.0,True
3500204,Adolfo,SP,-21.2325,-49.6451,2020,2,193.89,24.76,83.17,21,8,20.48,1.34,29,5,0,1.0,True
3500204,Adolfo,SP,-21.2325,-49.6451,2020,3,88.33,24.31,75.9,14,17,22.8,1.61,31,7,0,1.0,True
3500204,Adolfo,SP,-21.2325,-49.6451,2020,4,46.51,23.32,68.56,10,20,9.75,1.5,30,7,0,1.0,True
3500204,Adolfo,SP,-21.2325,-49.6451,2020,5,28.12,20.6,61.36,3,28,20.54,2.86,31,10,0,1.0,True
3500204,Adolfo,SP,-21.2325,-49.6451,2020,6,17.42,22.74,62.18,4,26,7.9,1.55,30,16,0,1.0,True
3500204,Adolfo,SP,-21.2325,-49.6451,2020,7,0.57,22.74,51.67,0,31,0.21,2.44,31,31,0,1.0,True
3500204,Adolfo,SP,-21.2325,-49.6451,2020,8,22.12,23.45,46.27,5,26,10.55,3.04,31,15,0,1.0,True
3500204,Adolfo,SP,-21.2325,-49.6451,2020,9,21.26,28.41,39.16,4,26,7.11,2.5,30,18,0,1.0,True
3500204,Adolfo,SP,-21.2325,-49.6451,2020,10,76.05,28.98,49.65,13,18,14.55,3.51,31,9,0,1.0,True
