,municipality,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1,Adamantina,1036000,1032000,1024000,910000,937500,794430,888680,815685,807039,811238
2,Adolfo,441630,464720,658800,653940,631440,451350,451350,573840,573840,573840
3,Aguaí,1000000,1125000,1125000,977500,977500,977500,1035000,983894,990000,945000
4,Águas da Prata,-,-,-,-,-,-,-,-,-,-
5,Águas de Lindóia,-,-,-,-,-,-,-,-,-,-
6,Águas de Santa Bárbara,495000,346500,440000,350000,375000,275000,252620,238000,340000,427200
7,Águas de São Pedro,...,...,...,...,...,...,...,...,...,...
8,Agudos,948062,945500,980000,854000,980000,735000,583927,650016,637000,741600
9,Alambari,64000,64000,64000,77600,64000,64000,33600,32000,16000,16000
10,Alfredo Marcondes,-,-,-,-,-,-,-,-,-,-
11,Altair,2253000,4240000,4240000,1184000,966400,1102500,1176000,1200000,1280000,1520000
12,Altinópolis,2368980,2137860,2137860,2137860,1710288,1710288,1710288,1710288,1710288,1710288
13,Alto Alegre,698894,833529,756092,768573,1232000,889000,508060,639975,835760,1079440
14,Alumínio,1000,1000,1000,1000,850,1000,1000,1000,-,-
15,Álvares Florence,601825,713955,816000,913826,668122,596550,517010,591707,622500,547416
16,Álvares Machado,15000,15000,20000,50000,50000,80000,74480,78222,78893,79038
17,Álvaro de Carvalho,-,-,-,-,-,-,-,-,-,-
18,Alvinlândia,-,-,-,-,-,-,-,-,-,-
19,Americana,116040,120000,120000,120000,168800,168800,168800,19200,19200,19200
20,Américo Brasiliense,630000,672000,728000,672000,672000,672000,672000,671500,672000,518000
21,Américo de Campos,821590,873600,585000,504000,504000,518000,518400,540000,600000,540000
22,Amparo,132300,78000,136500,136500,136500,100500,100500,100500,80400,100500
23,Analândia,765000,765000,765000,782000,816000,816000,680000,680000,680000,680000
24,Andradina,2205000,2450000,2450000,2625000,2821630,2821630,2821630,2821630,2821630,3033940
25,Angatuba,60000,80000,63500,34000,34000,36000,4275,-,-,-
26,Anhembi,837250,728000,832000,832000,856000,856000,754957,1064000,1062700,1122718
27,Anhumas,560000,480000,675000,675000,675000,436000,650000,577288,648000,648881
28,Aparecida,-,-,-,-,-,-,-,-,-,-
29,Aparecida d'Oeste,117600,117600,117600,128000,136000,136000,65450,112200,112200,100980
30,Apiaí,-,-,-,-,-,-,-,-,-,-
31,Araçariguama,-,-,-,-,-,-,-,-,-,-
32,Araçatuba,2003250,1946451,1898000,2824640,2648100,2704000,2542640,2224810,2436707,2560000
33,Araçoiaba da Serra,50000,40000,40000,40000,8000,16000,14400,16000,27000,27000
34,Aramina,675000,720000,960000,960000,900000,900000,806650,760500,838504,977280
35,Arandu,140000,75000,87000,38500,-,18000,3000,2500,3000,3000
36,Arapeí,3500,-,3835,3835,3250,3835,3835,3835,3835,3835
37,Araraquara,2850000,3040000,4480000,3040000,3040000,3040000,3040000,3360000,3120000,2388750
38,Araras,2067200,2160000,2560000,2446208,2560000,3200000,3060000,2550000,2720000,2720000
39,Arco-Íris,506775,555150,362096,518411,175000,225000,210000,195000,91068,72000
40,Arealva,597635,565312,628425,880000,669900,746784,518600,666075,690000,780000
41,Areias,1800,-,1800,1800,1690,1800,1800,1800,1800,1800
42,Areiópolis,459800,704000,581000,581000,675500,675550,681184,630000,593000,626490
43,Ariranha,630000,829555,731000,731000,627800,627800,559000,533200,688000,688000
44,Artur Nogueira,240000,240000,240000,233001,313600,320000,360000,360000,320000,296000
45,Arujá,...,...,...,...,...,...,...,...,...,...
46,Aspásia,34425,51000,54400,68000,73800,85050,56700,90000,94500,82000
47,Assis,1112000,1042500,1320500,996880,1001470,890885,790867,935000,935000,873600
48,Atibaia,2800,2800,2800,3500,3500,3500,3500,3500,3500,3500
49,Auriflama,275328,423710,469700,490000,517500,495600,435200,476000,525000,554850
50,Avaí,93490,154200,154200,84000,84000,128400,128400,135575,136000,164050
51,Avanhandava,366450,1392616,1262017,1361800,1957500,1551000,920010,1188900,1440320,1584640
52,Avaré,700000,700000,700000,707000,707000,725000,561000,720000,800004,840000
53,Bady Bassitt,270400,189000,195750,159750,231200,190060,156520,263500,270000,263500
54,Balbinos,290360,311000,338560,417240,471240,471240,471240,471240,403830,471240
55,Bálsamo,532000,518000,576000,462000,512000,532000,465500,448000,540000,464000
56,Bananal,6500,6500,6500,6500,6500,3900,3900,3900,3900,3900
57,Barão de Antonina,-,-,-,-,-,-,-,-,-,-
58,Barbosa,180045,558518,410998,544205,687500,791000,235270,333750,820800,722720
59,Bariri,1832600,1648000,1689200,1572525,1677000,1575000,1554000,1575000,1500000,1354500
60,Barra Bonita,859828,847450,847450,847450,630450,630450,643726,652425,695200,549500
61,Barra do Chapéu,-,-,-,-,500,500,125,500,500,750
62,Barra do Turvo,-,-,-,100,138,138,138,210,254,240
63,Barretos,5240000,5895000,5895000,5443200,5622422,5704541,6588109,6642798,6617551,6452296
64,Barrinha,787500,840000,892500,892500,892500,892500,892500,892500,892500,680600
65,Barueri,...,...,...,...,...,...,...,...,...,...
66,Bastos,165000,213750,213750,187000,129500,131350,105000,130000,106838,80600
67,Batatais,3842000,3799500,3842000,3842000,3842000,3842000,3842000,3842000,3842000,3842000
68,Bauru,73710,73710,84700,94250,94250,103110,112000,122180,106720,99000
69,Bebedouro,2730000,2943800,3009400,2535000,2925000,2903250,2709700,2674700,3591000,3192000
70,Bento de Abreu,1320000,962885,1031800,1320000,1125000,1260000,1162500,1162500,1162500,1162500
71,Bernardino de Campos,400000,400000,400000,400000,400000,360000,399500,297500,376000,366600
72,Bertioga,...,...,...,...,...,...,...,...,...,...
73,Bilac,301632,330179,384800,364000,374990,273000,375000,352000,400000,420000
74,Birigui,617400,936560,936560,817120,638040,558000,614460,733500,1038000,869000
75,Biritiba Mirim,-,-,-,-,-,-,-,-,-,-
76,Boa Esperança do Sul,2480000,2800000,2625000,2625000,2741655,2695000,2450000,2660000,2695000,1898750
77,Bocaina,1440000,1368000,1368000,1368000,1200000,1200000,1184000,1200000,1140000,932400
78,Bofete,8400,8400,7200,7200,11500,11500,8711,2000,3450,3645
79,Boituva,650000,650000,650000,480000,440000,600000,580000,580000,550000,570000
80,Bom Jesus dos Perdões,-,-,-,-,-,-,-,-,-,-
81,Bom Sucesso de Itararé,-,-,-,-,-,-,-,-,-,-
82,Borá,309371,299763,280050,357500,342652,352730,327535,302340,352730,321750
83,Boracéia,603500,603500,620500,620500,584000,547500,540200,547500,481000,422400
84,Borborema,2318960,2754000,2754000,2200500,2405880,2405880,2112500,2112500,2640600,2307400
85,Borebi,475360,550710,338160,235484,235484,311170,255538,312780,336840,214500
86,Botucatu,1260000,1260000,1600000,1600000,1612000,1612000,1260000,1800000,1600000,1690370
87,Bragança Paulista,10000,5600,6400,6400,400,400,360,4000,4000,4000
88,Braúna,364004,509583,508599,511056,440200,504000,322840,396075,628960,714800
89,Brejo Alegre,187500,184000,160000,198000,132000,153000,248000,248000,263500,296000
90,Brodowski,935610,935610,935610,935610,935610,1079550,1079550,983585,999577,1020909
91,Brotas,2400000,2200000,2144000,2640000,2722400,2490000,2205200,2235000,1976500,1596000
92,Buri,-,-,-,-,-,-,-,-,-,-
93,Buritama,377700,452249,513000,720000,720000,720000,720000,687200,729900,649000
94,Buritizal,876096,898560,898560,898560,696000,696000,812000,682920,853650,816720
95,Cabrália Paulista,235200,196000,82500,44000,44000,15504,17968,16421,16150,26000
96,Cabreúva,640,800,750,300,375,395,390,387,375,395
97,Caçapava,240000,200000,240000,240000,240000,240000,240000,240000,180000,180000
98,Cachoeira Paulista,9900,9900,9900,9900,4290,6000,6000,6000,6000,6000
99,Caconde,8000,8000,8000,16400,16400,16133,16178,16237,11530,10572
100,Cafelândia,1940445,2389350,2048008,2208793,1987902,2447649,2208780,2739590,2412256,3070620
101,Caiabu,456675,456675,456675,446250,446250,446250,450000,446250,444870,446250
102,Caieiras,...,...,...,2,2,2,2,2,2,2
103,Caiuá,420672,432191,314752,299328,306880,180544,180544,180544,128000,96000
104,Cajamar,...,...,...,-,-,-,-,-,...,...
105,Cajati,-,-,-,60,60,60,60,60,60,60
106,Cajobi,775164,582800,628080,640000,720000,798600,549780,714714,785400,645680
107,Cajuru,1680000,1750000,1680000,873000,1545600,1545600,1545600,1545600,1840000,1840000
108,Campina do Monte Alegre,136000,136000,136000,136000,102000,-,-,-,-,-
109,Campinas,187000,220000,190000,128000,119340,119340,119340,136000,100776,101088
110,Campo Limpo Paulista,...,...,...,...,...,...,...,...,...,...
111,Campos do Jordão,-,-,-,-,-,-,-,...,...,...
112,Campos Novos Paulista,422500,525000,560000,517500,280000,583909,525000,525000,600000,600000
113,Cananéia,-,50,50,50,50,50,50,50,50,70
114,Canas,-,-,-,-,-,-,-,-,-,-
115,Cândido Mota,2185000,1702000,1680000,1743000,1743000,1743000,1680000,1883700,1925100,1800900
116,Cândido Rodrigues,223342,217620,219600,219200,208800,203580,166800,174000,165300,143500
117,Canitar,289725,274273,274273,162500,175000,202453,182866,182289,208000,195000
118,Capão Bonito,-,-,-,-,-,-,-,-,-,-
119,Capela do Alto,50000,45000,45000,45000,41500,44667,45000,47500,45000,45000
120,Capivari,1717575,1717575,1717575,1717575,1614630,1462000,1355000,1440490,1490660,1280000
121,Caraguatatuba,-,-,-,-,-,-,-,-,-,-
122,Carapicuíba,...,...,...,...,...,...,...,...,...,...
123,Cardoso,1051047,893994,1633954,1200456,1267148,1333840,1004368,1038380,1255800,1236812
124,Casa Branca,1960000,1960000,2070000,1780000,1780000,1680213,1711684,1750000,1590000,1840000
125,Cássia dos Coqueiros,98580,110000,98580,108000,108000,108000,108000,108000,210000,222000
126,Castilho,1820000,2032500,1950000,2032500,2712500,2833915,2874401,2867647,2520000,2400000
127,Catanduva,1125879,1310955,1310955,1310955,1249270,1290396,1002495,1156725,1388070,1110456
128,Catiguá,630000,697000,680000,722500,722500,722500,595000,722500,637500,552500
129,Cedral,568000,750000,750000,486000,448000,405000,512000,504000,607500,504000
130,Cerqueira César,1200000,1360000,984000,900000,800000,750000,620000,750000,706670,659762
131,Cerquilho,211140,477180,477180,477180,477180,477180,477180,477180,425000,450000
132,Cesário Lange,1056000,1056000,1056000,1056000,1056000,1056000,1188000,1056000,1056000,1072000
133,Charqueada,720000,734500,734500,670000,620500,617652,570000,617500,617776,552600
134,Clementina,344555,436021,390881,427649,376200,399000,353360,354825,442960,571120
135,Colina,2184000,2295000,2210000,2009600,2034720,2059840,1973176,2057052,2033791,2009600
136,Colômbia,2850000,3040000,3040000,3040000,3040000,3040000,2770560,2841600,2841600,2841600
137,Conchal,160000,225250,242850,242850,213750,210000,210000,210000,246500,156589
138,Conchas,128380,128380,128380,213440,215000,215000,217000,241390,247000,261000
139,Cordeirópolis,696780,1094940,1118260,1118260,967932,940000,927000,824000,1006650,540000
140,Coroados,780750,788400,847800,748000,651000,790500,651000,837000,930000,828000
141,Coronel Macedo,60000,24000,32000,40000,-,-,-,-,-,-
142,Corumbataí,214760,240500,240500,259000,259000,259000,216000,308000,308000,308000
143,Cosmópolis,474675,569400,569400,622544,486400,466135,486400,547200,480770,344635
144,Cosmorama,560000,800000,1360000,1360000,1190000,1190000,1190000,1190000,1360000,1360000
145,Cotia,...,...,...,...,...,...,...,...,...,...
146,Cravinhos,1546380,1742400,1546380,1546380,1546380,1546380,1546380,1546380,1546380,1546380
147,Cristais Paulista,284147,416000,390000,467500,440000,430832,450500,450500,424000,432835
148,Cruzália,124051,147900,321500,340000,294950,306630,243760,274230,274230,243760
149,Cruzeiro,1625,1625,1625,1625,1625,1625,1625,1625,1625,1625
150,Cubatão,...,...,...,...,...,...,...,...,...,...
151,Cunha,-,-,-,-,-,-,-,-,-,-
152,Descalvado,1760000,2560000,3040000,2240000,2240000,2320000,2240000,3320000,2400000,2120000
153,Dirce Reis,158800,158800,158800,160000,160000,160000,147000,160000,161000,145680
154,Divinolândia,4000,4000,4000,-,-,-,-,-,-,-
155,Dobrada,884700,884700,884700,872200,900000,900000,800000,800000,884700,779000
156,Dois Córregos,3060000,3060000,3060000,3102500,3060000,2925000,2769000,2925000,2312000,1683000
157,Dolcinópolis,261000,315000,288000,234000,216000,216000,270000,270000,270000,235480
158,Dourado,487500,600000,526706,367200,367200,480000,399162,375000,440000,367500
159,Dracena,980000,1026750,992600,1078000,1078000,875000,857600,911200,1048000,871000
160,Duartina,34000,30450,28275,16100,2960,15555,14089,14119,-,-
161,Dumont,680000,680000,722500,722500,722500,722500,722500,722500,732275,706430
162,Echaporã,456168,456168,350000,144000,180000,156000,156000,195000,195000,292500
163,Eldorado,-,-,-,-,-,-,-,-,-,-
164,Elias Fausto,1000000,960000,912000,553000,553000,496000,553000,560000,560000,560000
165,Elisiário,460800,576000,555030,444024,407022,407022,400855,447724,542696,542696
166,Embaúba,512000,508000,480000,522750,522750,522750,297500,360000,486400,420000
167,Embu das Artes,...,...,-,...,...,...,...,...,...,...
168,Embu-Guaçu,-,...,...,-,-,-,-,-,...,...
169,Emilianópolis,450000,490000,490000,510000,510000,338800,400000,410000,402577,390000
170,Engenheiro Coelho,172000,167700,170000,186000,216000,204000,216000,216000,225000,183270
171,Espírito Santo do Pinhal,142500,168240,128000,126000,113400,136000,122400,136000,142500,140140
172,Espírito Santo do Turvo,300000,175000,150000,130000,165000,171134,157667,158888,200000,225000
173,Estrela d'Oeste,509600,509600,509600,653600,653600,693600,650250,693600,693600,693600
174,Estrela do Norte,607500,675000,591600,523600,523600,660620,488000,404443,408319,409841
175,Euclides da Cunha Paulista,223583,335817,394170,370860,322261,284877,286011,286392,286326,314631
176,Fartura,108480,124800,124800,117000,85500,14000,73500,73500,119000,119000
177,Fernandópolis,1050000,1050000,1050000,1360000,1227000,1360000,1275000,1360000,1360000,1384000
178,Fernando Prestes,541800,630000,658000,900000,841500,807500,736000,773500,765000,720000
179,Fernão,-,-,-,60,60,60,60,50,57,53
180,Ferraz de Vasconcelos,...,...,...,...,...,...,...,...,...,...
181,Flora Rica,455000,414000,393600,459200,322500,315000,252000,298666,302555,305407
182,Floreal,273000,273000,270000,270000,270000,243000,333000,333000,751500,751500
183,Flórida Paulista,1260000,1246000,1566110,1140440,1258600,1267000,1086000,1267000,1267000,1267000
184,Florínea,754460,667745,843220,843220,976360,843220,754460,843220,843220,754460
185,Franca,168000,168000,168000,160000,160000,310400,472500,472500,491400,489302
186,Francisco Morato,-,-,-,-,-,-,-,-,-,-
187,Franco da Rocha,...,-,-,-,-,-,-,-,...,...
188,Gabriel Monteiro,234717,219437,243004,441760,441760,344000,320000,259680,324000,370000
189,Gália,-,-,-,-,-,-,-,-,-,-
190,Garça,-,-,-,-,-,-,-,-,-,-
191,Gastão Vidigal,397800,397800,420000,423359,442305,436000,392000,437060,491692,497424
192,Gavião Peixoto,448000,567000,1360000,504000,520802,516600,510300,507000,541800,532000
193,General Salgado,594114,521916,899405,845000,975000,846872,924350,858000,845000,793600
194,Getulina,1506680,1135875,1518750,1518750,1383750,1383750,1383750,1442000,980000,1050000
195,Glicério,640028,785872,544698,600566,874320,800000,510230,672075,846080,1057520
196,Guaiçara,665000,855000,600000,805000,470145,493850,525000,560000,600000,549276
197,Guaimbê,266160,154260,98800,144980,118030,137500,149500,196000,147000,138000
198,Guaíra,5100000,5100000,5100000,5270000,5270000,5270000,5080000,5397500,5397500,5207000
199,Guapiaçu,1436720,1436320,1532320,1064000,1064000,1230080,1118320,996880,1104000,1170000
200,Guapiara,-,-,-,-,-,-,-,-,-,-
201,Guará,1840000,1840000,1840000,1831000,1824000,1824000,1435770,1480700,1708500,1772720
202,Guaraçaí,1610000,1750000,1750000,1750000,1750000,1750000,1750000,1750000,1620000,1890000
203,Guaraci,2925000,3789000,3789000,3192000,3192000,3324987,2917200,3033551,3005838,3010476
204,Guarani d'Oeste,128000,128000,120000,120000,116640,128000,102400,128000,128000,128000
205,Guarantã,567000,594000,594000,674940,669340,787430,888671,805000,690000,690000
206,Guararapes,3259270,3119270,3073600,3260000,3259200,3007500,3432675,3203830,3051282,2660000
207,Guararema,-,-,4800,1000,1000,1000,1000,1500,1500,1500
208,Guaratinguetá,-,-,-,-,-,-,600,-,177,177
209,Guareí,304000,162500,160000,80000,80000,60000,49000,56000,32000,35200
210,Guariba,1802000,1803275,1802000,1802000,1700000,1908000,1802000,1802000,1545555,1456730
211,Guarujá,-,-,...,-,-,...,-,-,...,...
212,Guarulhos,...,...,...,...,...,...,...,...,...,...
213,Guatapará,1853572,1853572,1853572,1853572,1853568,1853568,1853568,1853568,1853568,1390157
214,Guzolândia,133649,214848,185688,216000,195000,217000,162925,174000,194400,198650
215,Herculândia,704700,704775,968000,968000,757500,774337,591000,761250,757500,550000
216,Holambra,30000,65000,39000,39000,39000,39000,39000,39000,39000,35100
217,Hortolândia,...,...,...,...,...,...,...,...,...,...
218,Iacanga,1245516,1792000,2125000,1600000,1600000,1631200,1631200,1880000,1880000,1645000
219,Iacri,588300,588300,741200,763000,213500,739880,455000,720000,315725,211700
220,Iaras,380000,420000,420000,301000,301000,278800,157500,110500,382500,130200
221,Ibaté,1064000,1418600,1615000,1292000,1292000,1275000,1275000,1020000,1200000,1100000
222,Ibirá,1120000,1120000,1120000,1016000,825500,1032000,1192000,1086800,1166800,1056000
223,Ibirarema,667745,667745,456500,481525,510000,562500,280000,722500,722500,520000
224,Ibitinga,2664835,2992510,2992500,2635500,2325000,2542000,2170000,2170000,3100000,2170000
225,Ibiúna,-,-,-,-,-,-,-,-,-,-
226,Icém,1170000,936000,750000,572000,689600,595000,667500,680000,900000,896000
227,Iepê,1361747,1330089,983616,711999,711999,1417400,1440000,1420200,1385000,1352000
228,Igaraçu do Tietê,627628,598436,581166,596785,516450,516450,509564,516450,585000,448000
229,Igarapava,1887000,2067000,2257600,2257600,1735350,1735350,1559300,1602250,1972000,1464000
230,Igaratá,-,-,-,-,-,-,-,-,-,-
231,Iguape,-,-,-,-,-,-,-,-,-,-
232,Ilhabela,...,...,...,...,...,...,...,...,...,-
233,Ilha Solteira,1012208,1356908,1186349,1360000,1537500,1553760,1178000,1400000,1500000,180900
234,Indaiatuba,184000,216000,224000,158000,165900,168000,158000,158000,158000,144000
235,Indiana,5380,5380,5380,5380,5380,3937,5576,5380,5298,5380
236,Indiaporã,312000,280000,431360,400000,400000,400000,375000,480000,480000,480000
237,Inúbia Paulista,255000,249600,226200,220400,179400,168000,179201,176534,174578,173038
238,Ipaussu,1360000,1263000,1260000,972000,1080000,1330360,1291072,1300418,1312897,1263000
239,Iperó,142460,142460,142460,-,71949,71950,71950,71950,72000,72000
240,Ipeúna,359100,333245,333245,428736,385000,400000,390000,378525,390000,393468
241,Ipiguá,327600,220500,220500,220500,192000,225000,270000,225000,198000,459000
242,Iporanga,1750,1750,1750,300,300,600,550,483,444,525
