season,period_end_date,region,crush_tonnes
10-11,2010-04-16,other_states,6600002
10-11,2010-04-16,sao_paulo,14195434
10-11,2010-05-01,other_states,9135525
10-11,2010-05-01,sao_paulo,21668451
10-11,2010-05-16,other_states,11485522
10-11,2010-05-16,sao_paulo,23640924
10-11,2010-06-01,other_states,12841527
10-11,2010-06-01,sao_paulo,27664994
10-11,2010-06-16,other_states,14183673
10-11,2010-06-16,sao_paulo,25583121
10-11,2010-07-01,other_states,14842815
10-11,2010-07-01,sao_paulo,26940293
10-11,2010-07-16,other_states,14500291
10-11,2010-07-16,sao_paulo,24427141
10-11,2010-08-01,other_states,15025240
10-11,2010-08-01,sao_paulo,28169496
10-11,2010-08-16,other_states,14465285
10-11,2010-08-16,sao_paulo,25768504
10-11,2010-09-01,other_states,15770300
10-11,2010-09-01,sao_paulo,26297143
10-11,2010-09-16,other_states,13827567
10-11,2010-09-16,sao_paulo,23676697
10-11,2010-10-01,other_states,10788912
10-11,2010-10-01,sao_paulo,16439265
10-11,2010-10-16,other_states,9575821
10-11,2010-10-16,sao_paulo,16651855
10-11,2010-11-01,other_states,10205517
10-11,2010-11-01,sao_paulo,19915800
10-11,2010-11-16,other_states,8196271
10-11,2010-11-16,sao_paulo,16188734
10-11,2010-12-01,other_states,6824147
10-11,2010-12-01,sao_paulo,11683223
10-11,2010-12-16,other_states,4242308
10-11,2010-12-16,sao_paulo,4548205
10-11,2011-01-01,other_states,1418244
10-11,2011-01-01,sao_paulo,1057979
10-11,2011-01-16,other_states,306696
10-11,2011-01-16,sao_paulo,259789
10-11,2011-02-01,other_states,242146
10-11,2011-02-01,sao_paulo,34788
10-11,2011-02-16,other_states,203303
10-11,2011-02-16,sao_paulo,39731
10-11,2011-03-01,other_states,131992
10-11,2011-03-01,sao_paulo,66161
10-11,2011-03-16,other_states,147997
10-11,2011-03-16,sao_paulo,110327
10-11,2011-04-01,other_states,952065
10-11,2011-04-01,sao_paulo,855214
11-12,2011-04-16,other_states,2472835
11-12,2011-04-16,sao_paulo,2721392
11-12,2011-05-01,other_states,6271498
11-12,2011-05-01,sao_paulo,10742689
11-12,2011-05-16,other_states,11541016
11-12,2011-05-16,sao_paulo,21671528
11-12,2011-06-01,other_states,15463510
11-12,2011-06-01,sao_paulo,27771413
11-12,2011-06-16,other_states,13122042
11-12,2011-06-16,sao_paulo,21871027
11-12,2011-07-01,other_states,15547462
11-12,2011-07-01,sao_paulo,26703925
11-12,2011-07-16,other_states,14448412
11-12,2011-07-16,sao_paulo,26134845
11-12,2011-08-01,other_states,14565580
11-12,2011-08-01,sao_paulo,27200543
11-12,2011-08-16,other_states,14710977
11-12,2011-08-16,sao_paulo,24033676
11-12,2011-09-01,other_states,15609453
11-12,2011-09-01,sao_paulo,25106265
11-12,2011-09-16,other_states,13969805
11-12,2011-09-16,sao_paulo,23238046
11-12,2011-10-01,other_states,13865273
11-12,2011-10-01,sao_paulo,23007849
11-12,2011-10-16,other_states,9468616
11-12,2011-10-16,sao_paulo,13969339
