season,period_end_date,region,sugar_tonnes
10-11,2010-04-16,other_states,234649
10-11,2010-04-16,sao_paulo,581059
10-11,2010-05-01,other_states,362180
10-11,2010-05-01,sao_paulo,1164726
10-11,2010-05-16,other_states,496845
10-11,2010-05-16,sao_paulo,1370392
10-11,2010-06-01,other_states,572105
10-11,2010-06-01,sao_paulo,1655043
10-11,2010-06-16,other_states,672214
10-11,2010-06-16,sao_paulo,1632002
10-11,2010-07-01,other_states,754518
10-11,2010-07-01,sao_paulo,1795443
10-11,2010-07-16,other_states,759404
10-11,2010-07-16,sao_paulo,1751834
10-11,2010-08-01,other_states,821691
10-11,2010-08-01,sao_paulo,1951326
10-11,2010-08-16,other_states,828503
10-11,2010-08-16,sao_paulo,1917394
10-11,2010-09-01,other_states,952197
10-11,2010-09-01,sao_paulo,2006390
10-11,2010-09-16,other_states,849564
10-11,2010-09-16,sao_paulo,1799524
10-11,2010-10-01,other_states,644072
10-11,2010-10-01,sao_paulo,1325904
10-11,2010-10-16,other_states,496926
10-11,2010-10-16,sao_paulo,1004054
10-11,2010-11-01,other_states,570892
10-11,2010-11-01,sao_paulo,1353446
10-11,2010-11-16,other_states,432664
10-11,2010-11-16,sao_paulo,1031606
10-11,2010-12-01,other_states,336596
10-11,2010-12-01,sao_paulo,695245
10-11,2010-12-16,other_states,166278
10-11,2010-12-16,sao_paulo,200948
10-11,2011-01-01,other_states,42653
10-11,2011-01-01,sao_paulo,27221
10-11,2011-01-16,other_states,4140
10-11,2011-01-16,sao_paulo,4306
10-11,2011-02-01,other_states,2186
10-11,2011-02-01,sao_paulo,165
10-11,2011-02-16,other_states,399
10-11,2011-02-16,sao_paulo,3475
10-11,2011-03-01,other_states,345
10-11,2011-03-01,sao_paulo,2812
10-11,2011-03-16,other_states,2767
10-11,2011-03-16,sao_paulo,3811
10-11,2011-04-01,other_states,30761
10-11,2011-04-01,sao_paulo,31731
11-12,2011-04-16,other_states,84866
11-12,2011-04-16,sao_paulo,72703
11-12,2011-05-01,other_states,209067
11-12,2011-05-01,sao_paulo,394442
11-12,2011-05-16,other_states,482259
11-12,2011-05-16,sao_paulo,1074006
11-12,2011-06-01,other_states,749491
11-12,2011-06-01,sao_paulo,1660809
11-12,2011-06-16,other_states,636637
11-12,2011-06-16,sao_paulo,1383608
11-12,2011-07-01,other_states,820321
11-12,2011-07-01,sao_paulo,1777492
11-12,2011-07-16,other_states,751578
11-12,2011-07-16,sao_paulo,1833844
11-12,2011-08-01,other_states,806450
11-12,2011-08-01,sao_paulo,2019493
11-12,2011-08-16,other_states,833081
11-12,2011-08-16,sao_paulo,1826273
11-12,2011-09-01,other_states,955083
11-12,2011-09-01,sao_paulo,2014725
11-12,2011-09-16,other_states,886101
11-12,2011-09-16,sao_paulo,1876836
11-12,2011-10-01,other_states,920088
11-12,2011-10-01,sao_paulo,1924797
11-12,2011-10-16,other_states,600586
11-12,2011-10-16,sao_paulo,1180662
11-12,2011-11-01,other_states,538970
11-12,2011-11-01,sao_paulo,937399
11-12,2011-11-16,other_states,494591
11-12,2011-11-16,sao_paulo,777529
11-12,2011-12-01,other_states,257591
11-12,2011-12-01,sao_paulo,246427
11-12,2011-12-16,other_states,104000
11-12,2011-12-16,sao_paulo,39308
11-12,2012-01-01,other_states,30738
11-12,2012-01-01,sao_paulo,4529
11-12,2012-01-16,other_states,12244
11-12,2012-01-16,sao_paulo,0
11-12,2012-02-01,other_states,16282
11-12,2012-02-01,sao_paulo,0
11-12,2012-02-16,other_states,8515
11-12,2012-02-16,sao_paulo,0
11-12,2012-03-01,other_states,6615
11-12,2012-03-01,sao_paulo,0
11-12,2012-03-16,other_states,3693
11-12,2012-03-16,sao_paulo,0
11-12,2012-04-01,other_states,0
11-12,2012-04-01,sao_paulo,3691
12-13,2012-04-16,other_states,74288
12-13,2012-04-16,sao_paulo,68051
12-13,2012-05-01,other_states,173923
12-13,2012-05-01,sao_paulo,219243
12-13,2012-05-16,other_states,440298
12-13,2012-05-16,sao_paulo,583738
12-13,2012-06-01,other_states,590607
12-13,2012-06-01,sao_paulo,1368915
12-13,2012-06-16,other_states,523836
12-13,2012-06-16,sao_paulo,842389
12-13,2012-07-01,other_states,620063
12-13,2012-07-01,sao_paulo,1175120
12-13,2012-07-16,other_states,830970
12-13,2012-07-16,sao_paulo,1803670
12-13,2012-08-01,other_states,974280
12-13,2012-08-01,sao_paulo,1997064
12-13,2012-08-16,other_states,944419
12-13,2012-08-16,sao_paulo,2083672
12-13,2012-09-01,other_states,1044726
12-13,2012-09-01,sao_paulo,2293589
12-13,2012-09-16,other_states,993189
12-13,2012-09-16,sao_paulo,2142783
12-13,2012-10-01,other_states,765381
12-13,2012-10-01,sao_paulo,1441354
12-13,2012-10-16,other_states,837588
12-13,2012-10-16,sao_paulo,1952858
12-13,2012-11-01,other_states,812565
12-13,2012-11-01,sao_paulo,1728829
12-13,2012-11-16,other_states,458521
12-13,2012-11-16,sao_paulo,1283822
12-13,2012-12-01,other_states,470562
12-13,2012-12-01,sao_paulo,1363539
12-13,2012-12-16,other_states,222235
12-13,2012-12-16,sao_paulo,822145
12-13,2013-01-01,other_states,21350
12-13,2013-01-01,sao_paulo,88601
12-13,2013-01-16,other_states,2765
12-13,2013-01-16,sao_paulo,11133
12-13,2013-02-01,other_states,31
12-13,2013-02-01,sao_paulo,603
12-13,2013-02-16,other_states,0
12-13,2013-02-16,sao_paulo,0
12-13,2013-03-01,other_states,0
12-13,2013-03-01,sao_paulo,6356
12-13,2013-03-16,other_states,51
12-13,2013-03-16,sao_paulo,4932
12-13,2013-04-01,other_states,20909
12-13,2013-04-01,sao_paulo,30515
13-14,2013-04-16,other_states,44564
13-14,2013-04-16,sao_paulo,152292
13-14,2013-05-01,other_states,434751
13-14,2013-05-01,sao_paulo,1021956
13-14,2013-05-16,other_states,563790
13-14,2013-05-16,sao_paulo,1517257
13-14,2013-06-01,other_states,536812
13-14,2013-06-01,sao_paulo,1320992
13-14,2013-06-16,other_states,579717
13-14,2013-06-16,sao_paulo,1218313
13-14,2013-07-01,other_states,423855
13-14,2013-07-01,sao_paulo,1086368
13-14,2013-07-16,other_states,739015
13-14,2013-07-16,sao_paulo,1678425
13-14,2013-08-01,other_states,794158
13-14,2013-08-01,sao_paulo,1747097
13-14,2013-08-16,other_states,900116
13-14,2013-08-16,sao_paulo,2023072
13-14,2013-09-01,other_states,1007695
13-14,2013-09-01,sao_paulo,2221504
13-14,2013-09-16,other_states,876695
13-14,2013-09-16,sao_paulo,2100542
13-14,2013-10-01,other_states,750762
13-14,2013-10-01,sao_paulo,1553371
13-14,2013-10-16,other_states,617433
13-14,2013-10-16,sao_paulo,1289799
13-14,2013-11-01,other_states,714647
13-14,2013-11-01,sao_paulo,1750195
13-14,2013-11-16,other_states,581360
13-14,2013-11-16,sao_paulo,1393589
13-14,2013-12-01,other_states,410563
13-14,2013-12-01,sao_paulo,1022011
13-14,2013-12-16,other_states,273746
13-14,2013-12-16,sao_paulo,607878
13-14,2014-01-01,other_states,55097
13-14,2014-01-01,sao_paulo,199186
13-14,2014-01-16,other_states,5
13-14,2014-01-16,sao_paulo,8255
13-14,2014-02-01,other_states,266
13-14,2014-02-01,sao_paulo,1987
13-14,2014-02-16,other_states,1
13-14,2014-02-16,sao_paulo,0
13-14,2014-03-01,other_states,0
13-14,2014-03-01,sao_paulo,0
13-14,2014-03-16,other_states,1269
13-14,2014-03-16,sao_paulo,1889
13-14,2014-04-01,other_states,54821
13-14,2014-04-01,sao_paulo,107104
14-15,2014-04-16,other_states,120494
14-15,2014-04-16,sao_paulo,300921
14-15,2014-05-01,other_states,250474
14-15,2014-05-01,sao_paulo,689912
14-15,2014-05-16,other_states,517527
14-15,2014-05-16,sao_paulo,1394611
14-15,2014-06-01,other_states,544319
14-15,2014-06-01,sao_paulo,1479514
14-15,2014-06-16,other_states,589164
14-15,2014-06-16,sao_paulo,1731496
14-15,2014-07-01,other_states,751567
14-15,2014-07-01,sao_paulo,1833346
14-15,2014-07-16,other_states,740136
14-15,2014-07-16,sao_paulo,1808717
14-15,2014-08-01,other_states,639227
14-15,2014-08-01,sao_paulo,1598996
14-15,2014-08-16,other_states,855315
14-15,2014-08-16,sao_paulo,1942520
14-15,2014-09-01,other_states,957647
14-15,2014-09-01,sao_paulo,2060515
14-15,2014-09-16,other_states,789751
14-15,2014-09-16,sao_paulo,1712350
14-15,2014-10-01,other_states,613447
14-15,2014-10-01,sao_paulo,1021829
14-15,2014-10-16,other_states,785285
14-15,2014-10-16,sao_paulo,1578702
14-15,2014-11-01,other_states,724720
14-15,2014-11-01,sao_paulo,1316175
14-15,2014-11-16,other_states,471671
14-15,2014-11-16,sao_paulo,722200
14-15,2014-12-01,other_states,344381
14-15,2014-12-01,sao_paulo,414446
14-15,2014-12-16,other_states,237497
14-15,2014-12-16,sao_paulo,145685
14-15,2015-01-01,other_states,65207
14-15,2015-01-01,sao_paulo,58194
