season,period_end_date,target_reporting_date,season_day,target_season_day,day_difference,absolute_day_difference,cumulative_crush_tonnes
10-11,2010-06-01,2026-06-01,61,61,0,0,87169803
11-12,2011-06-01,2026-06-01,61,61,0,0,62907022
12-13,2012-06-01,2026-06-01,61,61,0,0,40846050
13-14,2013-06-01,2026-06-01,61,61,0,0,73509982
14-15,2014-06-01,2026-06-01,61,61,0,0,71999100
15-16,2015-06-01,2026-06-01,61,61,0,0,63333390
16-17,2016-06-01,2026-06-01,61,61,0,0,87700200
17-18,2017-06-01,2026-06-01,61,61,0,0,67787946
18-19,2018-06-01,2026-06-01,61,61,0,0,83295321
19-20,2019-06-01,2026-06-01,61,61,0,0,75567291
20-21,2020-06-01,2026-06-01,61,61,0,0,90611341
21-22,2021-06-01,2026-06-01,61,61,0,0,74523757
22-23,2022-06-01,2026-06-01,61,61,0,0,59940628
23-24,2023-06-01,2026-06-01,61,61,0,0,74115266
24-25,2024-06-01,2026-06-01,61,61,0,0,84965531
25-26,2025-06-01,2026-06-01,61,61,0,0,70592036
26-27,2026-06-01,2026-06-01,61,61,0,0,81126838
