season,season_start_year,season_start_date,period_end_date,season_day,crush_tonnes,cumulative_crush_tonnes
10-11,2010,2010-04-01,2010-04-16,15,14195434,14195434
10-11,2010,2010-04-01,2010-05-01,30,21668451,35863885
10-11,2010,2010-04-01,2010-05-16,45,23640924,59504809
10-11,2010,2010-04-01,2010-06-01,61,27664994,87169803
10-11,2010,2010-04-01,2010-06-16,76,25583121,112752924
10-11,2010,2010-04-01,2010-07-01,91,26940293,139693217
10-11,2010,2010-04-01,2010-07-16,106,24427141,164120358
10-11,2010,2010-04-01,2010-08-01,122,28169496,192289854
10-11,2010,2010-04-01,2010-08-16,137,25768504,218058358
10-11,2010,2010-04-01,2010-09-01,153,26297143,244355501
10-11,2010,2010-04-01,2010-09-16,168,23676697,268032198
10-11,2010,2010-04-01,2010-10-01,183,16439265,284471463
10-11,2010,2010-04-01,2010-10-16,198,16651855,301123318
10-11,2010,2010-04-01,2010-11-01,214,19915800,321039118
10-11,2010,2010-04-01,2010-11-16,229,16188734,337227852
10-11,2010,2010-04-01,2010-12-01,244,11683223,348911075
10-11,2010,2010-04-01,2010-12-16,259,4548205,353459280
10-11,2010,2010-04-01,2011-01-01,275,1057979,354517259
10-11,2010,2010-04-01,2011-01-16,290,259789,354777048
10-11,2010,2010-04-01,2011-02-01,306,34788,354811836
10-11,2010,2010-04-01,2011-02-16,321,39731,354851567
10-11,2010,2010-04-01,2011-03-01,334,66161,354917728
10-11,2010,2010-04-01,2011-03-16,349,110327,355028055
10-11,2010,2010-04-01,2011-04-01,365,855214,355883269
11-12,2011,2011-04-01,2011-04-16,15,2721392,2721392
11-12,2011,2011-04-01,2011-05-01,30,10742689,13464081
11-12,2011,2011-04-01,2011-05-16,45,21671528,35135609
11-12,2011,2011-04-01,2011-06-01,61,27771413,62907022
11-12,2011,2011-04-01,2011-06-16,76,21871027,84778049
11-12,2011,2011-04-01,2011-07-01,91,26703925,111481974
11-12,2011,2011-04-01,2011-07-16,106,26134845,137616819
