rank,season,cumulative_crush_tonnes,percentile,historical_percentile,period_end_date,season_day,day_difference,total_seasons,historical_seasons,is_current_season
1,20-21,90611341,100.0,,2020-06-01,61,0,17,16,False
2,16-17,87700200,94.11764705882352,,2016-06-01,61,0,17,16,False
3,10-11,87169803,88.23529411764706,,2010-06-01,61,0,17,16,False
4,24-25,84965531,82.35294117647058,,2024-06-01,61,0,17,16,False
5,18-19,83295321,76.47058823529412,,2018-06-01,61,0,17,16,False
6,26-27,81126838,70.58823529411765,68.75,2026-06-01,61,0,17,16,True
7,19-20,75567291,64.70588235294117,,2019-06-01,61,0,17,16,False
8,21-22,74523757,58.82352941176471,,2021-06-01,61,0,17,16,False
9,23-24,74115266,52.94117647058824,,2023-06-01,61,0,17,16,False
10,13-14,73509982,47.05882352941176,,2013-06-01,61,0,17,16,False
11,14-15,71999100,41.17647058823529,,2014-06-01,61,0,17,16,False
12,25-26,70592036,35.294117647058826,,2025-06-01,61,0,17,16,False
13,17-18,67787946,29.411764705882355,,2017-06-01,61,0,17,16,False
14,15-16,63333390,23.52941176470588,,2015-06-01,61,0,17,16,False
15,11-12,62907022,17.647058823529413,,2011-06-01,61,0,17,16,False
16,22-23,59940628,11.76470588235294,,2022-06-01,61,0,17,16,False
17,12-13,40846050,5.88235294117647,,2012-06-01,61,0,17,16,False
