season,harvest_start_period,harvest_start_label,harvest_end_period,harvest_end_label,harvest_duration_months,harvest_start_cumulative_share,harvest_end_cumulative_share,harvest_start_year,harvest_end_year,harvest_start_month,harvest_end_month
10-11,2,May,8,Nov,6,0.16720316514795192,0.9475799549317954,2010,2010,5,11
11-12,2,May,7,Oct,5,0.11571995981097506,0.9029937395681137,2011,2011,5,10
12-13,3,Jun,9,Dec,6,0.1662601498699412,0.9887694521338652,2012,2012,6,12
13-14,2,May,8,Nov,6,0.1410212712908886,0.9047887719842155,2013,2013,5,11
14-15,2,May,8,Nov,6,0.1424486557460267,0.957416734621063,2014,2014,5,11
15-16,2,May,9,Dec,7,0.10515001995628122,0.9326577953337871,2015,2015,5,12
16-17,2,May,8,Nov,6,0.18857627278350358,0.9244624955079671,2016,2016,5,11
17-18,2,May,8,Nov,6,0.13808059756745394,0.9318417472885363,2017,2017,5,11
18-19,2,May,8,Nov,6,0.1894659354176749,0.9437569419180436,2018,2018,5,11
19-20,2,May,8,Nov,6,0.14313488648997696,0.9661420291013012,2019,2019,5,11
20-21,2,May,7,Oct,5,0.18155186714647514,0.9050706659016711,2020,2020,5,10
21-22,2,May,7,Oct,5,0.16115859695664547,0.9479871063180297,2021,2021,5,10
22-23,2,May,8,Nov,6,0.10898068966704424,0.9561861671199817,2022,2022,5,11
23-24,2,May,8,Nov,6,0.11920124431165734,0.9013291018581551,2023,2023,5,11
24-25,2,May,8,Nov,6,0.162996396108526,0.9463770628955771,2024,2024,5,11
25-26,2,May,8,Nov,6,0.12327656671592212,0.948399591671503,2025,2025,5,11
